category;name;rus;eng
char_name;ningguang;Нин Гуан;Ningguang
feature_attack;ningguang_star_jade;Урон Звёздного нефрита;DMG per Star Jade
talent_name;ningguang_sparkling_scatter;Сверкающий дождь;Sparkling Scatter
talent_descr;ningguang_sparkling_scatter;<p>name{Обычная атака:}<br>Запускает в цель самоцветы, которые наносят geo{Гео урон}.<br>При попадании самоцветом даёт name{Нин Гуан} один Звёздный нефрит.</p><p>name{Заряженная атака:}<br>Выстреливает гигантским самоцветом, наносящим geo{Гео урон}, на который тратится определённое количество выносливости.<br>Если name{Нин Гуан} имеет Звёздный нефрит, то при выполнении name{заряженной атаки} также выстреливает и им, нанося дополнительный урон.</p><p>name{Атака в падении:}<br>Накопив энергию камня, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит geo{Гео урон по площади}.</p>;<p>name{Normal Attack}<br>Shoots gems that deal geo{Geo DMG}.<br>Upon hit, this grants name{Ningguang} 1 Star Jade.</p><p>name{Charged Attack}<br>Consumes a certain amount of stamina to fire off a giant gem that deals geo{Geo DMG}.<br>If name{Ningguang} has any name{Star Jades}, unleashing a name{Charged Attack} will cause the name{Star Jades} to be fired at the enemy as well, dealing additional DMG.</p><p>name{Plunging Attack}<br>Gathering the might of Geo, name{Ningguang} plunges towards the ground from mid-air, damaging all opponents in her path. Deals geo{AoE Geo DMG} upon impact with the ground.</p>
feature_skill;ningguang_jade_screen_hp;HP ширмы;Inherited HP
talent_name;ningguang_jade_screen;Нефритовая ширма;Jade Screen
talent_descr;ningguang_jade_screen;"<p>name{Нин Гуан} создаёт роскошную Нефритовую ширму из обсидиана и золота, нанося при этом geo{Гео урон} по площади.</p><p>name{Нефритовая ширма:}<br>· Блокирует вражеские снаряды;<br>· Прочность зависит от name{макс. HP} name{Нин Гуан};</p><p>Считается geo{Гео конструкцией}. Ширмой можно воспользоваться для защиты от вражеских атак, но на неё нельзя взобраться. Одновременно может существовать не больше одной Нефритовой ширмы.</p><p><i>Хоть звёзды и светят ярко, но загадки ночного неба так и останутся неразгаданными.</i></p>";<p>name{Ningguang} creates a Jade Screen out of gold, obsidian, and her great opulence, dealing geo{AoE Geo DMG}.</p><p>name{Jade Screen}<br>·Blocks opponents' projectiles.<br>·Endurance scales based on name{Ningguang}'s name{Max HP}.</p><p>Jade Screen is considered a geo{Geo Construct} and can be used to block certain attacks, but cannot be climbed. Only one Jade Screen may exist at any one time.</p><p><i>The canvas of stars is written upon this jade screen.</i></p>
feature_burst;ningguang_gem_dmg;Урон самоцвета;DMG Per Gem
talent_name;ningguang_starshatter;Осколки звёзд;Starshatter
talent_descr;ningguang_starshatter;<p>Собрав большое количество самоцветов, name{Нин Гуан} запускает их во врагов, нанося огромный geo{Гео урон}. Самоцветы сами находят свою цель.<br>Если поблизости находится Нефритовая ширма, то она также запускает дополнительные самоцветы.</p><p><i>Звёзды гаснут. Наступает тишина.</i></p>;<p>Gathering a great number of gems, name{Ningguang} scatters them all at once, sending homing projectiles at her opponents that deal massive geo{Geo DMG}.<br>If Starshatter is cast when a Jade Screen is nearby, the Jade Screen will fire additional gem projectiles at the same time.</p><p><i>Stars shatter. Silence falls.</i></p>
talent_name;ningguang_backup_plan;Запасной план;Backup Plan
talent_descr;ningguang_backup_plan;<p>При наличии у name{Нин Гуан} name{Звёздного нефрита}, её name{заряженная атака} не потребляет выносливость.</p>;<p>When name{Ningguang} is in possession of name{Star Jades}, her name{Charged Attack} does not consume Stamina.</p>
talent_name;ningguang_strategic_reserve;Стратегические запасы;Strategic Reserve
talent_descr;ningguang_strategic_reserve;<p>Даёт %{dmg_geo} бонус geo{Гео урона} прошедшим сквозь skill{skill:Нефритовую ширму} персонажам на 10 сек.</p>;<p>A character that passes through the skill{skill:Jade Screen} will gain a %{dmg_geo} geo{Geo DMG Bonus} for 10s.</p>
talent_name;ningguang_piercing_fragments;Пронзающие осколки;Piercing Fragments
talent_descr;ningguang_piercing_fragments;<p>При попадании name{обычная атака} наносит name{урон по площади}.</p>;<p>When a name{Normal Attack} hits, it deals name{AoE DMG}.</p>
talent_name;ningguang_shock_effect;Шоковый эффект;Shock Effect
talent_descr;ningguang_shock_effect;<p>Разрушение skill{skill:Нефритовой ширмы} сбрасывает время её отката.<br>Может возникнуть раз в 6 сек.</p>;<p>When skill{skill:Jade Screen} is shattered, its CD will reset.<br>Can occur once every 6s.</p>
talent_name;ningguang_majesty_be_the_array_of_stars;Величественная россыпь звёзд;Majesty Be the Array of Stars
talent_name;ningguang_exquisite_be_the_jade_outshining_all_beneath;Изысканный блеск нефрита;Exquisite be the Jade, Outshining All Beneath
talent_descr;ningguang_exquisite_be_the_jade_outshining_all_beneath;<p>Навык skill{skill:Нефритовая ширма} повышает name{элементальное сопротивление} окружающих персонажей на %{res_anemo}.</p>;<p>skill{skill:Jade Screen} increases nearby characters' name{Elemental RES} by %{res_anemo}.</p>
talent_name;ningguang_invincible_be_the_jade_screen;Бессмертная нефритовая ширма;Invincible Be the Jade Screen
talent_name;ningguang_grandeur_be_the_seven_stars;Грандиозность Цисин;Grandeur Be the Seven Stars
talent_descr;ningguang_grandeur_be_the_seven_stars;<p>Активация навыка skill{burst:Осколки звёзд} даёт name{Нин Гуан} 7 камней name{Звёздного нефрита}.</p>;<p>When skill{burst:Starshatter} is used, name{Ningguang} gains 7 name{Star Jades}.</p>
