category;name;rus;eng
char_name;odette;Одетта;Odette
talent_name;odette_snow_swan_variation;Вариация снежного лебедя;Snow Swan Variation
talent_descr;odette_snow_swan_variation;<p>name{Обычная атака:}<br>До пяти последовательных ударов мечом.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на ослепительный удар перед собой.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Unleashes a sword attack of up to 5 consecutive strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash a dazzling slash on opponents in front of her.</p><p>name{Plunging Attack}<br>Attacks opponents in her path while plunging from mid-air, then deals name{AoE DMG} upon landing.</p>
feature_skill;odette_coda_at_dawns_tolling_dot;Рассветная кода: периодический урон;Coda at Dawn's Tolling DoT
feature_skill;odette_plume_dance_move_dmg;Урон танцевального движения Пера;"""Plume"" Dance Move DMG"
feature_skill;odette_wing_dance_move_dmg;Урон танцевального движения Крыла;"""Wing"" Dance Move DMG"
feature_skill;odette_coda_at_dawns_tolling_cd;Рассветная кода: время отката;Coda at Dawn's Tolling CD
feature_skill;odette_solo_dance_double_duration;Длительность Отражения соло;Solo Dance Double Duration
talent_name;odette_phantom_night_dancers;Адажио: Призрачные танцоры ночи;Adagio: Phantom Night Dancers
talent_descr;odette_phantom_night_dancers;<p>В плавном танце наносит cryo{Крио урон по площади} и призывает собственное skill{n11500001:Отражение соло}.<br>Если на поле боя уже есть name{Отражение соло}, призванное самой name{Одеттой}, то призывается новое Отражение, а его длительность сбрасывается.</p><p>name{Отражение соло}<br>Поочерёдно демонстрирует танцевальные движения name{Пера} и name{Крыла}, периодически атакуя врагов поблизости грациозными движениями и нанося cryo{Крио урон по площади}.<br>Кроме того, на 6 сек. после применения name{элементального навыка} name{Адажио: Призрачные танцоры ночи}, name{элементальный навык} name{Одетты} name{Адажио: Призрачные танцоры ночи} сменяется на особый name{элементальный навык} skill{n11500002:Адажио: Рассветная кода}skill{n11500004:}, в котором дуэт периодически наносит врагам поблизости cryo{Крио урон по площади}. Когда танец дуэта завершается, наносится однократный cryo{Крио урон по площади}, который считается уроном реакций Звёздный проводник или Звёздное рассеивание.</p><p><i>«Танцуй же, танцуй, огонёк зимней ночи!»<br>«Боль и слёзы, смех и счастье... Жизнь, о жизнь! Жизнь лишь мимолётный сольный танец, что мгновенье веселится и тихо гаснет во мраке, когда опускается занавес...»</i></p>;"<p>With slow, graceful dance steps, name{Odette} deals cryo{AoE Cryo DMG} to the opponent, and also summons her skill{n11500001:Solo Dance Double} to the field.<br>If a name{Dance Double} summoned by name{Odette} is already on the field, this will re-summon the Dance Double and reset its duration.</p><p>name{Solo Dance Double}<br>Alternates between the name{Plume} and name{Wing} dance moves, periodically attacking nearby opponents and dealing to them cryo{AoE Cryo DMG}.<br>Additionally, for 6s after unleashing the name{Elemental Skill} name{Adagio: Phantom Night Dancers}, name{Odette}'s name{Elemental Skill} name{Adagio: Phantom Night Dancers} will become the special name{Elemental Skill} skill{n11500002:Adagio: Coda at Dawn's Tolling} instead, where a dance duet deals cryo{AoE Cryo DMG} to nearby opponents over time. Then, when the duet ends, she deals another instance of cryo{AoE Cryo DMG} that is considered Stellar-Conduct or Stellar Swirl DMG.</p><p><i>""Dance, o candle flame of winter, dance!""<br>""Pain and tears, laughter and happiness... Life, o life! Life is but a fleeting solo dance: one is only briefly alive with music and mirth before they fade into silence as the curtain falls...""</i></p>"
feature_burst;odette_slash_dmg;Урон рубящего удара;Slash DMG
feature_burst;odette_final_slash_dmg;Урон последнего рубящего удара;Final Slash DMG
feature_burst;odette_snow_swans_dream_stellar_glimmer_reaction_dmg_bonus;Сновидение снежного лебедя: повышение урона реакций Звёздного блеска;Snow Swan's Dream Stellar Glimmer Reaction DMG Bonus
feature_burst;odette_snow_swans_dream_duration;Длительность Сновидения снежного лебедя;Snow Swan's Dream Duration
feature_burst;odette_solo_dance_double_duration;Длительность Отражения соло;Solo Dance Double Duration
talent_name;odette_bluebird_finale;Престо: Финал сизых крыльев;Presto: Bluebird Finale
talent_descr;odette_bluebird_finale;<p>Исполняя быстрый, стремительный танец, многократно наносит cryo{Крио урон по площади}, призывает собственное skill{n11500001:Отражение соло} и получает name{Сновидение снежного лебедя}, которое повышает урон реакций Звёздного блеска name{Одетты}.<br>Кроме того, на 6 сек. после применения name{взрыва стихии} name{Престо: Финал сизых крыльев} name{элементальный навык} name{Одетты} name{Адажио: Призрачные танцоры ночи} сменяется на особый name{элементальный навык} skill{n11500002:Адажио: Рассветная кода}skill{n11500004:}.</p><p>Если на поле есть Отражение соло, вызванное самой name{Одеттой}, то оно призывается рядом с ней, причём его длительность сбрасывается.</p><p><i>«Облака, склонявшиеся над восходящим солнцем, были так близко. Казалось, она могла дотянуться до них, взмахнув крыльями».</i></p>;<p>With quick, lively dance steps, name{Odette} deals multiple instances of cryo{AoE Cryo DMG}, and summons her name{skill{n11500001:Solo Dance Double}}. She also gains name{Snow Swan's Dream}, which increases the Stellar Glimmer reaction DMG name{Odette} deals.<br>Additionally, for 6s after unleashing the name{Elemental Burst} name{Presto: Bluebird Finale}, name{Odette}'s name{Elemental Skill} name{Adagio: Phantom Night Dancers} will be replaced with the special name{Elemental Skill} skill{n11500002:Adagio: Coda at Dawn's Tolling} instead.</p><p>If there is a Solo Dance Double summoned by name{Odette} on the field, it will be summoned to her side with its duration refreshed.</p><p><i>The dawn-lit clouds were hanging just within reach. It was as though she needed only spread her wings to touch them.</i></p>
talent_name;odette_spring_rite_of_the_chosen_one;Весеннее жертвоприношение избранницы;Spring Rite of the Chosen One
talent_descr;odette_spring_rite_of_the_chosen_one;<p>Когда name{Одетта} призывает skill{n11500001:Отражение соло}, она также получает 4 уровня skill{n11500003:Яркого великолепия}.</p>;<p>When name{Odette} summons her skill{n11500001:Solo Dance Double}, she also obtains 4 stacks of skill{n11500003:Marvelous Splendor}.</p>
talent_name;odette_pathetique_of_pateticheskaya;Элегия чистого сердца;Pathetique of Pateticheskaya
talent_descr;odette_pathetique_of_pateticheskaya;<p>За каждые 100 ед. name{силы атаки} name{Одетты} свыше 1000 ед. урон её реакций stcond{Звёздного блеска} дополнительно повышается на value{1,5%} от исходного. Максимальное повышение, которое можно получить таким образом, составляет value{30%}.</p>;<p>For every 100 name{ATK} name{Odette} has over 1,000, her stcond{Stellar Glimmer DMG} is additionally increased by value{1.5%} of the original DMG. She can deal up to value{30%} more additional DMG in this way.</p>
talent_name;odette_dance_of_aurore;Танец серебряной зари;Stellar Jubilee: Dance of Aurore
talent_descr;odette_dance_of_aurore_1;<p>Когда name{Одетта} пребывает в skill{n11330003:Пределе путеводной звезды} или на 8 сек. после того как персонажи отряда поблизости активируют stcond{Звёздное рассеивание}, она входит в состояние skill{Сияние - Звёздный проводник} или skill{Сияние - Звёздное рассеивание} соответственно.<br>Когда персонажи отряда активируют реакции cryo{Сверхпроводник} или cryo{Крио рассеивание}, они превращаются в stcond{Звёздный проводник} или stcond{Звёздное рассеивание}, а базовый урон этих реакций увеличивается на value{0,7%} за каждые value{100} ед. name{силы атаки} name{Одетты}. Максимальное увеличение урона, которое можно получить таким образом, составляет value{14%}.</p>;<p>name{Odette} will enter the skill{Radiance: Stellar-Conduct} state when she is inside a skill{n11330003:Polestar Field}, or the skill{Radiance: Stellar Swirl} state for 8s after a nearby party member triggers a stcond{Stellar Swirl} reaction.<br>When a party member triggers a cryo{Superconduct} or cryo{Cryo Swirl} reaction, it becomes a stcond{Stellar-Conduct} or stcond{Stellar Swirl} reaction instead, and the Base DMG of said reaction is also increased by value{0.7%} for every value{100} points of name{Odette}'s name{ATK}. A maximum increase of value{14%} can be obtained in this way.</p>
talent_descr;odette_dance_of_aurore_2;<p>Когда персонажи отряда активируют реакции cryo{Сверхпроводник} или cryo{Крио рассеивание}, они превращаются в stcond{Звёздный проводник} или stcond{Звёздное рассеивание}, а базовый урон этих реакций увеличивается на value{0,7%} за каждые value{100} ед. name{силы атаки} name{Одетты}. Максимальное увеличение урона, которое можно получить таким образом, составляет value{14%}.</p>;<p>When a party member triggers a cryo{Superconduct} or cryo{Cryo Swirl} reaction, it becomes a stcond{Stellar-Conduct} or stcond{Stellar Swirl} reaction instead, and the Base DMG of said reaction is also increased by value{0.7%} for every value{100} points of name{Odette}'s name{ATK}. A maximum increase of value{14%} can be obtained in this way.</p>
talent_name;odette_on_this_danceless_morn_she_gazes_at_her_reflection;«В то утро без танца она смотрела на своё отражение»;"""On This Danceless Morn, She Gazes at Her Reflection"""
talent_descr;odette_on_this_danceless_morn_she_gazes_at_her_reflection;<p>После применения особого name{элементального навыка} skill{n11500002:Адажио: Рассветная кода} в конце танцевального дуэта name{Одетта} дополнительно наносит врагам поблизости однократный cryo{Крио урон} по площади. Такой урон считается:<br>· skill{Сияние - Звёздный проводник} или вне состояния Сияния: уроном реакции stcond{Звёздный проводник}, равным value{300%} от name{силы атаки} name{Одетты}.<br>· skill{Сияние - Звёздное рассеивание}: уроном реакции stcond{Звёздное рассеивание}, равным value{450%} от name{силы атаки} name{Одетты}.</p><p>Кроме того, талант возвышения name{Весеннее жертвоприношение избранницы} получает усиление: когда name{Одетта} призывает skill{n11500001:Отражение соло}, она дополнительно получает 2 уровня skill{n11500003:Яркого великолепия}. Когда name{Одетта} не на поле боя, потеря уровней skill{Яркого великолепия} ускорена до 2 в сек.</p>;"<p>After unleashing the special name{Elemental Skill} skill{n11500002:Adagio: Coda at Dawn's Tolling}, at the dance duet's end name{Odette} will deal an additional instance of cryo{Cryo} name{AoE DMG} to nearby opponents that is considered:<br>skill{Radiance: Stellar-Conduct} or when not in a Radiance state: stcond{Stellar-Conduct} reaction DMG at value{300%} of name{Odette}'s name{ATK};<br>skill{Radiance: Stellar Swirl}: stcond{Stellar Swirl} reaction DMG at value{450%} of name{Odette}'s name{ATK}.</p><p>Additionally, the Ascension Talent ""name{Spring Rite of the Chosen One}"" is also enhanced: now, when the skill{n11500001:Solo Dance Double} is summoned, name{Odette} also gains 2 stacks of skill{n11500003:Marvelous Splendor}. When name{Odette} is off-field, the rate at which skill{Marvelous Splendor} is removed is sped up to 2 stacks per second.</p>"
talent_name;odette_i_must_see_the_snow_swans_unseen_dream_for_myself_she_thought;«Она захотела увидеть сон, невиданный снежным лебедем»;"""I Must See the Snow Swan's Unseen Dream for Myself, She Thought"""
talent_descr;odette_i_must_see_the_snow_swans_unseen_dream_for_myself_she_thought_1;<p>Талант возвышения name{Весеннее жертвоприношение избранницы} получает усиление: name{сила атаки} персонажа увеличивается на value{7%} за каждый уровень skill{n11500003:Яркого великолепия}.</p>;"<p>The Ascension Talent ""name{Spring Rite of the Chosen One}"" is enhanced as follows: every stack of skill{n11500003:Marvelous Splendor} active also increases the character's name{ATK} by value{7%}.</p>"
talent_descr;odette_i_must_see_the_snow_swans_unseen_dream_for_myself_she_thought_2;<p>Кроме того, когда skill{n11500001:Отражение соло} на поле, а name{Одетта} находится в состоянии skill{n11500004:Сияние - Звёздный блеск}, то сопротивление соответствующему элементу врагов рядом с skill{Отражением соло} снижается на value{20%}:<br>· skill{Сияние - Звёздный проводник}: cryo{Крио}, electro{Электро}.</p>;<p>Additionally, if name{Odette} is in the skill{n11500004:Radiance: Stellar Glimmer} state when there is a skill{n11500001:Solo Dance Double} on the field, opponents near the skill{Dance Double} will also have their corresponding name{Elemental RES} lowered by value{20%}.<br>·skill{Radiance: Stellar-Conduct}: cryo{Cryo} and electro{Electro}.</p>
talent_descr;odette_i_must_see_the_snow_swans_unseen_dream_for_myself_she_thought_3;<p>Кроме того, когда skill{n11500001:Отражение соло} на поле, а name{Одетта} находится в состоянии skill{n11500004:Сияние - Звёздный блеск}, то сопротивление соответствующему элементу врагов рядом с skill{Отражением соло} снижается на value{20%}:<br>· skill{Сияние - Звёздное рассеивание}: cryo{Крио}, anemo{Анемо}.</p>;<p>Additionally, if name{Odette} is in the skill{n11500004:Radiance: Stellar Glimmer} state when there is a skill{n11500001:Solo Dance Double} on the field, opponents near the skill{Dance Double} will also have their corresponding name{Elemental RES} lowered by value{20%}.<br>·skill{Radiance: Stellar Swirl}: cryo{Cryo} and anemo{Anemo}.</p>
talent_name;odette_ill_chase_the_shouting_wind_along_climbing_alone_as_i_go;«В погоне за воющим ветром одна я ввысь устремлюсь»;"""I'll Chase the Shouting Wind Along, Climbing Alone As I Go"""
talent_name;odette_up_up_the_long_delirious_burning_blue;«Ввысь, падая в зыбкое, пылающее синее небо»;"""Up, Up the Long, Delirious, Burning Blue"""
talent_descr;odette_up_up_the_long_delirious_burning_blue;<p>Взрыв стихии skill{burst:Престо: Финал сизых крыльев} получает усиление: когда name{Одетта} наделяется skill{Сновидением снежного лебедя}, урон реакций stcond{Звёздного блеска} других персонажей отряда поблизости также повышается на value{50%} от эффектов skill{Сновидения снежного лебедя}.</p><p>Кроме того, когда персонажи отряда наносят врагу урон реакций stcond{Звёздного блеска}, name{Одетта} проводит совместную атаку, которая наносит однократный cryo{Крио урон} по площади. Такой урон может возникнуть один раз в 3,5 сек. и является:<br>· skill{Сияние - Звёздный проводник} или вне состояния Сияния: уроном реакции stcond{Звёздный проводник}, равным value{66%} от name{силы атаки} name{Одетты}.<br>·skill{Сияние - Звёздное рассеивание}: уроном реакции stcond{Звёздное рассеивание}, равным value{99%} от name{силы атаки} name{Одетты}.</p>;<p>The name{Elemental Burst} skill{burst:Presto: Bluebird Finale} is enhanced as follows: when name{Odette} obtains skill{Snow Swan's Dream}, stcond{Stellar Glimmer} reaction DMG dealt by other nearby party members is increased by value{50%} of skill{Snow Swan Dream}'s effects.</p><p>Additionally, when a party member deals stcond{Stellar Glimmer} reaction DMG to an opponent, name{Odette} will also join in with a coordinated attack, dealing an instance of AoE cryo{Cryo DMG}. This effect, which can trigger once every 3.5s, will be considered:<br>·skill{Radiance: Stellar-Conduct} or when not in a Radiance state: stcond{Stellar-Conduct} reaction DMG at value{66%} of name{Odette}'s name{ATK}.<br>·skill{Radiance: Stellar Swirl}: stcond{Stellar Swirl} reaction DMG at value{99%} of name{Odette}'s name{ATK}.</p>
talent_name;odette_oh_i_have_slipped_the_surly_bonds_of_earth;«Взгляни - я простилась с мирскими муками»;"""Oh! I Have Slipped the Surly Bonds of Earth"""
talent_name;odette_put_out_my_hand_and_touched_the_face_of_the_divine;«Протяни руку и коснись вечного лика небосвода»;"""Put Out My Hand, and Touched the Face of the Divine"""
talent_descr;odette_put_out_my_hand_and_touched_the_face_of_the_divine_1;<p>Талант возвышения name{Весеннее жертвоприношение избранницы} получает усиление: когда все члены отряда поблизости получают skill{n11500003:Яркое великолепие} name{Одетты}, она больше не теряет собственное Яркое великолепие.<br>Кроме того, наносимый врагам урон реакций stcond{Звёздного блеска} персонажей под воздействием skill{Яркого великолепия} skill{n11190007:возвышается} на value{25%}, а урон реакций stcond{Звёздного блеска} name{Одетты} дополнительно возвышается на value{20%}.</p>;"<p>The Ascension Talent ""name{Spring Rite of the Chosen One}"" is enhanced as follows: When name{Odette} grants skill{n11500003:Marvelous Splendor} to all nearby party members, her own Marvelous Splendor stacks will no longer decrease.<br>Additionally, characters affected by skill{Marvelous Splendor} have their stcond{Stellar Glimmer} reaction DMG dealt to opponents skill{n11190007:elevated} by value{25%}, and stcond{Stellar Glimmer} reaction DMG dealt by name{Odette} is elevated by an additional value{20%}.</p>"
talent_descr;odette_put_out_my_hand_and_touched_the_face_of_the_divine_2;<p>Кроме того, наносимый врагам урон реакций stcond{Звёздного блеска} персонажей под воздействием skill{Яркого великолепия} skill{n11190007:возвышается} на value{25%}, а урон реакций stcond{Звёздного блеска} name{Одетты} дополнительно возвышается на value{20%}.</p>;<p>Additionally, characters affected by skill{Marvelous Splendor} have their stcond{Stellar Glimmer} reaction DMG dealt to opponents skill{n11190007:elevated} by value{25%}, and stcond{Stellar Glimmer} reaction DMG dealt by name{Odette} is elevated by an additional value{20%}.</p>
talent_descr;n11500001_1;<p>Духовный двойник, танцующий в дуэте с name{Одеттой}. Его можно призвать на поле боя с помощью name{элементального навыка} или name{взрыва стихии}.</p>;<p>A psychic double of name{Odette}'s that dances a duet with her. May be summoned to the field through her name{Elemental Skill} or name{Elemental Burst}.</p>
