category;name;rus;eng
char_name;ororon;Оророн;Ororon
talent_name;ororon_dark_voices_echo;Эхо мрачных голосов;Dark Voices Echo
talent_descr;ororon_dark_voices_echo;<p>Оророн пробуждает древний ритуал, который наносит electro{Электро урон по площади} с характеристикой Ночного духа, призывая Сверхзвуковое око.</p><p>name{Сверхзвуковое око}<br>· Привлекает атаки врагов поблизости на себя.<br>· Постоянно вращается и выпускает во врагов поблизости звуковые волны, которые наносят врагам поблизости electro{Электро урон} с характеристикой Ночного духа.</p><p><i>Достаточно восприимчивые слышат тончайшие звуки всего сущего. Таким образом они не собьются с пути даже в долгие, беспросветные ночи.</i></p>;<p>Ororon works an ancient ritual, dealing Nightsoul-aligned electro{AoE Electro DMG}, summoning forth a Supersonic Oculus.</p><p>name{Supersonic Oculus}<br>·Continuously taunts nearby opponents and attracts attacks from them.<br>·Continuously rotates and fires off sonic waves that deal Nightsoul-aligned electro{Electro DMG}.</p><p><i>Those with sharp enough senses can hear the minute voices with which all things speak. That way, they will never lose their way — not even on long, lightless nights.</i></p>
talent_name;ororon_spiritvessel_snapshot;Выстрел пристанища духов;Spiritvessel Snapshot
talent_descr;ororon_spiritvessel_snapshot;<p>name{Обычная атака:}<br>До трёх выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается стихией Электро. Полностью заряженная стрела наносит electro{Электро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, Electro energy will accumulate on the arrowhead. A fully charged arrow will deal electro{Electro DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;ororon_nights_sling;Праща ночи;Night's Sling
talent_descr;ororon_nights_sling;<p>Оророн применяет древнюю секретную технику Повелителей Ночного Ветра в виде name{Сферы душ} цвета ночи, которая выпускается в противника и наносит electro{Электро урон} с характеристикой Ночного духа.<br>Если поблизости есть другие враги, Сфера душ будет перескакивать между врагами, нанося electro{Электро урон} с характеристикой Ночного духа. С каждым использованием Пращи ночи один враг может быть выбран в качестве цели один раз.<br>После трёх отскоков или если поблизости не осталось подходящих целей, Сфера исчезает.</p><p><i>«Всем хочется предвидеть будущее. Это, видимо, потому, что они не нашли собственного призвания... Прости, я опять говорю о сложных вещах».</i></p>;"<p>Ororon manifests an ancient mystical technique from the Masters of the Night-Wind as a name{Spirit Orb} of midnight shade and throws it at his foe, dealing Nightsoul-aligned electro{Electro DMG}.<br>When other opponents are nearby, the Spirit Orb will bounce between them, dealing Nightsoul-aligned electro{Electro DMG}. Each time Night's Sling is used, each opponent can only be selected as a target once.<br>After 3 bounces, or if there are no eligible targets left, the Orb will disappear.</p><p><i>""People always wish to foretell the future, but that might be because they have yet to discover that which they must do... Sorry, I'm saying complicated things again, aren't I...""</i></p>"
talent_name;ororon_special_jump;Особый прыжок;Special Jump
talent_descr;ororon_special_jump;<p>Если персонаж находится в Натлане, долгое нажатие позволит выполнить Двойной ракетный прыжок, который расходует флогистон. Когда флогистон исчерпан, Двойной прыжок расходует выносливость.</p>;<p>If this character is in Natlan, Hold to consume Phlogiston and execute a Rocket Double Jump. When Phlogiston is completely depleted, it will consume Stamina to execute the Double Jump instead.</p>
talent_name;ororon_nightshade_synesthesia;Синестезия ночного укрытия;Nightshade Synesthesia
