category;name;rus;eng
char_name;prune;Прюн;Prune
talent_name;prune_badaboom_hexbuster_hammer;Трам-бам-бам: Молот-ведьмобой;Badaboom! Hexbuster Hammer
talent_descr;prune_badaboom_hexbuster_hammer;<p>name{Обычная атака:}<br>Размахивая Клятвенным молотом истребителя бедствий, выполняет до трёх ударов, которые наносят anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Потратив определённое количество выносливости, взмахивает молотом вверх, нанося anemo{Анемо урон} врагам впереди.</p><p>name{Атака в падении:}<br>Взывая к силе ветра, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 attacks by swinging the Banehunter Oathhammer, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and performs an upward hammer swing, dealing anemo{Anemo DMG} to opponents in front.</p><p>name{Plunging Attack}<br>Calling upon the power of Anemo, she plunges towards the ground from mid-air, damaging all opponents in her path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
feature_skill;prune_ring_a_ding_ding_hexhunter_chime_dmg;Урон навыка Динь-дилинь: Звон охоты на ведьм;Ring-A-Ding-Ding! Hexhunter Chime DMG
feature_skill;prune_clang_clang_witch_tribution_comes_dmg;Урон навыка Бом-цзынь-цзынь: Грядёт ведьмина кара;Clang Clang! Witch-tribution Comes! DMG
talent_name;prune_ring_a_ding_ding_hexhunter_chime;Динь-дилинь: Звон охоты на ведьм;Ring-A-Ding-Ding! Hexhunter Chime
talent_descr;prune_ring_a_ding_ding_hexhunter_chime;<p>С твёрдым намерением победить злую ведьму и выручить Декарта name{Прюн} высвобождает силу ветра и обрушивает Клятвенный молот истребителя бедствий на колокольчик-приманку, нанося anemo{Анемо урон}.<br>Если эта атака name{Прюн} активирует на противнике Рассеивание, то на следующие 6 сек. name{Динь-дилинь: Звон охоты на ведьм} заменяется на name{Бом-цзынь-цзынь: Грядёт ведьмина кара}.</p><p>name{Бом-цзынь-цзынь: Грядёт ведьмина кара}<br>Элемент, участвовавший в прошлой реакции Рассеивание, теперь окутывает молот name{Прюн}, вызывая поглощение стихии skill{n11320001:Клятвенным молотом истребителя бедствий}. При активации навыка быстрым нажатием name{Прюн} подпрыгивает и выбивает молот вперёд, нанося урон соответствующего элемента врагам впереди.</p><p><i>«Знаешь ли ты о злой ведьме в огромной дырявой шляпе, которая любит ради смеха издеваться над маленькими? Это заклятый враг охотников на ведьм и моя главная цель!»</i></p>;"<p>Unleash the wind's might to defeat the evil witch and save Descartes! name{Prune} strikes the name{Witchlure Bell} with her Banehunter Oathhammer, dealing anemo{Anemo DMG}.<br>If name{Prune} triggers Swirl on an opponent using this attack, name{Ring-A-Ding-Ding! Hexhunter Chime} will be changed to name{Clang Clang! Witch-tribution Comes!} for the next 6s.</p><p>name{Clang Clang! Witch-tribution Comes!}<br>name{Prune}'s hammer is now enshrouded by the element involved in the previous Swirl reaction, causing skill{n11320001:Banehunter Oathhammer} to undergo Elemental Conversion. When activated with a Press, name{Prune} will leap up and kick the Banehunter Oathhammer forward, dealing name{Elemental DMG} of the corresponding type to opponents in front of her.</p><p><i>""Do you know a wicked witch who wears a hollowed-out hat and bullies little kids for fun? She's my ultimate target. The Witch Hunter's mortal enemy!""</i></p>"
feature_burst;prune_witchlure_bell_dmg;Урон колокольчика-приманки;Witchlure Bell DMG
feature_burst;prune_hunter_seeker_mode_duration;Длительность режима Охотника-ловца;Hunter-Seeker Mode Duration
talent_name;prune_the_bell_tolls_the_hunt_is_on;Грянул звон, началась охота;The Bell Tolls! The Hunt Is On!
talent_descr;prune_the_bell_tolls_the_hunt_is_on;"<p>name{Прюн} легко взмахивает колокольчиком-приманкой, нанося anemo{Анемо урон} противникам поблизости, после чего колокольчик переходит в режим Охотника-ловца.</p><p>name{Колокольчик-приманка: Охотник-ловец}<br>В этом режиме name{колокольчик-приманка} следует за активным персонажем и периодически атакует врагов поблизости, нанося anemo{Анемо урон по площади}. Этот урон считается уроном name{взрыва стихии}.</p><p><i>«Хотя Декарт и ""воображаемый друг"", это не делает его ""ненастоящим"". Он существует именно потому, что является ""моим"" воображаемым другом».</i></p>";"<p>name{Prune} gently swings the name{Witchlure Bell}, dealing anemo{Anemo DMG} to nearby opponents. After this, the Bell will enter the Hunter-Seeker mode.</p><p>name{Witchlure Bell: Hunter-Seeker}<br>In this mode, the name{Witchlure Bell} will follow the current active character, attacking surrounding opponents at intervals and dealing anemo{AoE Anemo DMG}. This DMG is considered name{Elemental Burst DMG}.</p><p><i>""Descartes might be an imaginary friend, but that doesn't mean he's 'fake.' He's 'my' imaginary friend, and that's exactly how he exists in truth.""</i></p>"
talent_name;prune_verdict_and_punishment;Вердикт и наказание;Verdict and Punishment
talent_descr;prune_verdict_and_punishment;<p>После того как name{колокольчик-приманка} в режиме Охотника-ловца во время name{взрыва стихии} skill{burst:Грянул звон, началась охота} наносит противнику урон, и этот урон активирует на противнике anemo{Рассеивание}, то он также призывает перед противником skill{n11320001:Клятвенный молот истребителя бедствий}, который наносит value{150%} урона от name{силы атаки} name{Прюн} с элементом, соответствующим типу элемента поглощения стихии данной реакции anemo{Рассеивание}. Такой урон считается уроном name{взрыва стихии}.</p>;<p>During the name{Elemental Burst} skill{burst:The Bell Tolls! The Hunt Is On!}, after the name{Witchlure Bell} in Hunter-Seeker mode deals DMG to an opponent, if this DMG triggers anemo{Swirl} on an opponent, it will also summon a skill{n11320001:Banehunter Oathhammer} that will deal value{150%} of name{Prune}'s name{ATK} as DMG to them, with the DMG Type matching the Elemental Conversion from the anemo{Swirl}. This DMG is considered name{Elemental Burst DMG}.</p>
talent_name;prune_tolling_synchronicity;Звонкое единодушие;Tolling Synchronicity
talent_descr;prune_tolling_synchronicity;<p>После того как name{Прюн} поражает врага skill{n11320001:Клятвенным молотом истребителя бедствий}, который прошёл поглощение стихии, другие персонажи отряда поблизости на 5 сек. наделяются Вдохновением колоколов: когда враг получает урон от name{обычной атаки}, name{заряженной атаки}, name{атаки в падении}, name{элементального навыка} или name{взрыва стихии}, урон данной атаки повышается на value{0,025%} за каждую единицу свыше value{2000} ед. name{силы атаки} name{Прюн} во время получения эффекта Вдохновения колоколов. Максимальное увеличение составляет value{50%}.</p>;<p>After name{Prune} hits an opponent with the skill{n11320001:Banehunter Oathhammer} that has undergone Elemental Conversion, other nearby party members will gain the Tolling Rally effect for 5s: When name{Normal}, name{Charged}, or name{Plunging Attacks}, or name{Elemental Skills} and name{Bursts} deal DMG to opponents, that attack's DMG will be increased based on the portion of name{Prune}'s name{ATK} in excess of value{2,000} when they become affected by the Tolling Rally effect. Every excess name{ATK} point increases that instance of DMG by value{0.025%}, up to a total of value{50%} max.</p>
talent_name;prune_witchseekers_vow;Ведьмин ритуал кануна: Клятва искателя ведьм;Witch's Eve Rite: Witchseeker's Vow
talent_descr;prune_witchseekers_vow_1;<p>Выполнив skill{Уроки ведьм: Предмет опровержения}, name{Прюн} станет skill{Ведьмовским} персонажем. Если в отряде хотя бы 2 name{Ведьмовских} персонажа, активируется эффект skill{Ведьмовство: Тайный обряд}, который усиливает name{Ведьмовских} персонажей.</p>;<p>After completing skill{Witch's Homework: Of What Is Contested}, name{Prune} becomes a skill{Hexerei} character. When the party includes at least 2 name{Hexerei} characters, you gain the skill{Hexerei: Secret Rite} effect, which enhances name{Hexerei} characters.</p>
talent_descr;prune_witchseekers_vow_2;<p>После того как Ведьмовской персонаж отряда под воздействием Вдохновения колоколов активирует на противнике элементальную реакцию, name{сила атаки} name{Прюн} повышается на value{60%} на 5 сек. Если активированная реакция - anemo{Рассеивание}, то name{сила атаки} активировавшего её персонажа дополнительно повышается на value{30%} на 5 сек.</p>;<p>After a name{Hexerei} character in the party affected by the Tolling Rally effect triggers an name{Elemental Reaction} on an opponent, name{Prune}'s name{ATK} is increased by value{60%} for 5s. If the name{Elemental Reaction} triggered is a anemo{Swirl} Reaction, the triggering character's name{ATK} will additionally be increased by value{30%} for 5s.</p>
talent_name;prune_with_a_vow_to_rescue_the_journey_begins;С клятвы найти спасение странствие начинается;With a Vow to Rescue, the Journey Begins
talent_descr;prune_with_a_vow_to_rescue_the_journey_begins;<p>После того как skill{n11320001:Клятвенный молот истребителя бедствий}, претерпевший поглощение стихии, поражает противника, name{Прюн} восстанавливает 2 name{ед. энергии}. Эффект может возникнуть один раз в 1,8 сек.</p>;<p>After the skill{n11320001:Banehunter Oathhammer} that has undergone Elemental Conversion hits an opponent, name{Prune} will regain 2 name{Energy}. This effect can occur once every 1.8s.</p>
