category;name;rus;eng
char_name;raiden_shogun;Райдэн;Raiden Shogun
talent_name;raiden_shogun_origin;Исток;Origin
talent_descr;raiden_shogun_origin;<p>name{Обычная атака:}<br>До пяти быстрых ударов копьём.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и наносит восходящий удар.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform an upward slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;raiden_shogun_coordinated_atk_dmg;Урон совместной атаки;Coordinated ATK DMG
feature_skill;raiden_shogun_elemental_burst_dmg_bonus;Бонус урона взрыва стихии;Elemental Burst DMG Bonus
talent_name;raiden_shogun_baleful_omen_1;Превосходство: Зловещее знамение;Transcendence: Baleful Omen
talent_name;raiden_shogun_baleful_omen_2;name{Глаз грозового наказания};name{Eye of Stormy Judgment}
talent_descr;raiden_shogun_baleful_omen_1;<p>Сёгун Райдэн приоткрывает своё Царство и наносит окружающим врагам electro{Электро урон}, после чего даёт всем окружающим членам отряда Глаз грозового наказания.</p><p>name{Глаз грозового наказания}<br>· Когда персонажи с этим усилением атакуют и наносят урон противнику, Глаз грозового наказания проводит совместную атаку и наносит на месте врага electro{Электро урон по площади}.<br>· Глаз грозового наказания увеличивает урон name{взрыва стихии} персонажа в зависимости от стоимости энергии name{взрыва стихии} во время действия skill{skill:Глаза грозового наказания}.</p><p>Глаз грозового наказания может провести только одну совместную атаку на отряд в течение 0,9 сек.<br>Совместные атаки, вызванные персонажами, которых контролируете не вы, наносят 20% от обычного урона.</p><p><i>Существа великой божественной силы могут влиять на всё, за чем наблюдают. Электро Архонт же может управлять самими звёздами для защиты своих слуг и обрушить грозовой приговор на своих врагов.</i></p>;<p>The name{Raiden Shogun} unveils a shard of her Euthymia, dealing electro{Electro DMG} to nearby opponents, and granting nearby party members the skill{skill:Eye of Stormy Judgment}.</p><p>name{Eye of Stormy Judgment}<br>· When characters with this buff attack and deal DMG to opponents, the Eye will unleash a coordinated attack, dealing electro{AoE Electro DMG} at the opponent's position.<br>· Characters who gain the skill{skill:Eye of Stormy Judgment} will have their name{Elemental Burst DMG} increased based on the name{Energy} Cost of the name{Elemental Burst} during the Eye's duration.</p><p>The Eye can initiate one coordinated attack every 0.9s per party.<br>Coordinated attacks generated by characters not controlled by you deal 20% of the normal DMG.</p><p><i>Beings of great divinity might affect all that they survey, and the Electro Archon can manipulate the very inauspicious stars themselves to defend her retainers and bring a thundering sentence down on their foes.</i></p>
talent_descr;raiden_shogun_baleful_omen_2;Глаз грозового наказания увеличивает урон name{взрыва стихии} персонажа в зависимости от стоимости энергии name{взрыва стихии} во время действия skill{skill:Глаза грозового наказания}.;Characters who gain the skill{skill:Eye of Stormy Judgment} will have their name{Elemental Burst DMG} increased based on the name{Energy} Cost of the name{Elemental Burst} during the Eye's duration.
feature_burst;raiden_shogun_musou_no_hitotachi_base_dmg;Базовый урон Мусо но хитотати;Musou no Hitotachi Base DMG
feature_burst;raiden_shogun_resolve_stacks_gained;Накопление уровней Решимости;Resolve Stacks Gained
feature_burst;raiden_shogun_musou_isshin_energy_restoration;Восстановление энергии Мусо иссин;Musou Isshin Energy Restoration
feature_burst;raiden_shogun_musou_isshin_duration;Длительность Мусо иссин;Musou Isshin Duration
