category;name;rus;eng
char_name;razor;Рэйзор;Razor
talent_name;razor_steel_fang;Стальной клык;Steel Fang
talent_descr;razor_steel_fang;<p>name{Обычная атака:}<br>До четырёх рубящих ударов мечом.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;razor_recharge_bonus;Перезарядка эмблемой Электро;Energy Recharge Bonus
feature_skill;razor_enregy_per_sigil;Восстановление энергии эмблемой Электро;Energy Regenerated
feature_skill;razor_sigil_duration;Длительность эмблемы Электро;Electro Sigil duration
talent_name;razor_claw_and_thunder;Гром и когти;Claw and Thunder
talent_descr;razor_claw_and_thunder_1;<p>Выслеживает жертву, используя приёмы и методы, которые он узнал от своего учителя и своей стаи.</p><p>name{Быстрое нажатие:}<br>Удар когтями громового волка, наносящий electro{Электро урон} врагам впереди.<br>При попадании name{Рэйзор} получает name{символ Электро}, который увеличивает скорость name{восстановления его энергии}.<br>name{Рэйзор} может иметь до 3 name{символов Электро} одновременно. Получение нового значка Электро обнуляет их длительность.</p><p>name{Долгое нажатие:}<br>Собирает энергию Электро и на небольшой площади вызывает грозу, которая наносит огромный electro{Электро урон}, отнимая все накопленные символы Электро. Каждый отнятый символ конвертируется в энергию для name{Рэйзора}.</p><p><i>Когда бьёт молния, глубоко в глазах name{Рэйзора} вы можете увидеть, как хищник, живущий в нём, оценивает свою добычу.</i></p>;<p>Hunts his prey using the techniques taught to him by his master and his lupical.</p><p>name{Press}<br>Swings the name{Thunder Wolf Claw}, dealing electro{Electro DMG} to opponents in front of name{Razor}.<br>Upon striking an opponent, name{Razor} will gain an name{Electro Sigil}, which increases his name{Energy Recharge} rate.<br>name{Razor} can have up to 3 name{Electro Sigils} simultaneously, and gaining a new name{Electro Sigil} refreshes their duration.</p><p>name{Hold}<br>Gathers Electro energy to unleash a lightning storm over a small AoE, causing massive electro{Electro DMG}, and clears all of name{Razor}'s name{Electro Sigils}.<br>Each name{Electro Sigil} cleared in this manner will be converted into name{Energy} for name{Razor}.</p><p><i>In the moment when lightning strikes, you can sometimes glimpse the look of a predator sizing up his prey deep within name{Razor}'s eyes.</i></p>
talent_descr;razor_claw_and_thunder_2;<p>Удар когтями громового волка, наносящий electro{Электро урон} врагам впереди.<br>При попадании name{Рэйзор} получает name{символ Электро}, который увеличивает скорость name{восстановления его энергии}.<br>name{Рэйзор} может иметь до 3 name{символов Электро} одновременно. Получение нового значка Электро обнуляет их длительность.</p>;<p>Swings the name{Thunder Wolf Claw}, dealing electro{Electro DMG} to opponents in front of name{Razor}.<br>Upon striking an opponent, name{Razor} will gain an name{Electro Sigil}, which increases his name{Energy Recharge} rate.<br>name{Razor} can have up to 3 name{Electro Sigils} simultaneously, and gaining a new name{Electro Sigil} refreshes their duration.</p>
feature_burst;razor_companion_dmg;Урон волчьего духа;Soul Companion DMG
feature_burst;razor_atk_speed_bonus;Скорость обычной атаки;Normal ATK SPD Bonus
feature_burst;razor_res_bonus;Электро сопротивление;Electro RES Bonus
talent_name;razor_lightning_fang;Громовой клык;Lightning Fang
talent_descr;razor_lightning_fang_1;"<p>Пробуждает внутреннего волка, который наносит electro{Электро урон} всем окружающим врагам. Активация навыка отнимает все накопленные символы Электро, конвертируя их в энергию для name{Рэйзора}.<br>На время длительности навыка волк сражается вместе с Рэйзором.</p><p>name{Внутренний волк:}<br>· Атакует вместе с name{обычными атаками} name{Рэйзора}, нанося electro{Электро урон};<br>· Увеличивает name{скорость атаки} и electro{Электро сопротивление} name{Рэйзора};<br>· Даёт Рэйзору иммунитет от урона, вызванного статусом electro{Заряжен};<br>· name{Заряженные атаки} name{Рэйзора} становятся недоступны;<br>· Повышает устойчивость к прерыванию атак name{Рэйзора}.</p><p>Эти эффекты заканчиваются, когда name{Рэйзор} покидает бой.<br>Когда name{Рэйзор} покидает бой, оставшееся время длительности навыка возвращается к нему в виде энергии. Макс. 10 name{ед. энергии}.</p><p><i>Волк пробудился. Охота продолжается.</i></p>";<p>Summons the Wolf Within, which deals electro{Electro DMG} to all nearby opponents. This clears all of name{Razor}'s Electro Sigils, which will be converted into name{Elemental Energy} for him.<br>The Wolf Within will fight alongside name{Razor} for the skill's duration.</p><p>name{The Wolf Within}<br>·Strikes alongside name{Razor}'s normal attacks, dealing electro{Electro DMG}.<br>·Raises name{Razor}'s name{ATK SPD} and electro{Electro RES}.<br>·Causes name{Razor} to be immune to DMG inflicted by the electro{Electro-Charged} status.<br>·Disables name{Razor}'s name{Charged Attacks}.<br>·Increases name{Razor}'s resistance to interruption.</p><p>These effects end when name{Razor} leaves the battlefield.<br>When name{Razor} leaves the field, a maximum of 10 name{Energy} will be returned to him based off the duration remaining on this skill.</p><p><i>The wolf has awoken. The hunt is on.</i></p>
