category;name;rus;eng
char_name;rosaria;Розария;Rosaria
talent_name;rosaria_rites_of_termination;Обряд кончины;Rites of Termination
talent_descr;rosaria_rites_of_termination;<p>Авторская молитва name{Розарии}. После кругового взмаха своим оружием она вонзает Ледяное копьё в землю. Обе этих атаки наносят cryo{Крио урон}.<br>Пока активно, Ледяное копьё периодически выпускает холодный воздух, который наносит cryo{Крио урон} окружающим врагам.</p><p><i>Суждение так утомляет. Предлагаю пропустить его и перейти непосредственно к заключительному обряду. Мне провести этот обряд необычайно легко, потому что я не верю в Анемо Архонта.</i></p>;"<p>name{Rosaria}'s unique take on this prayer ritual: First, she swings her weapon to slash surrounding opponents; then, she summons a frigid name{Ice Lance} that strikes the ground. Both actions deal cryo{Cryo DMG}.<br>While active, the name{Ice Lance} periodically releases a blast of cold air, dealing cryo{Cryo DMG} to surrounding opponents.</p><p><i>Judgment is such a tedious ordeal — much easier to skip that phase and get straight to the last rites. name{Rosaria} was never very devoted to the Anemo God anyway, which makes performing them all too easy.</i></p>"
talent_name;rosaria_spear_of_the_church;Копьё церкви;Spear of the Church
talent_descr;rosaria_spear_of_the_church;<p>name{Обычная атака:}<br>До пяти ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;rosaria_ravaging_confession;Казнящая исповедь;Ravaging Confession
talent_descr;rosaria_ravaging_confession;<p>Розария стремительно передвигается за противника и пронзает его своим копьём, нанося cryo{Крио урон}.<br>Эта способность не позволяет переместиться за противников крупного телосложения.</p><p><i>Исповедующиеся сестре name{Розарии} не получат отпущения грехов. Любой грех, малый и тяжкий, встретит свою холодную кару.</i></p>;<p>name{Rosaria} swiftly shifts her position to appear behind her opponent, then stabs and slashes them with her polearm, dealing cryo{Cryo DMG}.<br>This ability cannot be used to travel behind opponents of a larger build.</p><p><i>Those who confess to Sister name{Rosaria} will be granted no absolution. All sinners shall be met with the piercing cold of punishment proportionate to the weight of their sins.</i></p>
talent_name;rosaria_regina_probationum;Покаяние призрака;Regina Probationum
talent_descr;rosaria_regina_probationum;Атаки со спины навыка skill{skill:Казнящая исповедь} увеличивают name{шанс крит. попадания} name{Розарии} на %{crit_rate} в течение 5 сек.;When name{Rosaria} strikes an opponent from behind using skill{skill:Ravaging Confession}, name{Rosaria}'s name{CRIT Rate} increases by %{crit_rate} for 5s.
talent_name;rosaria_shadow_samaritan;Поддерживающая тьма;Shadow Samaritan
talent_descr;rosaria_shadow_samaritan;Активация навыка skill{burst:Обряд кончины} увеличивает name{шанс крит. попадания} всех членов отряда (кроме самой name{Розарии}) на %{text_percent} от шанса крит. попадания name{Розарии} в течение 10 сек.<br>Добавленный таким образом name{шанс крит. попадания} не может превышать %{text_percent}.;Casting skill{burst:Rites of Termination} increases name{CRIT Rate} of all nearby party members (except name{Rosaria} herself) by %{text_percent} of name{Rosaria}'s name{CRIT Rate} for 10s.<br>name{CRIT Rate} Bonus gained this way cannot exceed %{text_percent}.
talent_name;rosaria_unholy_revelation;Откровения грешника;Unholy Revelation
talent_descr;rosaria_unholy_revelation;При критическом попадании скорость и name{урон обычной атаки} name{Розарии} повышается на %{atk_speed_normal} в течение 4 сек.;When name{Rosaria} deals a name{CRIT Hit}, her name{ATK SPD} increases by %{atk_speed_normal} and her name{Normal Attack DMG} increases by %{dmg_normal} for 4s.
talent_name;rosaria_land_without_promise;Несчастная земля;Land Without Promise
talent_descr;rosaria_land_without_promise;Увеличивает длительность существования name{Ледяного копья} навыка skill{burst:Обряд кончины} на 4 сек.;The duration of the name{Ice Lance} created by skill{burst:Rites of Termination} is increased by 4s.
talent_name;rosaria_the_wages_of_sin;Таинство покаяния;The Wages of Sin
talent_name;rosaria_painful_grace;Благодатные муки;Painful Grace
talent_descr;rosaria_painful_grace;Крит. попадания навыка skill{skill:Казнящая исповедь} восстанавливают 5 name{ед. энергии} name{Розарии}.<br>Может возникнуть не более 1 раза за каждое использование навыка name{Казнящая исповедь}.;skill{skill:Ravaging Confession}'s CRIT Hits regenerate 5 name{Energy} for name{Rosaria}.<br>Can only be triggered once each time name{Ravaging Confession} is cast.
talent_name;rosaria_last_rites;Предсмертная молитва;Last Rites
talent_name;rosaria_divine_retribution;Божественный суд;Divine Retribution
talent_descr;rosaria_divine_retribution;Атаки навыка skill{burst:Обряд кончины} понижают name{физ. сопротивление} врагов на %{enemy_res_phys} в течение 10 сек.;skill{burst:Rites of Termination}'s attack decreases opponents' name{Physical RES} by %{enemy_res_phys} for 10s.
