category;name;rus;eng
char_name;sandrone;Сандроне;Sandrone
feature_attack;sandrone_charged_attack_sweeping_fire_dmg;Урон ураганного огня заряженной атаки;Charged Attack Sweeping Fire DMG
feature_attack;sandrone_charged_attack_condensed_beam_dmg;Урон конденсационного луча заряженной атаки;Charged Attack Condensed Beam DMG
feature_attack;sandrone_charged_attack_condensed_beam_stellar_conduct_dmg;Конденсационный луч заряженной атаки: урон Звёздного проводника;Charged Attack Condensed Beam Stellar-Conduct DMG
feature_attack;sandrone_dmg_when_in_power_overdrive;Урон Перегрузки мощности;DMG When in Power Overdrive
talent_name;sandrone_self_evident_proposition;Формула явлений: Очевидное заключение;Formule Phenomenale: Self-Evident Proposition
talent_descr;sandrone_self_evident_proposition;<p>name{Обычная атака:}<br>Из формул плетёт нити, которые управляют её оружием, и производит до трёх последовательных ударов.</p><p>name{Заряженная атака:}<br>Призывает Функциональный Автономный Жизнестойкий Инженерный Организм «name{Фажио}» и переводит его в режим name{skill{n11330001:Дешифрования}}: атакует противников впереди ураганным огнём и периодически выпускает конденсационные лучи, нанося cryo{Крио урон по площади}.<br>name{Сияние - Звёздный проводник}: конденсационные лучи теперь наносят cryo{Крио урон по площади}, который считается уроном реакции Звёздный проводник.<br>В режиме name{Дешифрования} name{skill{n11330002:Дешифровочная мощность}} Фажио постоянно повышается. При выпуске конденсационных лучей Дешифровочная мощность повышается ещё больше.<br>Когда Дешифровочная мощность достигает максимума в 100 ед., Фажио переходит в режим name{Перегрузки мощности}, в котором обстреливает врагов с более долгими интервалами, нанося cryo{Крио урон}. При этом она не может переключиться в режим Дешифрования.<br>Вне режима name{Дешифрования} name{Дешифровочная мощность} Фажио постепенно снижается. Когда name{Сандроне} не на поле боя, она фокусируется на починке Фажио, из-за чего Дешифровочная мощность Фажио снижается на скорости 300% от исходной.<br>Когда name{Дешифровочная мощность} опускается ниже 50 ед., Фажио выходит из режима name{Перегрузки мощности}.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;"<p>name{Normal Attack}<br>Generates threads that control her weapon using formulae, performing up to 3 consecutive strikes.</p><p>name{Charged Attack}<br>Summons the Facilitatrice Automatisee Generaliste Interactive et Omnitache, or ""name{Fagio},"" and switches it to name{skill{n11330001:Decoding}} mode: Unleashes a sweeping fire attack on enemies in front, as well as periodically fires condensed beams, dealing cryo{AoE Cryo DMG}.<br>name{Radiance: Stellar-Conduct}: The condensed beams will instead deal cryo{AoE Cryo DMG} that is considered Stellar-Conduct DMG.<br>While in name{Decoding} mode, Fagio's name{skill{n11330002:Decoding Power}} will continuously increase. Firing condensed beams will also further increase its Decoding Power.<br>When Fagio's Decoding Power reaches the maximum of 100 points, it switches to name{Power Overdrive} mode, in which it fires at opponents with longer intervals, dealing cryo{Cryo DMG}. It will be unable to switch to Decoding mode at this time.<br>When not in name{Decoding} mode, Fagio's name{Decoding Power} gradually decreases. When name{Sandrone} is off-field, she will focus on maintaining Fagio, causing its Decoding Power to decrease at 300% the original rate.<br>Fagio exits name{Power Overdrive} mode when its name{Decoding Power} has decreased to under 50.</p><p>name{Plunging Attack}<br>Plunges from midair to strike the ground below, dealing DMG to opponents along their path and causing name{AoE DMG} on landing.</p>"
feature_skill;sandrone_prism_shot_dmg;Урон призматического снаряда;Prism Shot DMG
feature_skill;sandrone_prism_shot_stellar_conduct_dmg;Урон Звёздного проводника призматического снаряда;Prism Shot Stellar-Conduct DMG
talent_name;sandrone_differential_analysis;Формула явлений: Дифференциальный анализ;Formule Phenomenale: Differential Analysis
talent_descr;sandrone_differential_analysis;<p>Соблюдая правила безупречного дамского этикета, name{Сандроне} садится на name{Тактический штурмовой ховермех для чаепитий} и парит вперёд в течение 6 сек. В это время name{Сандроне} может управлять направлением парения. Если нажать на спринт, она расходует 10 ед. выносливости и переходит в режим элегантного скоростного парения, в котором перемещается ещё быстрее, расходуя 15 ед. выносливости в сек.</p><p>Если в начале парения рядом есть враги, name{Сандроне} также призывает призморезонансную пушку и выстреливает во врагов, которые ещё не успокоились, два призматических снаряда, нанося cryo{Крио урон}.<br>name{Сияние - Звёздный проводник}: второй призматический снаряд теперь наносит cryo{Крио урон}, который считается уроном реакции Звёздный проводник.</p><p>Находясь на Тактическом штурмовом ховермехе для чаепитий, name{Сандроне} также изящно и незаметно чинит Фажио, из-за чего name{skill{n11330002:Дешифровочная мощность}} быстро снижается.</p><p><i>Вращение шестерёнок, точка замерзания Первозданного моря, нежная частота серенад, законы древних приливов и отливов, восход и заход луны - всё это подчиняется дешифруемым теоремам.<br>«Тогда не помешает признать - а признать мы обязаны, - что наши божества, надежды и любовь поддаются рациональному определению».</i></p>;"<p>With her impeccable, ladylike poise, name{Sandrone} boards the name{Tea Party Tactical Assault Hovermech} and hovers forward for 6s. During this time, name{Sandrone} can control the travel direction of the craft. Pressing Sprint consumes 10 Stamina and launches her into an elegant high-speed hover mode, in which she will move even faster at the cost of 15 Stamina per second.</p><p>When name{Sandrone} starts hovering, if there are opponents nearby, she will also summon a Prismatic Resonance Cannon and fire 2 Prism Shots at any opponents who have yet to cool down, dealing cryo{Cryo DMG}.<br>name{Radiance: Stellar-Conduct}: The second Prism Shot will instead deal cryo{Cryo DMG} that is considered Stellar-Conduct DMG.</p><p>When on the Tea Party Tactical Assault Hovermech, name{Sandrone} will also elegantly and quietly repair Fagio, causing name{skill{n11330002:Decoding Power}} to swiftly decrease.</p><p><i>The turning of the gears in various machines, the precise point where the Primordial Sea freezes, the frequency at which the night songs gently drift in the air, the ancient laws of the tides' ebb and flow, and the rising and setting of the moon... All these can be brought under theorems reducible to clean, neat formulas.<br>""Then it does us no harm to admit, as indeed we must, that our gods, our hopes, and the things we love — they can all be defined by reason.""</i></p>"
feature_burst;sandrone_bombardment_dmg;Урон бомбардировки;Bombardment DMG
feature_burst;sandrone_convective_inhibition_ray_dmg;Урон кумулятивного криолуча;Convective Inhibition Ray DMG
feature_burst;sandrone_convective_inhibition_ray_stellar_conduct_dmg;Кумулятивный криолуч: урон Звёздного проводника;Convective Inhibition Ray Stellar-Conduct DMG
talent_name;sandrone_q_e_d;Формула явлений: Ч. Т. Д.;Formule Phenomenale: Q.E.D.
talent_descr;sandrone_q_e_d;<p>Соблюдая правила изящного дамского этикета, name{Сандроне} призывает множество призморезонансных пушек, чтобы произвести массированную фронтальную бомбардировку, а затем обрушивает на противников кумулятивный криолуч, нанося cryo{Крио урон по площади}.<br>name{Сияние - Звёздный проводник}: кумулятивный криолуч теперь наносит cryo{Крио урон по площади}, который считается уроном реакции Звёздный проводник.</p><p><i>«Если есть веские доказательства, я могу поверить. Если нет, то сначала я должна доказать».<br>«Вот подобающее поведение леди. Разве можно назвать леди ту, кто по слабости воли поддаётся неизведанному?»</i></p>;"<p>In line with established ladylike behavior, name{Sandrone} summons a large number of Prismatic Resonance Cannons for a frontal bombardment before firing on her foes with a Convective Inhibition Ray, dealing cryo{AoE Cryo DMG}.<br>name{Radiance: Stellar-Conduct}: The Convective Inhibition Ray instead deals cryo{AoE Cryo DMG} that is considered Stellar-Conduct DMG.</p><p><i>""I can believe in something so long as solid evidence can be produced for it. If not, then I will have to first prove it.""<br>""This is how a proper lady carries herself. She who submits to the unknown out of weakness of will cannot be called such.""</i></p>"
talent_name;sandrone_eternal_speculation_engine;Вечный вычислительный механизм;Eternal Speculation Engine
