category;name;rus;eng
char_name;sangonomiya_kokomi;Кокоми;Sangonomiya Kokomi
talent_name;sangonomiya_kokomi_nereids_ascension;Вознесение нереиды;Nereid's Ascension
talent_descr;sangonomiya_kokomi_nereids_ascension;<p>Сила Ватацуми нисходит на поле боя, наносит hydro{Гидро урон} окружающим противникам и облачает Кокоми в name{Церемониальное одеяние}, сотканное из текущих вод Сангономии.</p><p>name{Церемониальное одеяние}<br>· name{Урон обычной атаки}, name{заряженной атаки} и name{Бакэ-курагэ} name{элементального навыка} name{Сангономии Кокоми} увеличивается пропорционально её name{макс. HP}.<br>· При попадании обычной или name{заряженной атакой} Кокоми восстанавливает name{HP} всем окружающим членам отряда. Количество восстановленного name{HP} пропорционально name{макс. HP} Кокоми.<br>· Повышает сопротивление прерыванию name{Сангономии Кокоми} и позволяет ей двигаться по водной поверхности.</p><p>Эффекты пропадают, когда name{Сангономия Кокоми} покидает бой.</p><p><i>Чистый свет сливается в одежды вокруг её превосходительства name{Сангономии Кокоми}, отражая её великолепный силуэт.</i></p>;<p>Summons the might of Watatsumi, dealing hydro{Hydro DMG} to surrounding opponents, before robing name{Kokomi} in a name{Ceremonial Garment} made from the flowing waters of Sangonomiya.</p><p>name{Ceremonial Garment}<br>·name{Sangonomiya Kokomi}'s name{Normal Attack}, name{Charged Attack} and name{Bake-Kurage} DMG are increased based on her name{Max HP}.<br>·When her name{Normal} and name{Charged Attacks} hit opponents, name{Kokomi} will restore name{HP} for all nearby party members, and the amount restored is based on her name{Max HP}.<br>·Increases name{Sangonomiya Kokomi}'s resistance to interruption and allows her to walk on the water's surface.</p><p>These effects will be cleared once name{Sangonomiya Kokomi} leaves the field.</p><p><i>Clear light coalesces into robes around Her Excellency, name{Sangonomiya Kokomi}, reflecting her magnificent form.</i></p>
talent_name;sangonomiya_kokomi_the_shape_of_water;Форма воды;The Shape of Water
talent_descr;sangonomiya_kokomi_the_shape_of_water;<p>name{Обычная атака:}<br>Запускает до трёх иллюзорных рыбок, которые наносят hydro{Гидро урон}.</p><p>name{Заряженная атака:}<br>После прочтения краткого заклинания, на которое тратится определённое количество выносливости, наносит hydro{Гидро урон по площади}.</p><p>name{Атака в падении:}<br>Накопив энергию воды, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive attacks that take the form of swimming fish, dealing hydro{Hydro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal hydro{AoE Hydro DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Gathering the might of Hydro, name{Kokomi} plunges towards the ground from mid-air, damaging all opponents in her path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
talent_name;sangonomiya_kokomi_kurages_oath;Клятва курагэ;Kurage's Oath
talent_descr;sangonomiya_kokomi_kurages_oath;<p>Призывает созданного из воды name{Бакэ-курагэ}, который может лечить союзников.<br>Использование этого навыка накладывает на Сангономию Кокоми статус hydro{Мокрый}.</p><p>name{Бакэ-курагэ}<br>Наносит hydro{Гидро урон} окружающим противникам и периодически лечит активных персонажей поблизости. Объём лечения зависит от name{макс. HP} name{Сангономии Кокоми}.</p><p><i>Для поддержания оптимальной рабочей эффективности Кокоми требуется своевременно «освежиться».</i></p>;"<p>Summons a ""name{Bake-Kurage}"" created from water that can heal her allies.<br>Using this skill will apply the hydro{Wet} status to name{Sangonomiya Kokomi}.</p><p>name{Bake-Kurage}<br>Deals hydro{Hydro DMG} to surrounding opponents and heals nearby active characters at fixed intervals. This healing is based on name{Kokomi}'s name{Max HP}.</p><p><i>name{Kokomi} needs timely ""refreshment"" in order to maintain optimal work efficiency</i>.</p>"
talent_name;sangonomiya_kokomi_tamakushi_casket;Шкатулка тамакуси;Tamakushi Casket
talent_descr;sangonomiya_kokomi_tamakushi_casket;Активация навыка skill{burst:Вознесение нереиды} в то время, когда на поле боя есть собственный name{Бакэ-курагэ} name{Сангономии Кокоми}, обновляет длительность этого name{Бакэ-курагэ}.;If name{Sangonomiya Kokomi}'s own name{Bake-Kurage} is on the field when she uses skill{burst:Nereid's Ascension}, the name{Bake-Kurage}'s duration will be refreshed.
talent_name;sangonomiya_kokomi_song_of_pearls;Песнь о жемчуге;Song of Pearls
talent_descr;sangonomiya_kokomi_song_of_pearls;Когда name{Сангономия Кокоми} облачена в name{Церемониальное одеяние} навыка skill{burst:Вознесение нереиды}, бонус урона name{обычной} и name{заряженной атаки}, пропорциональный name{макс. HP} name{Сангономии Кокоми}, увеличивается ещё на %{text_percent} от её бонуса лечения.;While donning the name{Ceremonial Garment} created by skill{burst:Nereid's Ascension}, the name{Normal} and name{Charged Attack DMG} Bonus name{Sangonomiya Kokomi} gains based on her name{Max HP} will receive a further increase based on %{text_percent} of her name{Healing Bonus}.
talent_name;sangonomiya_kokomi_at_waters_edge;У края воды;At Water's Edge
talent_descr;sangonomiya_kokomi_at_waters_edge;Когда name{Сангономия Кокоми} облачена в name{Церемониальное одеяние} навыка skill{burst:Вознесение нереиды}, последний удар её name{обычной атаки} создаёт плавающую рыбу, которая наносит hydro{Гидро урон}, равный %{text_percent_dmg} от её name{макс. HP}.<br>Этот урон не считается уроном name{обычной атаки}.;While donning the name{Ceremonial Garment} created by skill{burst:Nereid's Ascension}, the final name{Normal Attack} in name{Sangonomiya Kokomi}'s combo will unleash a swimming fish to deal %{text_percent_dmg} of her name{Max HP} as hydro{Hydro DMG}.<br>This DMG is not considered name{Normal Attack DMG}.
talent_name;sangonomiya_kokomi_the_clouds_like_waves_rippling;Волны моря облаков;The Clouds Like Waves Rippling
talent_descr;sangonomiya_kokomi_the_clouds_like_waves_rippling;name{Сангономия Кокоми} получает следующие бонусы лечения по отношению к персонажам, name{HP} которых равно или меньше 50%:<br>· name{Бакэ-курагэ} навыка skill{skill:Клятва курагэ}: %{text_percent_1} от name{макс. HP}.<br>· name{Обычные} и name{заряженные атаки} навыка skill{burst:Вознесение нереиды}: %{text_percent_2} от name{макс. HP}.;name{Sangonomiya Kokomi} gains the following name{Healing Bonuses} with regard to characters with 50% or less name{HP} via the following methods:<br>·skill{skill:Kurage's Oath} name{Bake-Kurage}: %{text_percent_1} of name{Kokomi}'s name{Max HP}.<br>·skill{burst:Nereid's Ascension} name{Normal} and name{Charged Attacks}: %{text_percent_2} of name{Kokomi}'s name{Max HP}.
talent_name;sangonomiya_kokomi_the_moon_a_ship_oer_the_seas;Лунный челн средь вод;The Moon, A Ship O'er the Seas
talent_name;sangonomiya_kokomi_the_moon_overlooks_the_waters;Луна взирает на ручьи;The Moon Overlooks the Waters
talent_descr;sangonomiya_kokomi_the_moon_overlooks_the_waters;Когда name{Сангономия Кокоми} облачена в name{Церемониальное одеяние} навыка skill{burst:Вознесение нереиды}, скорость её name{обычной атаки} увеличивается на %{atk_speed_normal}, а попадания name{обычной атакой} восстанавливают ей 0,8 name{ед. энергии}.<br>Этот эффект может возникнуть только раз в 0,2 сек.;While donning the name{Ceremonial Garment} created by skill{burst:Nereid's Ascension}, name{Sangonomiya Kokomi}'s name{Normal Attack SPD} is increased by %{atk_speed_normal}, and name{Normal Attacks} that hit opponents will restore 0.8 name{Energy} for her.<br>This effect can occur once every 0.2s.
talent_name;sangonomiya_kokomi_all_streams_flow_to_the_sea;Все реки впадают в море;All Streams Flow to the Sea
talent_name;sangonomiya_kokomi_sango_isshin;Санго иссин;Sango Isshin
talent_descr;sangonomiya_kokomi_sango_isshin;Когда name{Сангономия Кокоми} облачена в name{Церемониальное одеяние} навыка skill{burst:Вознесение нереиды}, она получает %{dmg_hydro} бонус hydro{Гидро урона} на 4 сек. после того, как её name{обычные} или name{заряженные атаки} лечат персонажа с name{HP}, равным или выше 80%.;While donning the name{Ceremonial Garment} created by skill{burst:Nereid's Ascension}, name{Sangonomiya Kokomi} gains a %{dmg_hydro} hydro{Hydro DMG Bonus} for 4s when her name{Normal} and name{Charged Attacks} heal, or would heal, any party member with 80% or more name{HP}.
