category;name;rus;eng
char_name;sayu;Саю;Sayu
talent_name;sayu_mujina_flurry;Искусство Юху: Сумасшествие Мудзина;Yoohoo Art: Mujina Flurry
talent_descr;sayu_mujina_flurry;<p>Другая невероятная техника искусства Юху! Она призывает на помощь Саю пару умелых рук.<br>Наносит anemo{Анемо урон} окружающим противникам и лечит всех ближайших членов отряда. Количество восстановленного HP зависит от силы атаки Саю. Затем этот навык призывает Мудзи-Мудзи Даруму.</p><p>name{Мудзи-Мудзи Дарума}<br>Через определённые промежутки времени в зависимости от ситуации Дарума будет исполнять одно из следующих действий:<br>· Если HP ближайших персонажей выше 70%, он атакует ближайшего противника, нанося anemo{Анемо урон}.<br>· Если рядом есть персонажи с HP равным 70% или ниже, он лечит персонажа с наименьшим оставшимся количеством HP. Если поблизости нет противников, а HP ближайших персонажей выше 70%, то он просто лечит персонажей.</p><p><i>Ничего не знающие о ниндзюцу люди любят смотреть, как Саю демонстрирует это умение, и некоторые даже пытаются научиться у неё. Но сама Саю просто хочет, чтобы ей дали поспать и не тревожили.</i></p>;<p>The other super special technique of the Yoohoo Ninja Arts! It summons a pair of helping hands for Sayu.<br>Deals anemo{Anemo DMG} to nearby opponents and heals all nearby party members. The amount of HP restored is based on Sayu's ATK. This skill then summons a Muji-Muji Daruma.</p><p>name{Muji-Muji Daruma}<br>At specific intervals, the Daruma will take one of several actions based on the situation around it:<br>·If the HP of nearby characters is above 70%, it will attack a nearby opponent, dealing anemo{Anemo DMG}.<br>·If there are active characters with 70% or less HP nearby, it will heal the active character with the lowest percentage HP left. If there are no opponents nearby, it will heal active characters nearby even if they have 70% HP or more.</p><p><i>People who don't know the first thing about ninjutsu love to watch Sayu show off this skill, and some have tried to learn it from her. But Sayu just wants to sleep and not be disturbed.</i></p>
talent_name;sayu_shuumatsuban_ninja_blade;Ниндзюцу Сюмацубан;Shuumatsuban Ninja Blade
talent_descr;sayu_shuumatsuban_ninja_blade;<p>name{Обычная атака:}<br>До четырёх рубящих ударов мечом.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;sayu_fuuin_dash;Искусство Юху: Рывок Фуин;Yoohoo Art: Fuuin Dash
talent_descr;sayu_fuuin_dash;<p>Особая техника искусства ниндзя Юху!<br>Саю сворачивается в Ветряное колесо Фуфу и на высокой скорости врезается в противников, нанося им anemo{Анемо урон}. После окончания действия навыка Саю совершает Удар вихря Фуфу, который наносит anemo{Анемо урон по площади}.</p><p>name{Быстрое нажатие:}<br>Принимает форму Ветряного колеса Фуфу, катится небольшое расстояние вперёд и совершает Удар вихря Фуфу.</p><p>name{Долгое нажатие:}<br>Непрерывно катится в форме Ветряного колеса Фуфу и повышает сопротивление прерыванию Саю, пока она находится в этой форме.<br>В течение этого времени Саю может выбирать направление кувырка, а также может использовать навык снова, чтобы преждевременно выйти из формы Ветряного колеса Фуфу и совершить более сильный Удар вихря Фуфу.<br>Долгое нажатие этого навыка может активировать поглощение стихий.</p><p>Этот навык может длиться максимум 10 сек., после чего переходит в режим отката. Чем дольше Саю остаётся в форме Ветряного колеса Фуфу, тем дольше будет время отката навыка.</p><p>name{Поглощение стихии:}<br>Будучи в форме Ветряного колеса Фуфу, Саю может войти в контакт с элементами hydro{Гидро}, pyro{Пиро}, cryo{Крио} или electro{Электро}, и тогда Ветряное колесо Фуфу и Удар вихря Фуфу нанесут дополнительный урон этим элементом.<br>За каждое использование навык может поглотить только один элемент.</p><p><i>Саю может пользоваться этим умением с закрытыми глазами. Изначально оно было создано как средство для побега, но теперь, когда у Саю есть Глаз Бога, она может доставить множество неприятностей своим врагам.</i></p>;<p>The special technique of the Yoohoo Ninja Arts!<br>Sayu curls up into a rolling Fuufuu Windwheel and smashes into opponents at high speed, dealing anemo{Anemo DMG}. When the duration ends, she unleashes a Fuufuu Whirlwind Kick, dealing anemo{AoE Anemo DMG}.</p><p>name{Press}<br>Enters the Fuufuu Windwheel state, rolling forward a short distance before using the Fuufuu Whirlwind Kick.</p><p>name{Hold}<br>Rolls about continuously in the Fuufuu Windwheel state, increasing Sayu's resistance to interruption while within that state.<br>During this time, Sayu can control the direction of her roll, and can use the skill again to end her Windwheel state early and unleash a stronger version of the Fuufuu Whirlwind Kick.<br>The Hold version of this skill can trigger Elemental Absorption.</p><p>This skill has a maximum duration of 10s and enters CD once its effects end. The longer Sayu remains in her Windwheel state, the longer the CD.</p><p>name{Elemental Absorption}<br>If Sayu comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro} while in her Windwheel state, she will deal additional elemental DMG of that type.<br>Elemental Absorption may only occur once per use of this skill.</p><p><i>Sayu can pull this skill off with her eyes closed. This technique was originally created for escaping, but now that she's got a Vision, might as well make her foes eat dirt while she's at it.</i></p>
talent_name;sayu_someone_more_capable;Кое-кто более подходящий;Someone More Capable
talent_descr;sayu_someone_more_capable;Когда name{Саю}, будучи активным персонажем, вызывает реакцию anemo{Рассеивание}, она восстанавливает %{text_value} name{HP} всем членам отряда и окружающим союзникам. Она также восстанавливает %{text_value_hp} name{HP} за каждую имеющуюся единицу name{мастерства стихий}.<br>Этот эффект может возникнуть раз в 2 сек.;When name{Sayu} triggers a anemo{Swirl} reaction while active, she heals all your characters and nearby allies for %{text_value} name{HP}. She will also heal an additional %{text_value_hp} name{HP} for every point of name{Elemental Mastery} she has.<br>This effect can be triggered once every 2s.
talent_name;sayu_no_work_today;Не хочу работать!;No Work Today!
