category;name;rus;eng
char_name;sethos;Сетос;Sethos
talent_name;sethos_twilight_shadowpiercer;Тайный ритуал: Сумеречный пронзитель теней;Secret Rite: Twilight Shadowpiercer
talent_descr;sethos_twilight_shadowpiercer;<p>Выполняет тайный ритуал и входит в состояние Сумрачной медитации. В этом состоянии обычные атаки name{Сетоса} превращаются в пронзающие врагов name{Болты сумрака}: они наносят electro{Электро урон} врагам на пути, а их урон увеличивается пропорционально мастерству стихий name{Сетоса}.<br>Во время действия этого состояния name{Сетос} не может выполнять прицельные выстрелы.<br>Урон Болтов сумрака считается уроном name{заряженной атаки}.<br>Эффект исчезает, когда name{Сетос} покидает поле боя.</p><p><i>В архивах Храма Молчания хранится множество книг, оставленных Ахтамуном со времён царя Дешрета. В них описано множество могущественных тайных ритуалов, но даже в Храме Молчания лишь немногие смогли овладеть ими.</i></p>;"<p>Perform a secret rite, entering the ""Twilight Meditation"" state, during which name{Sethos}'s name{Normal Attacks} will be converted into enemy-piercing name{Dusk Bolts}: Deal electro{Electro DMG} to opponents in its path, with DMG increased based on name{Sethos}'s name{Elemental Mastery}.<br>name{Sethos} cannot perform Aimed Shots while in this state.<br>DMG dealt by Dusk Bolts is considered name{Charged Attack DMG}.<br>This effect will be canceled when name{Sethos} leaves the field.</p><p><i>The archives of the Temple of Silence preserve many tomes left behind by Akhtamun, from the era of King Deshret. Many secret rituals of great power are recorded within, but even among the Temple of Silence, very few could master them.</i></p>"
talent_name;sethos_royal_reed_archery;Королевское мастерство стрельбы;Royal Reed Archery
talent_descr;sethos_royal_reed_archery;<p>name{Обычная атака:}<br>До трёх последовательных выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается силой Электро. Эффект зависит от длительности заряда стрелы:<br>· Уровень заряда 1: Выпускает стрелу, наполненную силой молнии, которая наносит electro{Электро урон}.<br>· Уровень заряда 2: Выпускает name{Пронзающий тени выстрел}, который пронзает цели и наносит electro{Электро урон} врагам на своём пути. Когда name{Пронзающий тени выстрел} полностью заряжен, name{Сетос} не сможет передвигаться.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, the power of Electro will accumulate on the arrowhead before the arrow is fired. Has different effects based on how long the energy has been charged:<br>·Charge Level 1: Fires off an arrow carrying the power of lightning that deals electro{Electro DMG}.<br>·Charge Level 2: Fires off a name{Shadowpiercing Shot} which can pierce enemies, dealing electro{Electro DMG} to enemies along its path. After the name{Shadowpiercing Shot} is fully charged, name{Sethos} cannot move around.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
talent_name;sethos_the_thundering_sands;Древний обряд: Громогласный рёв песка;Ancient Rite: The Thundering Sands
talent_descr;sethos_the_thundering_sands;<p>Собрав мощь грома, наносит electro{Электро урон по площади} и стремительно отступает. Если данная атака активирует реакции electro{Заряжен}, electro{Лунный заряд}, cryo{Сверхпроводник}, pyro{Перегрузка}, dendro{Стимуляция}, electro{Обострение}, dendro{Вегетация} или electro{Электро Рассеивание}, name{Сетос} восстанавливает некоторое количество энергии.</p><p><i>«Питаемый силой божества жрец, чародеи, что превратили ямы в источники - певцы пустыни до сих пор передают сказания о них... Но я знаю, что это вовсе не легенды, поскольку они - наши предки».</i></p>;"<p>Gathers the might of thunder, dealing electro{AoE Electro DMG} and quickly retreating. If this attack triggers electro{Electro-Charged}, electro{Lunar-Charged}, cryo{Superconduct}, pyro{Overloaded}, dendro{Quicken}, electro{Aggravate}, dendro{Hyperbloom}, or electro{Electro Swirl} reactions, name{Sethos} recovers a certain amount of name{Elemental Energy}.</p><p><i>""The God indwelt Priest, the Magi who turned pits to springs, the singers of the sea of sand still spread their stories... But I know those are not legends, for they are our ancestors.""</i></p>"
talent_name;sethos_black_kites_enigma;Загадка чёрного коршуна;Black Kite's Enigma
talent_descr;sethos_black_kites_enigma;Длительность заряда во время прицеливания сокращается на 0.285 сек. за каждую единицу текущей энергии name{Сетоса}. Длительность заряда таким способом можно сократить максимум до 0,3 сек., причём засчитывается до 20 name{единиц энергии}. При этом skill{attack:Пронзающий тени выстрел} расходует засчитанное количество энергии, тогда как выстрел уровня заряда 1 расходует 50% от засчитанного количества энергии.;"When Aiming, the charging time is decreased by 0.285s based on each point of name{Sethos}'s current name{Elemental Energy}. Charging time can be reduced to a minimum of 0.3s through this method and a maximum of 20 name{Energy} can be tallied. If a skill{attack:Shadowpiercing Shot} is fired, consume the tallied amount of name{Elemental Energy}; if it is a Charge Level 1 shot, then consume 50% of the tallied amount of name{Elemental Energy}."
talent_name;sethos_the_sand_kings_boon;Милость короля песков;The Sand King's Boon
