category;name;rus;eng
char_name;shikanoin_heizou;Хэйдзо;Shikanoin Heizou
talent_name;shikanoin_heizou_windmuster_kick;Ураганный удар;Windmuster Kick
talent_descr;shikanoin_heizou_windmuster_kick;<p>Взмывает в воздух и совершает взрывной удар Снаряда пустоты стиля Фудо. Снаряд пустоты при попадании взрывается и создаёт Ураганный туннель, притягивающий предметы и противников поблизости, а также наносит anemo{Анемо урон по площади}.<br>При попадании по противникам под воздействием hydro{Гидро}/pyro{Пиро}/cryo{Крио}/electro{Электро} Снаряд пустоты стиля Фудо накладывает на них Око урагана, которое вскоре взрывается и наносит урон по площади соответствующей стихией.<br>Снаряд пустоты стиля Фудо может наложить Око урагана максимум на 4 поражённых им противников. Один и тот же противник не может одновременно находиться под воздействием Ока урагана разных стихий.</p><p><i>Уникальный приём, который собирает мощь Анемо в одном ударе. Он поражает преступников всякий раз, когда те после разоблачения всё ещё пытаются улизнуть.</i></p>;<p>Leaps into the air and uses the Fudou Style Vacuum Slugger and kicks his opponent. The Vacuum Slugger will explode upon hit and create an Arresting Windtunnel that pulls in nearby objects and opponents, dealing anemo{AoE Anemo DMG}.<br>When Vacuum Slugger hits opponents affected by hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro}, these opponents will be afflicted with Windmuster Iris. This Windmuster Iris will explode after a moment and dissipate, dealing AoE DMG of the corresponding aforementioned elemental type.<br>Vacuum Slugger can afflict a maximum of 4 opponents with the Windmuster Iris. A single opponent cannot be under the effect of Windmuster Irises of different elements at the same time.</p><p><i>A unique technique that gathers Anemo in one place before unleashing it all in one kick. Is always there in a pinch to land on some criminal's fleeing back.</i></p>
talent_name;shikanoin_heizou_fudou_style_martial_arts;Боевой стиль Фудо;Fudou Style Martial Arts
talent_descr;shikanoin_heizou_fudou_style_martial_arts;<p>name{Обычная атака:}<br>До пяти усиленных могучим ветром ударов, которые наносят anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Тратит некоторое количество выносливости на стремительный удар, наносящий anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Накопив энергию сильного ветра, Хэйдзо стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 fisticuffs empowered by a mighty wind, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and performs a sweeping kick that deals anemo{Anemo DMG}.</p><p>name{Plunging Attack}<br>Calling upon the surging wind, Heizou plunges towards the ground from mid-air, damaging all opponents in his path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
talent_name;shikanoin_heizou_heartstopper_strike;Убиение сердца;Heartstopper Strike
talent_descr;shikanoin_heizou_heartstopper_strike;<p>name{Быстрое нажатие}<br>Направляя порыв ветра, совершает удар Убиения сердца, который наносит anemo{Анемо урон}.</p><p>name{Долгое нажатие}<br>Заряжается и наносит ещё более сильный удар. Во время зарядки получает эффект Отклонения, который усиливает удар Убиения сердца. Когда кнопка навыка отпущена или закончена зарядка, совершает удар Убиения сердца вперёд, нанося anemo{Анемо урон}.</p><p>name{Отклонение}<br>Увеличивает урон последующего удара Убиения сердца. Эффект может складываться до 4 раз.<br>На 4 уровне складывания Отклонения появится эффект Верного мнения, который делает урон последующего удара Убиения сердца ещё выше и увеличивает зону поражения.</p><p><i>Этот, казалось бы, незамысловатый прямой удар воплощает стремление Хэйдзо заставить преступников искренне признать свою вину и покаяться.</i></p>;<p>name{Tap}<br>Wields the swift winds to launch a Heartstopper Strike that deals anemo{Anemo DMG}.</p><p>name{Hold}<br>Charges energy to unleash an even stronger blow. He will obtain the Declension effect while charging, which will increase the power of the Heartstopper Strike. When the skill button is released or the skill finishes charging, he will strike forward, dealing anemo{Anemo DMG}.</p><p>name{Declension}<br>Increases the power of the next Heartstopper Strike. Max 4 stacks.<br>When you possess 4 Declension stacks, the Conviction effect will be produced, which will cause the next Heartstopper Strike to be even stronger and have a larger AoE.</p><p><i>This seemingly ordinary strike contains Heizou's desire for criminals to honestly confess and repent.</i></p>
talent_name;shikanoin_heizou_paradoxical_practice;Парадоксальное учение;Paradoxical Practice
talent_descr;shikanoin_heizou_paradoxical_practice;Когда name{Сиканоин Хэйдзо}, будучи активным персонажем, вызывает реакцию anemo{Рассеивания}, он получает 1 уровень эффекта name{Отклонения} skill{skill:Убиения сердца}. Эффект может возникнуть один раз в 0,1 сек.;When name{Shikanoin Heizou} activates a anemo{Swirl} reaction while on the field, he will gain 1 name{Declension} stack for skill{skill:Heartstopper Strike}. This effect can be triggered once every 0.1s.
talent_name;shikanoin_heizou_penetrative_reasoning;Пробивная аргументация;Penetrative Reasoning
