category;name;rus;eng
char_name;sucrose;Сахароза;Sucrose
talent_name;sucrose_wind_spirit_creation;Базовая эссенция ветра;Wind Spirit Creation
talent_descr;sucrose_wind_spirit_creation;<p>name{Обычная атака:}<br>До четырёх ударов эссенцией ветра, наносящих anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее anemo{Анемо урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию ветра, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 attacks using Wind Spirits, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and deals anemo{AoE Anemo DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Calling upon the power of her Wind Spirits, name{Sucrose} plunges towards the ground from mid-air, damaging all opponents in her path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
talent_name;sucrose_astable_anemohypostasis_creation_6308;Эксперимент №6308;Astable Anemohypostasis Creation - 6308
talent_descr;sucrose_astable_anemohypostasis_creation_6308;<p>Создаёт маленького Воздушного духа, который притягивает к себе врагов и предметы, а затем подбрасывает врагов поблизости и наносит им anemo{Анемо урон}.</p><p><i>Немного неловко говорить об этом, но хоть элементальные формы жизни, рождённые в результате этого эксперимента, и рассеиваются очень быстро, они невероятно полезны в приключениях. Даже неудачные эксперименты могут иметь практическое применение.</i></p>;<p>Creates a small Wind Spirit that pulls opponents and objects towards its location, launches opponents within its AoE, and deals anemo{Anemo DMG}.</p><p><i>This is a little embarrassing, but though the elemental lifeforms birthed through this procedure dissipate very rapidly, they are incredibly useful when adventuring. Even failed experiments can have practical applications.</i></p>
talent_name;sucrose_forbidden_creation_isomer_75_type_ii;Запретно! Изомер 75 / Тип II;Forbidden Creation - Isomer 75 / Type II
talent_descr;sucrose_forbidden_creation_isomer_75_type_ii;<p>name{Сахароза} бросает колбу с нестабильным реагентом, который создаёт большого Воздушного духа.<br>Он непрерывно притягивает предметы и врагов поблизости, подбрасывает врагов в воздух, нанося им anemo{Анемо урон}.</p><p>name{Поглощение стихии:}<br>При контакте с элементами hydro{Гидро}, pyro{Пиро}, cryo{Крио} или electro{Электро} большой Воздушный дух наносит дополнительный урон этим элементом.<br>За каждое использование навык может поглотить только один элемент.</p><p><i>name{Сахароза} давала имена каждому из своих нестабильных Анемо Гипостазисов, но их семейное древо выросло намного крупнее 893-х Баронов Зайчиков.</i></p>;<p>name{Sucrose} hurls an unstable concoction that creates a Large Wind Spirit.<br>While it persists, the Large Wind Spirit will continuously pull in surrounding opponents and objects, launch nearby opponents, and deal anemo{Anemo DMG}.</p><p>name{Elemental Absorption}<br>If the Wind Spirit comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro} energy, it will deal additional elemental DMG of that type.<br>Elemental Absorption may only occur once per use.</p><p><i>name{Sucrose} used to give names to her volatile Anemo Hypostases, but their line of heirs quickly grew to surpass Baron Bunny the 893rd.</i></p>
talent_name;sucrose_catalyst_conversion;Замещение катализатора;Catalyst Conversion
talent_descr;sucrose_catalyst_conversion;Вызванная name{Сахарозой} реакция anemo{Рассеивание} увеличивает name{мастерство} соответствующего элемента остальных членов отряда (но не у name{Сахарозы}) на %{text_value} ед. в течение 8 сек.;When name{Sucrose} triggers a anemo{Swirl} reaction, all characters in the party with the matching element (excluding name{Sucrose}) have their name{Elemental Mastery} increased by %{text_value} for 8s.
talent_name;sucrose_mollis_favonius;Сообразительный ветерок;Mollis Favonius
talent_descr;sucrose_mollis_favonius;При попадании навыками skill{skill:«Эксперимент №6308»} или skill{burst:«Запретно! Изомер 75 / Тип II»} увеличивает name{мастерство стихий} остальных членов отряда (но не у name{Сахарозы}) на %{text_percent} от name{мастерства стихий} name{Сахарозы} в течение 8 сек.;When skill{skill:Astable Anemohypostasis Creation - 6308} or skill{burst:Forbidden Creation - Isomer 75 / Type II} hits an opponent, increases all party members' (excluding name{Sucrose}) name{Elemental Mastery} by an amount equal to %{text_percent} of name{Sucrose}'s name{Elemental Mastery} for 8s.
talent_name;sucrose_sevenfold_transmutation;Ведьмин ритуал кануна: Семикратная трансмутация;Witch's Eve Rite: Sevenfold Transmutation
talent_descr;sucrose_sevenfold_transmutation_1;Выполнив skill{Уроки ведьм: Цветы из сказочной страны}, name{Сахароза} станет skill{Ведьмовским} персонажем. Если в отряде хотя бы 2 name{Ведьмовских} персонажа, активируется эффект skill{Ведьмовство: Тайный обряд}, который усиливает name{Ведьмовских} персонажей.;After completing skill{Witch's Homework: Of Wonderland Flowers}, name{Sucrose} will become a skill{Hexerei} character. When the party includes at least 2 name{Hexerei} characters, you will gain the skill{Hexerei: Secret Rite} effect, which enhances name{Hexerei} characters.
talent_descr;sucrose_sevenfold_transmutation_2;skill{Ведьмовство: Тайный обряд}<br>На 15 сек. после создания маленького Воздушного духа name{урон обычной атаки}, name{заряженной атаки}, name{атаки в падении}, name{элементального навыка} и name{взрыва стихии} персонажей отряда поблизости повышается на %{dmg_normal||5}.;skill{Hexerei: Secret Rite}<br>After name{Sucrose} creates a Small Wind Spirit, nearby party members' name{Normal Attack}, name{Charged Attack}, name{Plunging Attack}, name{Elemental Skill}, and name{Elemental Burst DMG} are increased by %{text_percent||5} for 15s.
talent_descr;sucrose_sevenfold_transmutation_3;skill{Ведьмовство: Тайный обряд}<br>На 20 сек. после создания большого Воздушного духа name{урон обычной атаки}, name{заряженной атаки}, name{атаки в падении}, name{элементального навыка} и name{взрыва стихии} name{Ведьмовских} персонажей отряда поблизости повышается на %{dmg_normal||5}.;skill{Hexerei: Secret Rite}<br>After name{Sucrose} creates a Large Wind Spirit, nearby name{Hexerei} party members' name{Normal Attack}, name{Charged Attack}, name{Plunging Attack}, name{Elemental Skill}, and name{Elemental Burst DMG} are increased by %{text_percent||5} for 20s.
talent_name;sucrose_clustered_vacuum_field;Кластерное вакуумное поле;Clustered Vacuum Field
