category;name;rus;eng
char_name;tartaglia;Тарталья;Tartaglia
feature_attack;tartaglia_tide_flash;Урон Отлив-вспышка;Riptide Flash DMG
feature_attack;tartaglia_tide_burst;Урон Отлив-всплеск;Riptide Burst DMG
feature_attack;tartaglia_tide_duration;Длительность Отлива;Riptide Duration
talent_name;tartaglia_cutting_torrent;Дождь расставаний;Cutting Torrent
talent_descr;tartaglia_cutting_torrent;<p>name{Обычная атака:}<br>До шести выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается энергией воды. Полностью заряженная водой стрела наносит hydro{Гидро урон} и накладывает на противника статус name{Отлив}.</p><p>name{Отлив}:<br>Некоторые атаки name{Тартальи} по противникам со статусом name{Отлив} наносят hydro{Гидро урон по площади}. Этот урон считается нанесённым name{обычной атакой}.<br>·name{Отлив-вспышка}: Полностью заряженный прицельный выстрел по противнику со статусом name{Отлив} наносит последовательный Гидро name{урон по площади}. Возникает раз в 0,7 сек.<br>·name{Отлив}-всплеск: Победа над противником со статусом name{Отлив} вызывает Гидро всплеск, который накладывает на окружающих противника врагов статус name{Отлив}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.<br>name{Тарталья} не может провести name{атаку в падении}, находясь в ближней стойке Формы духа: Бушующие волны.</p>;<p>name{Normal Attack}<br>Performs up to 6 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, the power of Hydro will accumulate on the arrowhead. An arrow fully charged with the torrent will deal hydro{Hydro DMG} and apply the name{Riptide} status.</p><p>name{Riptide}<br>Opponents affected by name{Riptide} will suffer from hydro{AoE Hydro DMG} effects when attacked by name{Tartaglia} in various ways. DMG dealt in this way is considered name{Normal Attack DMG}.<br>·name{Riptide Flash}: A fully-charged Aimed Shot that hits an opponent affected by name{Riptide} deals consecutive bouts of name{AoE DMG}. Can occur once every 0.7s.<br>·name{Riptide} name{Burst}: Defeating an opponent affected by name{Riptide} creates a Hydro burst that inflicts the name{Riptide} status on nearby opponents hit.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.<br>When name{Tartaglia} is in Foul Legacy: Raging Tide's name{Melee Stance}, he cannot perform a plunging attack.</p>
feature_skill;tartaglia_stance_change_dmg;Урон от смены стойки;Stance Change DMG
feature_skill;tartaglia_slash_dmg;Урон Отлив-удар;Riptide Slash
feature_skill;tartaglia_cd;Время отката;Preemptive CD
talent_name;tartaglia_raging_tide;Форма духа: Бушующие волны;Foul Legacy: Raging Tide
talent_descr;tartaglia_raging_tide_1;<p>name{Тарталья} обнажает клинки из чистой воды, которые наносят hydro{Гидро урон} окружающим врагам и активируют ближнюю стойку.<br>В этой стойке name{обычные} и name{заряженные атаки} name{Тартальи} наносят hydro{Гидро урон}, который не может быть отменён какой-либо элементальной инфузией, и изменяются следующим образом:</p><p>name{Обычная атака:}<br>До шести ударов hydro{Гидро} клинками.</p><p>name{Заряженная атака:}<br>Перекрёстный удар, который наносит hydro{Гидро урон} и затрачивает определённое количество выносливости.</p><p>name{Отлив-удар:}<br>Атаки в ближней стойке по противникам со статусом name{Отлив} вызывают name{Отлив-удар}, который наносит hydro{Гидро урон по площади}. Этот урон считается уроном name{элементального навыка}. name{Отлив-удар} срабатывает не чаще чем один раз в 1,5 сек.</p><p>name{Тарталья} возвращается в дальнюю стойку по истечении 30 сек. или при повторной активации навыка, а сам навык уходит в откат. Чем дольше name{Тарталья} был в ближней стойке, тем дольше будет время отката навыка.<br>Время отката увеличивается, если возврат в дальнюю стойку произошёл по истечении 30 сек.</p><p><i>Он взял на вооружение лук для того, чтобы отточить мастерство стрельбы, но серьёзный бой может потребовать обнажить клинок...</i></p>;<p>Unleashes a set of weaponry made of pure water, dealing hydro{Hydro DMG} to surrounding opponents and entering name{Melee Stance}.<br>In this Stance, name{Tartaglia}'s name{Normal} and name{Charged Attacks} are converted to hydro{Hydro DMG} that cannot be overridden by any other elemental infusion and change as follows:</p><p>name{Normal Attack}<br>Performs up to 6 consecutive hydro{Hydro} strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash a cross slash, dealing hydro{Hydro DMG}.</p><p>name{Riptide Slash}<br>Hitting an opponent affected by name{Riptide} with a melee attack unleashes a name{Riptide Slash} that deals hydro{AoE Hydro DMG}. DMG dealt in this way is considered name{Elemental Skill DMG}, and can only occur once every 1.5s.</p><p>After 30s, or when the ability is unleashed again, this skill will end. name{Tartaglia} will return to his Ranged Stance and this ability will enter CD. The longer name{Tartaglia} stays in his name{Melee Stance}, the longer the CD.<br>If the return to a ranged stance occurs automatically after 30s, the CD is even longer.</p><p><i>He chose the bow as his weapon precisely to overcome his weakness with it. But a serious fight demands that he gets serious...</i></p>
talent_descr;tartaglia_raging_tide_2;<p>name{Тарталья} обнажает клинки из чистой воды, которые наносят hydro{Гидро урон} окружающим врагам и активируют ближнюю стойку.<br>В этой стойке name{обычные} и name{заряженные атаки} name{Тартальи} наносят hydro{Гидро урон}, который не может быть отменён какой-либо элементальной инфузией.;<p>Unleashes a set of weaponry made of pure water, dealing hydro{Hydro DMG} to surrounding opponents and entering name{Melee Stance}.<br>In this Stance, name{Tartaglia}'s name{Normal} and name{Charged Attacks} are converted to hydro{Hydro DMG} that cannot be overridden by any other elemental infusion.
feature_burst;tartaglia_burst_dmg_melee;Урон навыка: ближняя стойка;Skill DMG: Melee
feature_burst;tartaglia_burst_dmg_ranged;Урон навыка: дальняя стойка;Skill DMG: Ranged
feature_burst;tartaglia_riptide_blast_dmg;Урон Отлив-взрыв;Riptide Blast DMG
feature_burst;tartaglia_energy_return;Возврат энергии (дальняя стойка);Energy Return (Ranged)
talent_name;tartaglia_obliteration;Хаос: Опустошение;Havoc: Obliteration
