category;name;rus;eng
char_name;traveler_anemo;Путешественник;Traveler
talent_name;traveler_foreign_ironwind;Железный ветер иноземца;Foreign Ironwind
talent_descr;traveler_foreign_ironwind;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;traveler_initial_cutting_dmg;Начальный режущий урон;Initial Cutting DMG
feature_skill;traveler_max_cutting_dmg;Макс. режущий урон;Max Cutting DMG
feature_skill;traveler_initial_storm_dmg;Начальный урон вихря;Initial Storm DMG
feature_skill;traveler_max_storm_dmg;Макс. урон вихря;Max Storm DMG
feature_skill;traveler_base_cd;Базовое время отката;Base CD
feature_skill;traveler_max_charging_cd;Полное время отката;Max Charging CD
talent_name;traveler_palm_vortex;Ладонь вихря;Palm Vortex
