category;name;rus;eng
char_name;traveler_dendro;Путешественник;Traveler
talent_name;traveler_foreign_fieldcleaver;Серп иноземца;Foreign Fieldcleaver
talent_descr;traveler_foreign_fieldcleaver;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;traveler_razorgrass_blade;Травяной клинок;Razorgrass Blade
talent_descr;traveler_razorgrass_blade;<p>Вы взмахиваете клинком и выпускаете острые как бритва листья, нанося dendro{Дендро урон} перед собой.</p><p><i>Вы с Паймон рассматривали острые края травинок.</i></p>;<p>With a flourish of your blade, you unleash a spray of razor-sharp leaves that go before you and deal dendro{Dendro DMG}.</p><p><i>You and Paimon observed the flowing edges of grass and leaf.</i></p>
feature_burst;traveler_lea_lotus_lamp_attack_dmg;Урон Лотосового светильника;Lea Lotus Lamp Attack DMG
feature_burst;traveler_explosion_dmg;Урон от взрыва;Explosion DMG
feature_burst;traveler_duration;Длительность Лотосового светильника;Lea Lotus Lamp Duration
talent_name;traveler_surgent_manifestation;Пригибающий траву ветер;Surgent Manifestation
talent_descr;traveler_surgent_manifestation;<p>Призывая силу растений, вы создаёте name{Лотосовый светильник}.<br>name{Лотосовый светильник} наносит продолжительный dendro{Дендро урон} врагам в области действия.</p><p>name{Преобращение света лотоса}<br>name{Лотосовый светильник} при соприкосновении с hydro{Гидро}, electro{Электро} или pyro{Пиро} претерпевает следующие изменения:<br>· hydro{Гидро}: Увеличивается область действия name{Лотосового светильника} и зона поражения его атак.<br>· electro{Электро}: Увеличивается name{скорость атаки} name{Лотосового светильника}.<br>· pyro{Пиро}: name{Лотосовый светильник} вскоре взрывается и исчезает, нанося dendro{Дендро урон по площади}.<br>name{Преобращение света} лотоса может произойти только один раз во время действия name{Лотосового светильника}.</p><p>Одновременно на поле боя может быть не больше одного name{Лотосового светильника}, созданного самим путешественником.</p><p><i>Вы с Паймон изучали звуки растений, которые прорастают после дождя.</i></p>;<p>Calling upon the might of the flora all around you, you create a Lea Lotus Lamp.<br>This Lamp will deal continuous dendro{Dendro DMG} to opponents within its AoE.</p><p>name{Lotuslight Transfiguration}<br>The Lea Lotus Lamp will undergo the following changes after it comes into contact with hydro{Hydro}/electro{Electro}/pyro{Pyro}:<br>·hydro{Hydro}: the Lamp's AoE and the AoE of its attacks are increased.<br>·electro{Electro}: the Lamp's name{ATK SPD} is increased.<br>·pyro{Pyro}: the Lamp will explode after a short delay and then disappear, dealing dendro{AoE Dendro DMG}.<br>The Lea Lotus Lamp can only undergo one name{Lotuslight Transfiguration} in its duration.</p><p>Only one Lamp created by the name{Traveler} can exist at any one time.</p><p><i>You and Paimon studied the sounds of plants that sprout after the rain.</i></p>
talent_name;traveler_verdant_overgrowth;Ползучая поросль;Verdant Overgrowth
talent_descr;traveler_verdant_overgrowth;Находясь на поле боя, skill{burst:Лотосовый светильник} получает один уровень name{Лучезарного лотоса} каждую секунду, увеличивая name{мастерство стихий} активных персонажей в области действия на %{mastery} ед. Эффект складывается до 10 раз.;skill{burst:Lea Lotus Lamp} will obtain one level of name{Overflowing Lotuslight} every second it is on the field, increasing the name{Elemental Mastery} of active character(s) within its AoE by %{mastery}. name{Overflowing Lotuslight} has a maximum of 10 stacks.
talent_name;traveler_verdant_luxury;Роскошная зелень;Verdant Luxury
talent_descr;traveler_verdant_luxury;Каждая единица name{мастерства стихий} name{путешественника} повышает урон, наносимый skill{skill:Травяным клинком} на value{0,15%}, а урон, наносимый skill{burst:Пригибающим траву ветром}, - на value{0,1%}.;Every point of name{Elemental Mastery} the name{Traveler} possesses increases the DMG dealt by skill{skill:Razorgrass Blade} by value{0.15%} and the DMG dealt by skill{burst:Surgent Manifestation} by value{0.1%}.
talent_name;traveler_symbiotic_creeper;Вьющийся симбиот;Symbiotic Creeper
talent_descr;traveler_symbiotic_creeper;Попадание по врагу skill{skill:Травяным клинком} восстанавливает name{путешественнику} 3,5 name{ед. энергии}.;After skill{skill:Razorgrass Blade} hits an opponent, it will regenerate 3.5 name{Energy} for the name{Traveler}.
talent_name;traveler_green_resilience;Стойкость растений;Green Resilience
talent_descr;traveler_green_resilience;Длительность skill{burst:Лотосового светильника} увеличивается на 3 сек.;skill{burst:Lea Lotus Lamp}'s duration is increased by 3s.
talent_name;traveler_whirling_weeds;Хоровод трав;Whirling Weeds
talent_name;traveler_treacle_grass;Сахарная трава;Treacle Grass
talent_descr;traveler_treacle_grass;При активации name{Преобращения света} лотоса skill{burst:Лотосовый светильник} получит 5 уровней name{Лучезарного лотоса} от таланта возвышения name{Ползучая поросль}.<br>Требуется разблокировать талант возвышения name{Ползучая поросль}.;"After the skill{burst:Lea Lotus Lamp} triggers a name{Lotuslight Transfiguration}, it will obtain 5 stacks of the name{Overflowing Lotuslight} effect from the Ascension Talent ""name{Verdant Overgrowth}.""<br>You must first unlock the Ascension Talent ""name{Verdant Overgrowth}."""
talent_name;traveler_viridian_transience;Буйство зелени;Viridian Transience
talent_name;traveler_withering_aggregation;Увядающее скопление;Withering Aggregation
talent_descr;traveler_withering_aggregation_1;Персонаж с name{Лучезарным лотосом} skill{burst:Лотосового светильника} получает %{dmg_dendro} бонус dendro{Дендро урона}.;The dendro{Dendro DMG Bonus} of the character under the effect of name{Overflowing Lotuslight} as created by the skill{burst:Lea Lotus Lamp} is increased by %{dmg_dendro}.
talent_descr;traveler_withering_aggregation_2;Если произошло name{Преобращение света} лотоса name{Лотосового светильника}, персонаж получает ещё value{12%} бонуса name{элементального урона} соответствующего элемента.;If the Lamp has experienced a name{Lotuslight Transfiguration} previously, the character will also gain value{12%} name{DMG Bonus} for the corresponding element.
