category;name;rus;eng
char_name;traveler_electro;Путешественница;Traveler
talent_name;traveler_foreign_thundershock;Иноземный гром;Foreign Thundershock
talent_descr;traveler_foreign_thundershock;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;traveler_amulet_recharge;Восстановление энергии;Energy Regeneration
feature_skill;traveler_amulet_increase;Увеличение восст. энергии;Energy Recharge Increase
feature_skill;traveler_amulet_duration;Длительность Амулета изобилия;Abundance Amulet Duration
talent_name;traveler_lightning_blade_1;Клинок молнии;Lightning Blade
talent_name;traveler_lightning_blade_2;name{Амулеты изобилия};name{Abundance Amulets}
talent_descr;traveler_lightning_blade_1;<p>Выпускает три стремительные громовые тени, которые наносят electro{Электро урон} противникам и при попадании оставляют после себя Амулеты изобилия.<br>Изначально можно создать только два Амулета изобилия. Использование навыка сбросит все созданные Амулеты изобилия.</p><p>name{Амулеты изобилия}<br>Когда персонаж находится рядом с name{Амулетом изобилия}, он поглощает его и получает следующие эффекты:<br>· Восстанавливает name{элементальную энергию}.<br>· На время действия ускоряет name{восстановление энергии}.</p><p><i>Вы с Паймон обсуждаете пути, по которым может течь электричество.</i></p>;<p>Unleashes three swift thunder shadows that deal electro{Electro DMG} to opponents and leave an name{Abundance Amulet} behind after hitting an opponent.<br>value{2} Abundance Amulets can be created initially. Using this skill will reset any Abundance Amulets that were generated.</p><p>name{Abundance Amulets}<br>When a character is near an name{Abundance Amulet}, they will absorb it and obtain the following effects:<br>·Restores name{Elemental Energy}<br>·Increases name{Energy Recharge} during the name{Abundance Amulet}'s duration.</p><p><i>You and Paimon discuss the paths by which electricity might flow.</i></p>
talent_descr;traveler_lightning_blade_2;Когда персонаж находится рядом с name{Амулетом изобилия}, он поглощает его и получает следующие эффекты:<br>· Восстанавливает name{элементальную энергию}.<br>· На время действия ускоряет name{восстановление энергии}.;When a character is near an name{Abundance Amulet}, they will absorb it and obtain the following effects:<br>·Restores name{Elemental Energy}<br>·Increases name{Energy Recharge} during the name{Abundance Amulet}'s duration.
feature_burst;traveler_falling_thunder_dmg;Урон Нисходящего грома;Falling Thunder DMG
feature_burst;traveler_energy_gain;Восстановление энергии;Energy Regeneration
talent_name;traveler_bellowing_thunder;Раскаты грома;Bellowing Thunder
