category;name;rus;eng
char_name;traveler_geo;Путешественница;Traveler
talent_name;traveler_foreign_rockblade;Каменный меч иноземца;Foreign Rockblade
talent_descr;traveler_foreign_rockblade;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;traveler_meteor_duration;Время существования Кометы;Meteorite Duration
talent_name;traveler_starfell_sword;Меч звездопада;Starfell Sword
talent_descr;traveler_starfell_sword;<p>Из глубин земли извергается name{Комета}, которая взрывается, нанося geo{Гео урон по площади}.<br>name{Комета} считается geo{Гео конструкцией}, на неё можно взобраться или использовать её для блокирования атак.</p><p>name{Долгое нажатие:}<br>Можно выбрать место падения name{Кометы}.</p><p><i>Вы с Паймон узнали, куда же всё-таки падают звёзды.</i></p>;<p>You disgorge a name{meteorite} from the depths of the earth, dealing geo{AoE Geo DMG}.<br>name{The meteorite} is considered a geo{Geo Construct}, and can be climbed or used to block attacks.</p><p>name{Hold}<br>This skill's positioning may be adjusted.</p><p><i>You spoke with Paimon about the final destination of falling stars.</i></p>
feature_burst;traveler_shockwave;Урон взрывной волны;DMG Per Shockwave
feature_burst;traveler_shockwave_duration;Время существования каменной стены;Stonewall Duration
talent_name;traveler_wake_of_earth;Движение земли;Wake of Earth
talent_descr;traveler_wake_of_earth;<p>Стимулируя глубоко в недрах земли Гео элемент, вы вызываете разрушительное землетрясение.<br>Оно откидывает окружающих врагов и наносит им geo{Гео урон по площади}.<br>По краям ударной волны возводится каменная стена.<br>Она считается geo{Гео конструкцией}, которую можно использовать для блокирования атак.</p><p><i>Вы с Паймон поняли принцип движения тектонических плит.</i></p>;<p>Energizing the Geo deep underground, you set off expanding shockwaves.<br>Launches surrounding opponents back and deals geo{AoE Geo DMG}.<br>A stone wall is erected at the edges of the shockwave.<br>The stone wall is considered a geo{Geo Construct}, and may be used to block attacks.</p><p><i>You and Paimon studied the pulse of the mountains.</i></p>
talent_name;traveler_shattered_darkrock;Разрушенный утёс;Shattered Darkrock
talent_descr;traveler_shattered_darkrock;Уменьшает name{время отката} навыка skill{skill:Меч звездопада} на 2 сек.;Reduces skill{skill:Starfell Sword}'s name{CD} by 2s.
talent_name;traveler_frenzied_rockslide;Безумный оползень;Frenzied Rockslide
talent_descr;traveler_frenzied_rockslide;Последний удар серии name{обычных атак} призывает оползень, который наносит geo{Гео урон}, равный %{text_percent_dmg} от name{силы атаки}, врагам в области.;The final hit of a name{Normal Attack} combo triggers a collapse, dealing %{text_percent_dmg} of name{ATK} as AoE geo{Geo DMG}.
talent_name;traveler_invincible_stonewall;Неприступная стена;Invincible Stonewall
talent_descr;traveler_invincible_stonewall;Увеличивает name{шанс крит. попадания} персонажей отряда в пределах name{Каменной стены}, созданной навыком skill{burst:Движение земли}, на %{crit_rate}, также повышает устойчивость к прерыванию атак.;Party members within the radius of skill{burst:Wake of Earth} have their name{CRIT Rate} increased by %{crit_rate} and have increased resistance against interruption.
talent_name;traveler_rockcore_meltdown;Плавление каменного ядра;Rockcore Meltdown
talent_descr;traveler_rockcore_meltdown;После уничтожения, name{Комета}, созданная навыком skill{skill:Меч звездопада}, взрывается ещё раз, нанося дополнительный geo{Гео урон} по площади, равный урону, нанесённому этим навыком.;When the name{meteorite} created by skill{skill:Starfell Sword} is destroyed, it will also explode, dealing additional AoE geo{Geo DMG} equal to the amount of damage dealt by skill{skill:Starfell Sword}.
talent_name;traveler_will_of_the_rock;Каменная воля;Will of the Rock
talent_name;traveler_reaction_force;Сила реакции;Reaction Force
talent_descr;traveler_reaction_force;name{Ударная волна} навыка skill{burst:Движение земли} восстанавливает 5 name{ед. энергии} за каждого получившего урон противника.<br>Не более 25 name{ед. энергии} за раз.;The shockwave triggered by skill{burst:Wake of Earth} regenerates 5 name{Energy} for every opponent hit.<br>A maximum of 25 name{Energy} can be regenerated in this manner at any one time.
talent_name;traveler_meteorite_impact;Метеоритный удар;Meteorite Impact
talent_name;traveler_everlasting_boulder;Нетленный камень;Everlasting Boulder
talent_descr;traveler_everlasting_boulder;"Увеличивает время существование name{каменной стены}, созданной навыком skill{burst:Движение земли}, на 5 сек;<br>Увеличивает время существования name{Кометы}, созданной навыком skill{skill:Меч звездопада}, на 10 сек.";name{The barrier} created by skill{burst:Wake of Earth} lasts 5s longer.<br>name{The meteorite} created by skill{skill:Starfell Sword} lasts 10s longer.
