category;name;rus;eng
char_name;traveler;Путешественник;Traveler
talent_name;traveler_plains_scorcher;Испепеляющий равнины;Plains Scorcher
talent_descr;traveler_plains_scorcher;<p>Концентрирует пламя в метке, нанося врагам впереди pyro{Пиро урон по площади} с характеристикой name{Ночного духа}. В течение следующих 4 сек. путешественник восстанавливает 7 ед. очков name{Ночного духа} в секунду.</p><p><i>Вы с Паймон изучили принципы неугасающего огня.</i></p>;<p>Condense the flames into a mark, dealing Nightsoul-aligned pyro{AoE Pyro DMG} to opponents up ahead. The Traveler restores 7 name{Nightsoul points} per second for the next 4s.</p><p><i>Together, you and Paimon studied the principles behind an undying flame.</i></p>
talent_name;traveler_foreign_blaze;Чужеземное пламя;Foreign Blaze
talent_descr;traveler_foreign_blaze;<p>name{Обычная атака:}<br>До пяти быстрых ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;traveler_flowfire_blade;Клинок текущего пламени;Flowfire Blade
talent_descr;traveler_flowfire_blade;<p>Управляет бушующим пламенем, способным испепелить саму землю. При долгом нажатии способ активации навыка меняется.</p><p>name{Быстрое нажатие}<br>В яростном порыве направляет могущество пламени. После применения путешественник получает 42 очка name{Ночного духа}, входит в состояние name{Благословения Ночного духа} и призывает name{Пылающий порог}, который следует за активным персонажем.<br>Приблизившись к врагам, name{Пылающий порог} периодически наносит им pyro{Пиро урон} с характеристикой name{Ночного духа}.</p><p>name{Долгое нажатие}<br>Хладнокровно управляет силой огня, нанося pyro{Пиро урон по площади} с характеристикой name{Ночного духа} врагам поблизости. После использования путешественник получает 42 очка name{Ночного духа}, входит в состояние name{Благословения Ночного духа} и призывает name{Испепеляющий порог}, который следует за активным персонажем.<br>Когда активный персонаж, находящийся внутри name{Испепеляющего порога}, наносит противникам урон, name{Испепеляющий порог} совершает совместную атаку, которая наносит pyro{Пиро урон} с характеристикой name{Ночного духа}, пропорциональный name{силе атаки} путешественника. Этот эффект может возникнуть один раз в 3 сек.</p><p>name{Благословение Ночного духа: Путешественник}<br>Непрерывно расходует очки name{Ночного духа}. Состояние name{Благословения Ночного духа} путешественника длится до 12 сек. Когда очки name{Ночного духа} исчерпаются, состояние name{Благословения Ночного духа} путешественника завершается. Если во время действия активировать name{элементальный навык} повторно, показатель очков name{Ночного духа} путешественника будет сброшен до 42.<br>name{Пылающий порог} и name{Испепеляющий порог} исчезают, когда завершается его состояние name{Благословения Ночного духа}. Одновременно может существовать только один name{Пылающий порог} или name{Испепеляющий порог}, призванный самим путешественником.</p><p><i>Вы с Паймон наблюдали, как изменяется цвет текущего пламени.</i></p>;<p>Wields a searing flame that can incinerate the very earth. Has different effects when Tapped or Held.</p><p>name{Tap}<br>Call forth flames in a raging blaze. When used, the Traveler gains 42 name{Nightsoul points} and enters the name{Nightsoul's Blessing} state, summoning a name{Blazing} Threshold that follows the current active character.<br>When the name{Blazing} Threshold gets close to opponents, it will deal Nightsoul-aligned pyro{Pyro DMG} to nearby opponents at intervals.</p><p>name{Hold}<br>Unleash fire in a composed manner, dealing Nightsoul-aligned pyro{AoE Pyro DMG} to nearby opponents. When used, the Traveler gains 42 name{Nightsoul points} and enters the name{Nightsoul's Blessing} state, summoning a Scorching Threshold that follows the current active character.<br>When the current active character within a Scorching Threshold deals DMG to opponents, the Threshold will launch a Coordinated Attack that deals Nightsoul-aligned pyro{Pyro DMG} based on the Traveler's name{ATK}. This effect can occur once every 3s.</p><p>name{Nightsoul's Blessing: Traveler}<br>Continuously consumes name{Nightsoul points}. The Traveler's name{Nightsoul's Blessing} state lasts 12s at maximum, and when their name{Nightsoul points} are exhausted, this state will end. If this name{Elemental Skill} is used again while active, the Traveler's name{Nightsoul points} will be reset to 42 points.<br>name{Blazing} and name{Scorching Thresholds} will disappear once the Traveler's name{Nightsoul's Blessing} state ends, and only 1 name{Blazing} or Scorching Threshold summoned by the Traveler themselves can exist at any one time.</p><p><i>Together, you and Paimon watched the shifting colors of the flowing flames.</i></p>
talent_name;traveler_true_flame_of_incineration;Истинное пламя сожжения;True Flame of Incineration
talent_descr;traveler_true_flame_of_incineration;Когда у путешественника более 20 очков name{Ночного духа}, область поражения name{Пылающего порога} и name{Испепеляющего порога} name{элементального навыка} skill{skill:Клинок текущего пламени} после попадания по врагу увеличивается.;When the Traveler has over 20 name{Nightsoul points}, the attack AoE of the name{Blazing} and name{Scorching Thresholds} from the name{Elemental Skill} skill{skill:Flowfire Blade} after they hit opponents is increased.
talent_name;traveler_embers_unspent;Недогоревшие угли;Embers Unspent
talent_descr;traveler_embers_unspent;После того как активный персонаж, находящийся внутри skill{skill:Пылающего порога} или skill{skill:Испепеляющего порога}, активирует на противнике pyro{Пиро} реакции, путешественник восстанавливает 5 name{ед. энергии}. Такой эффект может возникнуть один раз в 12 сек. Кроме того, когда члены отряда поблизости активируют name{Вспышку Ночного духа}, путешественник восстанавливает 4 name{ед. энергии}.;After the current active character inside a skill{skill:Blazing Threshold} or skill{skill:Scorching Threshold} triggers a pyro{Pyro}-related reaction, the Traveler will regain 5 name{Energy}. This can occur once every 12s. Additionally, when a nearby party member triggers a name{Nightsoul Burst}, the Traveler will regain 4 name{Energy}.
talent_name;traveler_starfires_flowing_light;Искрящийся огонь звёзд;Starfire's Flowing Light
talent_descr;traveler_starfires_flowing_light_1; Когда skill{skill:Пылающий порог} или skill{skill:Испепеляющий порог} активен, урон активного персонажа повышается на %{dmg_all}.; While skill{skill:Blazing Threshold} or skill{skill:Scorching Threshold} are active, the current active character deals %{dmg_all} increased DMG.
talent_descr;traveler_starfires_flowing_light_2; Если данный персонаж пребывает в состоянии name{Благословения Ночного духа}, его урон дополнительно повышается на %{dmg_all}.; If said character is in the name{Nightsoul's Blessing} state, they will deal an additional %{dmg_all} DMG.
talent_name;traveler_ever_lit_candle;Негаснущая свеча;Ever-Lit Candle
