category;name;rus;eng
char_name;varesa;Вареса;Varesa
talent_name;varesa_guardian_vent;Ослепительное сошествие!;Guardian Vent!
talent_descr;varesa_guardian_vent;<p>Подобно справедливым героям из свитков для детей подпрыгивает высоко в воздух и использует инерцию для выполнения мощного удара в полёте, который наносит врагам electro{Электро урон по площади} с характеристикой name{Ночного духа}.<br>После применения этого навыка name{Вареса} восстанавливает очки name{Ночного духа} до максимума и входит в состояние name{Пылающего воодушевления}.</p><p>Взрыв стихии name{Варесы} в состоянии name{Пылающего воодушевления} наносит повышенный electro{Электро урон по площади} с характеристикой name{Ночного духа}.</p><p>Кроме того, после применения name{атаки в падении} в состоянии name{Пылающего воодушевления} name{Вареса} кратковременно активирует name{Предельный импульс}.</p><p>name{Предельный импульс}<br>Сопротивление прерыванию name{Варесы} повышается. В данном состоянии name{Вареса} может игнорировать откат name{взрыва стихии} и расходует меньше энергии, чтобы активировать свой особый name{взрыв стихии} Ослепительное сошествие: Обрушение вулкана - это позволяет ей применять особенно мощную name{атаку в падении}, name{Громогласное вулканическое торнадо}, которая по приземлении наносит electro{Электро урон по площади} с характеристикой name{Ночного духа}, а name{Вареса} выходит из состояния Предельного импульса. Такой урон считается уроном name{атаки в падении}.<br>После активации name{элементального навыка} name{Вареса} выходит из состояния Предельного импульса.</p><p><i>Изначально name{Вареса} назвала этот приём «Величайший приём сверхистребления: Молниеносный непобедимый сверхзвуковой и раскалывающий небеса удар ногой нисходящего героя справедливости», но название оказалось слишком длинным. Кроме того, выкрикивать его на публике было неловко даже в маске, поэтому в итоге она остановилась на нынешнем названии.</i></p>;"<p>Leaps into the air before using the momentum of the drop to unleash a powerful flying kick, dealing Nightsoul-aligned electro{AoE Electro DMG} to opponents — just like those heroes of justice in woven scrolls for kids!<br>After using this Skill, name{Varesa}'s name{Nightsoul points} will be restored to maximum and she will enter the name{Fiery Passion} state.</p><p>In the name{Fiery Passion} state, name{Varesa}'s name{Elemental Burst} will deal a greater amount of Nightsoul-aligned electro{AoE Electro DMG}.</p><p>Additionally, she will briefly activate name{Apex Drive} after using a name{Plunging Attack} while in her name{Fiery Passion} state.</p><p>name{Apex Drive}<br>Increases name{Varesa}'s interruption resistance. While affected by name{Apex Drive}, name{Varesa} can ignore her name{Elemental Burst} CD and consume less name{Energy} to use her special name{Elemental Burst}, ""Guardian Vent: Volcano Kablam"": This causes her to use the especially powerful name{Plunging Attack}, the ""name{Thunderous Tornado Eruption},"" which deals Nightsoul-aligned electro{AoE Electro DMG} upon landing before causing her to exit name{Apex Drive}. This DMG is considered name{Plunging Attack DMG}.<br>name{Varesa} will exit name{Apex Drive} after using her name{Elemental Skill}.</p><p><i>In truth, the original name name{Varesa} gave this move was the ""Invincible Dynamic Heroic Justice Super Mega Ultimate Thundercrash Sky-Splitting Supersonic Boom Kick."" Alas, this name proved too long, and she was too embarrassed to shout it in front of everyone, even with her mask on. As such, she changed it to its present title instead.</i></p>"
talent_name;varesa_by_the_horns;За рога;By the Horns
talent_descr;varesa_by_the_horns;<p>name{Обычная атака:}<br>Нужно... нужно сражаться, как величайшие борцы-чемпионы! name{Вареса} совершает до трёх ударов, нанося electro{Электро урон}.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на удар головой перед собой, нанося electro{Электро урон} с характеристикой name{Ночного духа}, и подпрыгивает, используя инерцию.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит electro{Электро урон по площади} с характеристикой name{Ночного духа}. Если name{Вареса} при этом находится в состоянии боя или ударная волна от приземления поражает врагов, то она получает 25 очков name{Ночного духа}. Когда таким способом набирается максимум очков name{Ночного духа}, name{Вареса} входит в состояние name{Пылающего воодушевления}.</p><p>name{Пылающее воодушевление}<br>Обычная атака, name{заряженная атака} и name{атака в падении} name{Варесы} в этом состоянии получают соответствующие усиления:</p><p>name{Обычная атака}<br>Сражаться так же бесстрашно, как звёзды борьбы! Совершает до трёх яростных ударов, нанося более высокий electro{Электро урон}.</p><p>name{Заряженная атака}<br>Тратит определённое количество выносливости на выпад во врагов впереди, нанося более высокий electro{Электро урон} с характеристикой name{Ночного духа} и подпрыгивает, используя инерцию.</p><p>name{Атака в падении}<br>Тратит все очки name{Ночного духа} и стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит более высокий electro{Электро урон по площади} с характеристикой name{Ночного духа}.</p>;<p>name{Normal Attack}<br>Gotta try... to do battle like the greatest champion luchadors do! name{Varesa} launches up to 3 strikes, dealing electro{Electro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to headbutt opponents in front, dealing Nightsoul-aligned electro{Electro DMG} and using the momentum to leap into the air.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing Nightsoul-aligned electro{AoE Electro DMG} upon impact. If name{Varesa} is in a combat state upon landing, or if the shockwave from her plunging attack hits an opponent, she will gain 25 name{Nightsoul points}. She enters the name{Fiery Passion} state upon reaching maximum name{Nightsoul points} through this method.</p><p>name{Fiery Passion}<br>In this state, name{Varesa}'s name{Normal}, name{Charged}, and name{Plunging Attacks} will gain corresponding buffs:</p><p>name{Normal Attack}<br>Fight like a superstar champion luchador! Launches up to 3 fierce strikes, dealing greater electro{Electro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to slam into her opponents, dealing greater amounts of Nightsoul-aligned electro{Electro DMG} and using the momentum to leap into the air.</p><p>name{Plunging Attack}<br>Consumes all her name{Nightsoul points} and slams down on the ground from mid-air, dealing DMG to opponents in her path and dealing greater amounts of Nightsoul-aligned electro{AoE Electro DMG} upon hitting the ground.</p>
talent_name;varesa_riding_the_night_rainbow;Верхом на ночной радуге;Riding the Night-Rainbow
talent_descr;varesa_riding_the_night_rainbow;<p>Быстрой как молния и свирепой как гром поступью name{Вареса} демонстрирует истинный дух борьбы и совершает рывок вперёд, нанося врагам на пути electro{Электро урон} с характеристикой name{Ночного духа}.<br>После применения навыка name{Вареса} получает 20 очков name{Ночного духа} и эффект Последующего удара: во время его действия усиливается сопротивление прерыванию name{Варесы}, а при активации name{обычной атаки} быстрым нажатием она стремительно выполнит name{заряженную атаку}, не расходуя выносливости. После выполнения name{заряженной атаки} эффект Последующего удара снимается.<br>При быстром или долгом нажатии name{Вареса} применяет различные борцовские техники.</p><p>name{Быстрое нажатие}<br>Выполняет стремительный выпад вперёд.</p><p>name{Долгое нажатие}<br>name{Вареса} входит в состояние name{Благословения Ночного духа} и переходит в режим name{Внезапного натиска}.</p><p>name{Внезапный натиск}<br>Непрерывно расходует очки name{Ночного духа}. Скорость передвижения и сопротивление прерыванию name{Варесы} в этом состоянии повышаются. Кроме того, она становится способна совершать летающие рывки, используя местность, либо дополнительно расходовать очки name{Ночного духа} и передвигаться по поверхности воды или жидкого флогистона, не получая урона от последнего.</p><p>name{Благословение Ночного духа: Вареса}<br>Когда очки name{Ночного духа} исчерпаются, name{Благословение Ночного духа} name{Варесы} завершается. Пока name{Вареса} пребывает в режиме name{Внезапного натиска} или состоянии name{Пылающего воодушевления}, постоянно будет считаться, что она находится в состоянии Благословения ночного духа.</p><p>Навык имеет 2 заряда. Когда name{Вареса} входит в состояние name{Пылающего воодушевления}, она получает дополнительный заряд использования name{элементального навыка} быстрым нажатием, причём его урон повышается.</p><p>name{Пылающее воодушевление}<br>· Когда name{Вареса} не пребывает в состоянии name{Пылающего воодушевления}, то с помощью name{атак в падении} она может получать очки name{Ночного духа}. Когда очки name{Ночного духа} таким способом достигнут максимума или когда name{Вареса} применяет name{взрыв стихии} name{Ослепительное сошествие!}, она входит в состояние name{Пылающего воодушевления}.<br>· Обычная атака, name{элементальный навык} и name{взрыв стихии} name{Варесы} в состоянии name{Пылающего воодушевления} получают свои собственные усиления. Кроме того, в течение короткого времени после name{атаки в падении} name{Вареса} может применить особый name{взрыв стихии}.<br>· Состояние name{Пылающего воодушевления} длится до 15 сек. и завершается, когда исчерпаются очки name{Ночного духа} или через некоторое время после выхода из боя.</p><p><i>«Сейчас мой герой - это я».</i></p>;"<p>With footwork swift as lightning and fierce as thunder, name{Varesa} displays the true spirit of lucha libre, rushing forward a certain distance and dealing Nightsoul-aligned electro{Electro DMG} to opponents in her path.<br>After using this Skill, name{Varesa} gains 20 name{Nightsoul points} and gains the ""Follow-Up Strike"" effect: name{Varesa} has increased interruption resistance during this time, and upon pressing her name{Normal Attack}, she will quickly unleash a name{Charged Attack} that does not consume Stamina. ""Follow-Up Strike"" will be canceled after name{Varesa} uses a name{Charged Attack}.<br>She will use different techniques based on whether the skill is Tapped or Held.</p><p>name{Tap}<br>Quickly rush a certain distance forward.</p><p>name{Hold}<br>name{Varesa} enters the name{Nightsoul's Blessing} state and switches to name{Sudden Onrush} mode.</p><p>name{Sudden Onrush}<br>Continuously consumes name{Nightsoul points}. In this state, name{Varesa}'s name{Movement SPD} and interruption resistance are increased. She can use terrain to execute flying leaps or consume additional name{Nightsoul points} to traverse atop water or liquid Phlogiston while remaining immune to DMG from the latter.</p><p>name{Nightsoul's Blessing: Varesa}<br>When she runs out of name{Nightsoul points}, her name{Nightsoul's Blessing} state will be canceled. When name{Varesa} is in the name{Sudden Onrush} state or name{Fiery Passion} state, she will always be counted as being in the name{Nightsoul's Blessing} state.</p><p>Has 2 charges. When name{Varesa} enters the name{Fiery Passion} state, she will obtain an additional Tap charge of her name{Elemental Skill} and its DMG will be increased.</p><p>name{Fiery Passion}<br>· While not in the name{Fiery Passion} state, name{Varesa} can use name{Plunging Attacks} to gain name{Nightsoul points}. She will enter name{Fiery Passion} when she reaches maximum name{Nightsoul points} via this method, or when she uses her name{Elemental Burst} name{Guardian Vent!}<br>· While in the name{Fiery Passion} state, her name{Normal Attacks}, name{Elemental Skill}, and name{Elemental Burst} will gain unique buffs. She can also use a special name{Elemental Burst} shortly after using a name{Plunging Attack}.<br>· The name{Fiery Passion} state lasts for up to 15s and will end when she runs out of name{Nightsoul points} or after she leaves combat for a period of time.</p><p><i>""Right now, I'm my own hero.""</i></p>"
talent_name;varesa_tag_team_triple_jump;Трёхкратный командный прыжок!;Tag-Team Triple Jump!
talent_descr;varesa_tag_team_triple_jump_1; После применения name{элементального навыка} skill{skill:Верхом на ночной радуге} name{Вареса} на 5 сек. получает эффект name{Радужное крушение}.<br>Во время его действия ударная волна name{атаки в падении} name{Варесы} наносит дополнительный урон, равный %{text_percent} от её name{силы атаки}. Эффект name{Радужного крушения} исчезает, когда ударная волна от приземления name{атаки в падении} поражает противников или когда заканчивается время его действия.;" After using the name{Elemental Skill} skill{skill:Riding the Night-Rainbow}, name{Varesa} gains ""name{Rainbow Crash}"" for 5s.<br>During this time, when name{Varesa} uses a name{Plunging Attack}, the shockwave DMG dealt when she hits the ground is increased by %{text_percent} of her name{ATK}. The name{Rainbow Crash} effect will be canceled once a ground impact hits an opponent, or when its duration expires."
talent_descr;varesa_tag_team_triple_jump_2; Если name{Вареса} находится в состоянии name{Пылающего воодушевления}, то ударная волна name{атаки в падении} наносит дополнительный урон, равный %{text_percent} от её name{силы атаки}.; If name{Varesa} is in the name{Fiery Passion} state, this ground impact DMG is increased by %{text_percent} of her name{ATK} instead.
