category;name;rus;eng
char_name;varka;Варка;Varka
talent_name;varka_dancing_radiance;Фехтовальный стиль Фавония: Танцующее сияние;Favonius Bladework: Dancing Radiance
talent_descr;varka_dancing_radiance;<p>name{Обычная атака:}<br>name{Варка} в боевом танце древних рыцарей совершает до пяти последовательных ударов двумя двуручными мечами.</p><p>name{Заряженная атака:}<br>Совершает выпад вперёд и наносит особенно мощный удар двумя мечами, потратив определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Imitating an ancient knightly war-dance, name{Varka} wields dual claymores to perform up to 5 consecutive strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to charge forward and perform an especially powerful dual blade slash toward the front.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;varka_sturm_und_drang_duration;Длительность Бури и натиска;Sturm und Drang Duration
feature_skill;varka_sturm_und_drang_1_hit_dmg;Урон 1-й атаки Бури и натиска;Sturm und Drang 1-Hit DMG
feature_skill;varka_sturm_und_drang_2_hit_dmg;Урон 2-й атаки Бури и натиска;Sturm und Drang 2-Hit DMG
feature_skill;varka_sturm_und_drang_3_hit_dmg;Урон 3-й атаки Бури и натиска;Sturm und Drang 3-Hit DMG
feature_skill;varka_sturm_und_drang_4_hit_dmg;Урон 4-й атаки Бури и натиска;Sturm und Drang 4-Hit DMG
feature_skill;varka_sturm_und_drang_5_hit_dmg;Урон 5-й атаки Бури и натиска;Sturm und Drang 5-Hit DMG
feature_skill;varka_sturm_und_drang_charged_attack_dmg;Урон заряженной атаки Бури и натиска;Sturm und Drang Charged Attack DMG
feature_skill;varka_four_winds_ascension_dmg;Урон Восхождения четырёх ветров;Four Winds' Ascension DMG
feature_skill;varka_azure_devour_dmg;Урон Лазурного поглощения;Azure Devour DMG
feature_skill;varka_four_winds_ascension_cd;Время отката Восхождения четырёх ветров;Four Winds' Ascension CD
talent_name;varka_windbound_execution;Казнь встречных ветров;Windbound Execution
