category;name;rus;eng
char_name;vesna;Весна;Vesna
talent_name;vesna_vila_blade_dance;Танец вилы с клинками;Vila Blade Dance
talent_descr;vesna_vila_blade_dance;<p>name{Обычная атака:}<br>До шести последовательных ударов.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и атакует врагов впереди.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 6 consecutive strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to trample opponents in front of her.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along her path and dealing name{AoE DMG} upon impact.</p>
feature_skill;vesna_windborne_sword_lv_1_dmg;Урон Меча реющих ветров 1 ур.;Windborne Sword Lv. 1 DMG
feature_skill;vesna_windborne_sword_lv_2_dmg;Урон Меча реющих ветров 2 ур.;Windborne Sword Lv. 2 DMG
feature_skill;vesna_windborne_sword_lv_2_spirit_blade_dmg;Меч реющих ветров 2 ур.: урон Клинка духа;Windborne Sword Lv. 2 Spirit Blade DMG
feature_skill;vesna_windborne_sword_lv_3_spirit_blade_dmg;Меч реющих ветров 3 ур.: урон Клинка духа;Windborne Sword Lv. 3 Spirit Blade DMG
feature_skill;vesna_windborne_sword_lv_3_spirit_blade_final_hit_dmg;Меч реющих ветров 3 ур.: урон последнего удара Клинка духа;Windborne Sword Lv. 3 Spirit Blade Final Hit DMG
feature_skill;vesna_windborne_sword_lv_2_spirit_blade_stellar_swirl_dmg;Меч реющих ветров 2 ур.: урон Звёздного рассеивания Клинка духа;Windborne Sword Lv. 2 Spirit Blade Stellar Swirl DMG
feature_skill;vesna_windborne_sword_lv_3_spirit_blade_stellar_swirl_dmg;Меч реющих ветров 3 ур.: урон Звёздного рассеивания Клинка духа;Windborne Sword Lv. 3 Spirit Blade Stellar Swirl DMG
feature_skill;vesna_windborne_sword_lv_3_spirit_blade_final_hit_stellar_swirl_dmg;Меч реющих ветров 3 ур.: урон Звёздного рассеивания последнего удара Клинка духа;Windborne Sword Lv. 3 Spirit Blade Final Hit Stellar Swirl DMG
feature_skill;vesna_wind_pinion_dmg;Урон Ветряного пера;Wind Pinion DMG
feature_skill;vesna_armed_for_action_duration;Длительность Вооружённого караула;Armed for Action Duration
talent_name;vesna_the_art_of_victory_1;Искусство побеждать;The Art of Victory
talent_name;vesna_the_art_of_victory_2;name{Вооружённый караул};name{Armed for Action}
talent_descr;vesna_the_art_of_victory;<p>Призывает Клинок духа, передаваемый из поколения в поколение вилами, наносит anemo{Анемо урон по площади}, переходит в режим name{skill{n11430001:Вооружённого караула}} и получает два уровня name{skill{n11430002:Храбрости воина}}.</p><p>name{Вооружённый караул}<br>name{Обычная атака}, name{заряженная атака} и name{атака в падении} name{Весны} теперь наносят anemo{Анемо урон}, который не может быть отменён другими инфузиями. Она также призывает Ветряное перо, которое выполняет совместные атаки и наносит дополнительный anemo{Анемо урон}. Каждый раз, призывая Ветряное перо, name{Весна} восстанавливает определённое количество name{Храбрости воина}.<br>name{Весна} может расходовать name{Храбрость воина} на активацию особого name{элементального навыка} name{skill{n11430003:Меч реющих ветров}}, который наносит врагам anemo{Анемо урон}.<br>Каждый раз после применения особого name{элементального навыка} name{Меч реющих ветров} во время действия одного и того же name{Вооружённого караула} его уровень повышается, и он наносит более высокий anemo{Анемо урон}. Начальный уровень name{Меча реющих ветров} - 1, максимальный - 3. Во время применения name{Меча реющих ветров} с повышенным уровнем также призывается name{skill{n11430004:Клинок духа}}, который наносит anemo{Анемо урон}.<br>После завершения действия или третьей активации name{Меча реющих ветров} максимального уровня name{Весна} выходит из этого режима, а все уровни name{Храбрости воина} снимаются.<br>Кроме того, сопротивление прерыванию name{Весны} в этом режиме повышается.<br>name{Сияние - Звёздное рассеивание}: name{Клинок духа} теперь наносит anemo{Анемо урон}, считающийся уроном реакции Звёздного рассеивания.</p><p><i>«Посторонись, посторонись!.. Командование принимает Дружина».</i></p>;"<p>Calls forth Spirit Blades passed down through generations of the Vila to deal anemo{AoE Anemo DMG}, then switches to the name{skill{n11430001:Armed for Action}} mode and gains 2 stacks of name{skill{n11430002:Sword Essence}}.</p><p>name{Armed for Action}<br>DMG dealt by name{Vesna} with her name{Normal Attacks}, name{Charged Attacks}, and name{Plunging Attacks} become anemo{Anemo DMG} that cannot be overridden by another elemental infusion instead. She will also summon a wind pinion that attacks the opponent at the same time, dealing additional anemo{Anemo DMG}. Each time the wind pinion is summoned, name{Vesna} will regenerate a certain amount of name{Sword Essence}.<br>name{Vesna} can consume name{Sword Essence} to unleash the special name{Elemental Skill} name{skill{n11430003:Windborne Sword}}, which deals to the opponent anemo{Anemo DMG}.<br>Each use of the special name{Elemental Skill} name{Windborne Sword} in the same instance of name{Armed for Action} will increase the level of name{Windborne Sword}, beginning from Lv. 1 to Lv. 3 max, for more anemo{Anemo DMG}. Using name{Windborne Sword} at Lv. 2 and Lv. 3 will also summon name{skill{n11430004:Spirit Blades}} which deal anemo{Anemo DMG}.<br>name{Vesna} will exit the mode when its duration ends or when she has used name{Windborne Sword} at the highest level 3 times. Exiting will clear all remaining name{Sword Essence} she has accrued.<br>Additionally, when in this mode, name{Vesna}'s resistance to interruption is increased.<br>name{Radiance: Stellar Swirl}: DMG dealt with the name{Spirit Blades} becomes anemo{Anemo DMG} that is also considered Stellar Swirl reaction DMG.</p><p><i>""Make way, make way! The Druzhna has command over the battlefield from here on out!""</i></p>"
feature_burst;vesna_spirit_blade_dmg;Урон Клинка духа;Spirit Blade DMG
feature_burst;vesna_spirit_blade_stellar_swirl_dmg;Урон Звёздного рассеивания Клинка духа;Spirit Blade Stellar Swirl DMG
talent_name;vesna_for_the_tsaritsa;За Царицу;For the Tsaritsa!
talent_descr;vesna_for_the_tsaritsa;<p>Призывает множество name{skill{n11430004:Клинков духа}}, которые наносят anemo{Анемо урон по площади}, и получает один уровень name{skill{n11430002:Храбрости воина}}.</p><p><i>«Во-первых, всегда крепко держите меч в руках. Во-вторых, всегда поддерживайте благопристойный внешний вид. И, самое главное, всегда оставайтесь верными её величеству Царице!»</i></p>;"<p>Summons multiple name{skill{n11430004:Spirit Blades}}, dealing anemo{AoE Anemo DMG}. Also gains a stack of name{skill{n11430002:Sword Essence}}.</p><p><i>""First, always hold on tight to the sword in your hand; second, always present a neat and dignified appearance; and most important of all, always remain loyal to Her Majesty the Tsaritsa!""</i></p>"
talent_name;vesna_rite_of_springs_procession;Обряд: Весенняя процессия;Rite of Spring's Procession
talent_descr;vesna_rite_of_springs_procession;<p>Применив особый name{элементальный навык} skill{skill{n11430003:Меч реющих ветров}} или name{взрыв стихии} skill{burst:За Царицу}, name{Весна} также получает 1 уровень skill{Дисциплинарных мер}. Этот эффект длится 20 сек. и складывается до 6 раз. Длительность каждого уровня рассчитывается отдельно.<br>С skill{Дисциплинарными мерами} в наличии skill{skill{n11430004:Клинки духа}}, призываемые name{Весной}, наносят урон, равный (value{100%} + value{10%} × количество уровней Дисциплинарных мер) от исходного урона. Все уровни skill{Дисциплинарных мер} name{Весны} снимаются, когда она использует name{элементальный навык} skill{skill:Искусство побеждать} или покидает поле боя.</p>;<p>After name{Vesna} uses the special name{Elemental Skill} skill{skill{n11430003:Windborne Sword}} or the name{Elemental Burst} skill{burst:For the Tsaritsa!}, she also gains 1 stack of skill{Disciplinary Action} which lasts 20s. Max 6 stacks, and the duration of each stack is independent of the others'.<br>When she has skill{Disciplinary Action} stacks active, the skill{skill{n11430004:Spirit Blades}} summoned by name{Vesna} will deal DMG equal to (value{100%} + value{10%} × Disciplinary Action stack count) of the original DMG instead. All active stacks of skill{Disciplinary Action} are cleared when name{Vesna} uses the name{Elemental Skill} skill{skill:The Art of Victory} or when she leaves the field.</p>
talent_name;vesna_truth_prevails;Истина восторжествует;Truth Prevails
