category;name;rus;eng
char_name;vodyanitsa;Водяница;Vodyanitsa
talent_name;vodyanitsa_psyshkhwe_arietta;Псышхъуэ ариетта;Psyshkhwe Arietta
talent_descr;vodyanitsa_psyshkhwe_arietta;<p>name{Обычная атака:}<br>Поёт древнюю песнь водяных, выполняя до четырёх ударов и нанося hydro{Гидро урон}.</p><p>name{Заряженная атака:}<br>Тратит некоторое количество выносливости и выпускает вперёд водяной шар, наносящий hydro{Гидро урон}.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит hydro{Гидро урон по площади}.</p>;<p>name{Normal Attack}<br>Sings an ancient song of the Water Imps, unleashing up to 4 strikes. This deals hydro{Hydro DMG} to the opponent.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to hurl a water ball forward, dealing hydro{Hydro DMG}.</p><p>name{Plunging Attack}<br>Plunges towards the ground from mid-air, damaging all opponents along the path. Deals hydro{AoE Hydro DMG} upon impact with the ground.</p>
feature_skill;vodyanitsa_horn_of_springs_call_attack_interval;Интервал атак Рога глашатая весны;Horn of Spring's Call Attack Interval
feature_skill;vodyanitsa_horn_of_springs_call_dmg;Урон Рога глашатая весны;Horn of Spring's Call DMG
feature_skill;vodyanitsa_song_of_ages_past_healing;Лечение Песни былых веков;Song of Ages Past Healing
feature_skill;vodyanitsa_song_of_ages_past_healing_interval;Интервал лечения Песни былых веков;Song of Ages Past Healing Interval
feature_skill;vodyanitsa_hydro_cryo_res_reduction;Снижение Гидро/Крио сопротивления;Hydro/Cryo RES Reduction
feature_skill;vodyanitsa_res_reduction_duration;Длительность снижения сопротивления;RES Reduction Duration
talent_name;vodyanitsa_sonorous_dawn;Речитатив: Звучный рассвет;Rechitativ: Sonorous Dawn
talent_descr;vodyanitsa_sonorous_dawn;<p>Являет свою истинную форму водяного, нанося hydro{Гидро урон по площади}, и получает эффект name{Песни былых веков}: во время его действия name{Водяница} призывает древний name{Рог глашатая весны}, который периодически стремительно приближается к одному врагу и атакует его, нанося hydro{Гидро урон}.<br>Эти два типа атак, поражая врага, также снижают его hydro{Гидро} и cryo{Крио} сопротивление. Кроме того, во время действия name{Песни былых веков} активный персонаж вашего отряда получает повышенное сопротивление прерыванию и периодически восстанавливает name{HP} согласно name{макс. HP} name{Водяницы}.</p><p><i>«Я не молю, не плачу, не стенаю. Минует всё, как меж яблонь белых тающий туман».<br>«Но всё же, жизни искры, я желаю вечной красоты и счастья вам».</i></p>;"<p>Reveals her true Water Imp form, dealing hydro{AoE Hydro DMG} and gaining the name{Song of Ages Past} effect: While this effect is active, name{Vodyanitsa} summons the ancient name{Horn of Spring's Call}, periodically moving closer to an opponent in a swift movement to attack them, dealing hydro{Hydro DMG}.<br>The above two types of attacks will also decrease the hydro{Hydro RES} and cryo{Cryo RES} of opponents hit. Additionally, while the name{Song of Ages Past} effect is active, the party's active character gains increased resistance to interruption and periodically regenerates name{HP} based on name{Vodyanitsa}'s name{Max HP}.</p><p><i>""I shall not lament, nor shall I call out or weep. All things shall pass, like mist that softly drifts across the boughs of the white apple trees.""<br>""And yet, and yet — for all living things upon the earth, I wish you everlasting beauty and happiness.""</i></p>"
feature_burst;vodyanitsa_song_of_ages_past_dmg_bonus;Бонус урона Песни былых веков;Song of Ages Past DMG Bonus
talent_name;vodyanitsa_sink_with_thee;Кода: Вместе в пучину;Koda: Sink With Thee
talent_descr;vodyanitsa_sink_with_thee;<p>Заводит песню водяных, которая обрекает слушателей на погибель, и наносит hydro{Гидро урон по площади}.<br>В состоянии name{Песни былых веков} наносимый урон дополнительно повышается.</p><p><i>«Легенда гласит, что песня водяных губит моряков. Но как эта история дошла до нас, если все они утонули?»<br>«Её, наверное, донёс матрос-домовой - из-за маленького роста он не смог перелезть за борт... Что ты так на меня смотришь, Одетта? Я же пошутила!»</i></p>;"<p>Leads a song of the Water Imps which lures its listeners to their doom. This deals hydro{AoE Hydro DMG} to the opponent.<br>When in the name{Song of Ages Past} state, DMG dealt is further increased.</p><p><i>""According to legend, the song of the Water Imps can lead sailors to their ruin. But if everyone was lost to the water, where did this story come from?""<br>""It's probably from a Domovoy sailor who was too short to go over the ship's railing, heh... Stop giving me that look, Odette! I was just joking!""</i></p>"
talent_name;vodyanitsa_the_last_djeguako_songstress;Последний джегуако;The Last Djeguako Songstress
talent_descr;vodyanitsa_the_last_djeguako_songstress;<p>Во время применения name{элементального навыка} skill{skill:Речитатив: Звучный рассвет} звёздный name{Анемо вихрь} на поле становится блуждающим вихрем, и если персонажи отряда поблизости активируют stcond{Звёздное рассеивание} во время действия skill{Песни былых веков}, то вместо звёздного name{Анемо вихря} будет создан блуждающий вихрь.<br>При создании или взрыве блуждающего вихря anemo{Анемо сопротивление} врагов поблизости снижается на 35% на 6 сек.<br>Кроме того, если во время действия skill{Песни былых веков} персонажи отряда поблизости входят в состояние skill{Сияния - Звёздное рассеивание}, то состояние skill{Сияния - Звёздное рассеивание} продлевается на 4 сек.</p>;<p>When the name{Elemental Skill} skill{skill:Rechitativ: Sonorous Dawn} is used, any name{Stellar Vortex} on the field will turn into a Wandering Vortex instead. While the skill{Song of Ages Past} effect is active, nearby party members' stcond{Stellar Swirl} reactions will generate Wandering Vortex instead.<br>Generating or detonating a Wandering Vortex will also reduce nearby opponents' anemo{Anemo RES} by 35% for 6s. <br>Additionally, nearby party members who enter the skill{Radiance: Stellar Swirl} state while skill{Song of Ages Past} is in effect will have the skill{Radiance: Stellar Swirl} state extended by 4s.</p>
talent_name;vodyanitsa_dirge_of_the_fandyr;Скорбная песнь фандыра;Dirge of the Fandyr
talent_descr;vodyanitsa_dirge_of_the_fandyr;<p>При использовании name{элементального навыка} skill{skill:Речитатив: Звучный рассвет} name{Водяница} также получает 25 уровней skill{n11400001:Ведущего вокала} и 10 уровней skill{n11400002:Хора}.<br>Каждый из этих эффектов действует 30 сек. Применение name{элементального навыка} обновляет их количество.</p>;<p>When the name{Elemental Skill} skill{skill:Rechitativ: Sonorous Dawn} is used, name{Vodyanitsa} will also gain 25 stacks of skill{n11400001:Lead Vocal} as well as 10 stacks of skill{n11400002:Chorus}.<br>The two effects above last 30s each, and the stack count is refreshed when the name{Elemental Skill} is used.</p>
talent_name;vodyanitsa_waters_in_full_splendor;Воды во всём великолепии;Waters in Full Splendor
talent_descr;vodyanitsa_waters_in_full_splendor;<p>Когда name{Водяница} активирует эффект лечения навыка skill{Песня былых веков}, name{сила атаки} всех членов отряда поблизости также увеличивается на 0,8% от её name{макс. HP} на 5 сек.</p>;<p>Each time name{Vodyanitsa} triggers the healing effect of skill{Song of Ages Past}, it also increases the name{ATK} of all nearby party members by 0.8% of her name{Max HP} for 5s.</p>
talent_name;vodyanitsa_echoes_that_pierce_the_snow;Пронзающее снег эхо;Echoes That Pierce the Snow
talent_descr;vodyanitsa_echoes_that_pierce_the_snow;<p>Когда skill{Рог глашатая весны} name{элементального навыка} skill{skill:Речитатив: Звучный рассвет} атакует врага, name{Водяница} получает эффект Чёрный и белый голоса, который повышает hydro{Гидро} и cryo{Крио} name{крит. урон} активного персонажа на 50% на 5 сек.<br>Когда на поле есть блуждающий вихрь либо в течение 5 сек. после взрыва блуждающего вихря, name{крит. урон} stcond{Звёздного рассеивания} активного персонажа отряда вместо этого повышается на 60% на 5 сек.<br>Кроме того, name{элементальный навык} skill{skill:Речитатив: Звучный рассвет} получает усиление: длительность эффекта skill{Песня былых веков} увеличивается на 9 сек.</p>;"<p>When the skill{Horn of Spring's Call} from the name{Elemental Skill} skill{skill:Rechitativ: Sonorous Dawn} attacks the opponent, name{Vodyanitsa} gains the ""Two Voices in Black and White"" effect which increases the name{CRIT DMG} from hydro{Hydro DMG} and cryo{Cryo DMG} dealt by the currently active party member by 50% for 5s.<br>If there is a Wandering Vortex present on the field or in the 5s after a Wandering Vortex explodes, the effect changes to: increases the name{CRIT DMG} from stcond{Stellar Swirl} reaction DMG caused by the currently active party member by 60% for 5s.<br>Additionally, the name{Elemental Skill} skill{skill:Rechitativ: Sonorous Dawn} is enhanced as follows: the duration of the skill{Song of Ages Past} effect is extended by 9s.</p>"
talent_name;vodyanitsa_song_lingering_on_a_spring_morning;Звуки музыки весенним утром;Song Lingering on a Spring Morning
talent_name;vodyanitsa_melancholic_voice_upon_the_gentle_waters;Тихий голос на нежных волнах;Melancholic Voice Upon the Gentle Waters
talent_descr;vodyanitsa_melancholic_voice_upon_the_gentle_waters;<p>Когда name{Водяница} активирует эффект лечения навыка skill{Песня былых веков}, в зависимости от уровня name{HP} исцеляемого персонажа она активирует разные эффекты.<br>· Если name{HP} исцеляемого персонажа ниже 40%, то объём данного лечения повышается на 50%.<br>· Если name{HP} исцеляемого персонажа 40% или выше, то name{макс. HP} name{Водяницы} увеличивается на 20% на 6 сек. Эффект складывается до 3 раз, а отсчёт времени каждого уровня происходит отдельно.</p>;"<p>When name{Vodyanitsa} triggers the healing effect of skill{Song of Ages Past}, an additional effect will be triggered based on the healed character's name{HP}.<br>· If the character's name{HP} is below 40%: The healing is increased by 50%; and<br>· If the character's name{HP} is 40% or above: name{Vodyanitsa}'s name{Max HP} is increased by 20% for 6s. Max 3 stacks, and each stack's duration is counted independently.</p>"
talent_name;vodyanitsa_together_down_into_the_deep;Вместе уйдём в глубины;Together, Down Into the Deep
talent_name;vodyanitsa_neverending_song_of_revelry;Нескончаемая песнь веселья;Neverending Song of Revelry
talent_descr;vodyanitsa_neverending_song_of_revelry;<p>Эффект созвездия skill{Пронзающее снег эхо} получает усиление: эффект Чёрный и белый голоса теперь применяется ко всем персонажам отряда поблизости.<br>Кроме того, во время действия skill{Песни былых веков} урон реакции stcond{Звёздного рассеивания} персонажей отряда поблизости skill{n11190007:возвышается} на 25%, а hydro{Гидро} и cryo{Крио урон} повышается на 60%.</p>;"<p>The Constellation skill{Echoes That Pierce the Snow} is enhanced: ""Two Voices in Black and White"" now applies to all nearby party members.<br>Additionally, while the skill{Song of Ages Past} effect is active, stcond{Stellar Swirl} reaction DMG dealt by nearby party members is skill{n11190007:elevated} by 25% while hydro{Hydro DMG} and cryo{Cryo DMG} dealt are increased by 60%.</p>"
