category;name;rus;eng
char_name;wanderer;Странник;Wanderer
talent_name;wanderer_yuuban_meigen;Юбан мэйгэн;Yuuban Meigen
talent_descr;wanderer_yuuban_meigen;<p>name{Обычная атака:}<br>До трёх выстрелов клинками ветра, наносящих anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, на которое тратится определённое количество выносливости. Накапливает давление ветра перед собой и наносит anemo{Анемо урон по площади}.</p><p>name{Атака в падении:}<br>Накопив энергию ветра, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 attacks using wind blades, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina, gathers a build up of high wind pressure, and deals anemo{AoE Anemo DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Calling upon the power of Anemo, the name{Wanderer} plunges towards the ground from mid-air, damaging all opponents in his path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
feature_skill;wanderer_fushoudan;Урон Куго: Фусёдан;Kuugo: Fushoudan DMG
feature_skill;wanderer_toufukai;Урон Куго: Тофукай;Kuugo: Toufukai DMG
feature_skill;wanderer_kuugoryoku_points;Исходная куго-рёку;Initial Kuugoryoku Points
talent_name;wanderer_song_of_the_wind_1;Ханэга: Песнь ветра;Hanega: Song of the Wind
talent_name;wanderer_song_of_the_wind_2;name{Избранник ветра};name{Windfavored}
talent_descr;wanderer_song_of_the_wind_1;<p>Сосредотачивает силу ветров, чтобы освободиться от оков земли. Наносит anemo{Анемо урон} по площади и подпрыгивает, переходя в состояние name{Избранника ветра}.</p><p>name{Избранник ветра}<br>В этом состоянии name{Странник} не может совершать name{атаки в падении}. name{Обычные} и name{заряженные атаки} превращаются в name{Куго: Фусёдан} и name{Куго: Тофукай}, их урон и зона поражения увеличиваются. Их урон считается name{уроном обычной} и name{заряженной атаки} соответственно. name{Куго: Тофукай} не расходует выносливость.<br>В этом состоянии name{Странник} парит, а его передвижение приобретает следующие характеристики:<br>· Для поддержания парения потребляется name{куго-рёку}.<br>· При выполнении спринта он дополнительно расходует name{куго-рёку} и совершает ускорение в воздухе. При удержании спринта постоянно расходуется name{куго-рёку}, поддерживая быстрое перемещение. Этот эффект заменяет обычный спринт.<br>· Выполняя прыжок, он дополнительно расходует name{куго-рёку} и увеличивает высоту парения. При удержании прыжка постоянно расходуется name{куго-рёку} и увеличивается высота парения.</p><p>Когда name{куго-рёку} заканчивается, это состояние прерывается.<br>Повторная активация во время действия name{Избранника ветра} также завершает это состояние.</p><p><i>«Невесомыми кругами танцует мир, являя секреты, которые существуют только в цветах».</i></p>;"<p>Concentrates the power of the winds to break free from the shackles of the earth, dealing anemo{AoE Anemo DMG} before leaping into the air and entering the name{Windfavored} state.</p><p>name{Windfavored}<br>The name{Wanderer} cannot perform name{Plunging Attacks} in this state. When he uses name{Normal} and name{Charged Attacks}, they will be converted into name{Kuugo: Fushoudan} and name{Kuugo: Toufukai} respectively; the DMG they deal and their AoE will be increased, and their DMG will be considered name{Normal} and name{Charged Attack DMG} respectively. name{Kuugo: Toufukai} will not consume Stamina.<br>The name{Wanderer} will hover persistently during this time. While this state is active, the name{Wanderer}'s movements gain the following properties:<br>·Persistently consumes name{Kuugoryoku Points} to maintain this hovering state.<br>·When sprinting, additional name{Kuugoryoku Points} will be consumed for the name{Wanderer} to accelerate mid-air. Holding sprint will cause persistent name{Kuugoryoku} Point consumption to maintain speed. This effect will replace his default sprint.<br>·Jumping expends extra name{Kuugoryoku Points} to increase hovering height. Holding jump will cause persistent name{Kuugoryoku} Point consumption to keep increasing hovering height.</p><p>Running out of name{Kuugoryoku Points} will end the name{Windfavored} state.<br>A second cast during the duration of name{Windfavored} will also end it.</p><p><i>""The world dances in a weightless whirl, presenting a secret that can only be found in the flowers.""</i></p>"
talent_descr;wanderer_song_of_the_wind_2;В этом состоянии name{Странник} не может совершать name{атаки в падении}. name{Обычные} и name{заряженные атаки} превращаются в name{Куго: Фусёдан} и name{Куго: Тофукай}, их урон и зона поражения увеличиваются. Их урон считается name{уроном обычной} и name{заряженной атаки} соответственно.;"The name{Wanderer} cannot perform name{Plunging Attacks} in this state. When he uses name{Normal} and name{Charged Attacks}, they will be converted into name{Kuugo: Fushoudan} and name{Kuugo: Toufukai} respectively; the DMG they deal and their AoE will be increased, and their DMG will be considered name{Normal} and name{Charged Attack DMG} respectively."
talent_name;wanderer_five_ceremonial_plays;Кёгэн: Пять церемониальных актов;Kyougen: Five Ceremonial Plays
talent_descr;wanderer_five_ceremonial_plays;<p>Сжимает атмосферу в одной точке и создаёт вакуум, уничтожающий все страдания, и наносит многократный anemo{Анемо урон по площади}.<br>Если персонаж находится в состоянии name{Избранника ветра} навыка name{Ханэга: Песнь ветра}, активация этого навыка завершит его.</p><p><i>«Станет ясным небо, в котором, покачиваясь на ветру, плывут теням подобные грёзы о прошлом и настоящем».</i></p>;"<p>Compresses the atmosphere into a singular vacuum that grinds all troubles away, dealing multiple instances of anemo{AoE Anemo DMG}.<br>If the character is in the name{Windfavored} state due to the skill ""Hanega: Song of the Wind,"" name{Windfavored} state will end after casting.</p><p><i>""Bright be the narrowed gaze of the sky, casting its sight on dreams both past and present, like radiance washing over dust on the winds.""</i></p>"
talent_name;wanderer_jade_claimed_flower;Цветок нефрита;Jade-Claimed Flower
talent_descr;wanderer_jade_claimed_flower;Если skill{skill:Ханэга: Песнь ветра} входит в контакт с hydro{Гидро}, pyro{Пиро}, cryo{Крио} или electro{Электро} во время активации, в зависимости от элемента текущее состояние name{Избранника ветра} получает соответствующие усиления:<br>· hydro{Гидро}: максимум name{куго-рёку} повышается на value{20} ед.<br>· pyro{Пиро}: name{сила атаки} повышается на value{30%}.<br>· cryo{Крио}: name{шанс крит. попадания} повышается на value{20%}.<br>· electro{Электро}: попадания обычной и name{заряженной атакой} восстанавливают 0,8 name{ед. энергии}. Восстанавливать энергию таким образом можно раз в 0,2 сек.<br><br>Одновременно может существовать 2 таких усиления.;If skill{Hanega: Song of the Wind} comes into contact with hydro{Hydro}/pyro{Pyro}/cryo{Cryo}/electro{Electro} when it is unleashed, this instance of the name{Windfavored} state will obtain buffs according to the contacted element(s):<br>·hydro{Hydro}: name{Kuugoryoku} Point cap increases by value{20}.<br>·pyro{Pyro}: name{ATK} increases by value{30%}.<br>·cryo{Cryo}: name{CRIT Rate} increases by value{20%}.<br>·electro{Electro}: When name{Normal} and name{Charged Attacks} hit an opponent, 0.8 name{Energy} will be restored. name{Energy} can be restored this way once every 0.2s.<br><br>You can have up to 2 different kinds of these buffs simultaneously.
talent_name;wanderer_gales_of_reverie;Бури грёз;Gales of Reverie
talent_descr;wanderer_gales_of_reverie;Когда name{Странник} в состоянии skill{skill:Избранника ветра} попадает по врагу name{Куго: Фусёдан} или name{Куго: Тофукай}, есть 16% шанс получить эффект name{Сошествие: ускорение в воздухе} во время действия этого же состояния name{Избранника ветра} прервёт этот эффект, данное ускорение в воздухе не будет расходовать name{куго-рёку} и name{Странник} произведёт залп выстрелов из 4 name{стрел ветра}, каждая из которых наносит anemo{Анемо урон}, равный %{text_percent_dmg} name{силы атаки}.<br>Если name{Куго: Фусёдан} или name{Куго: Тофукай} не активировали этот эффект, шанс его активации следующим попаданием возрастает на 12%. Шанс активации возникает не чаще одного раза в 0,1 сек.;When the name{Wanderer} hits opponents with name{Kuugo: Fushoudan} or name{Kuugo: Toufukai} in his skill{skill:Windfavored} state, he has a 16% chance to obtain the name{Descent} effect: The next time the name{Wanderer} accelerates in mid-air while in this instance of the name{Windfavored} state, this effect will be removed, this acceleration instance will not consume any name{Kuugoryoku Points}, and he will fire off 4 wind arrows that deal %{text_percent_dmg} of his name{ATK} as anemo{Anemo DMG} each.<br>For each name{Kuugo: Fushoudan} and name{Kuugo: Toufukai} that does not produce this effect, the next attack of those types will have a 12% increased chance of producing it. The calculation of the effect production is done once every 0.1s.
talent_name;wanderer_ostentatious_plumage;Сёбан: Пышный плюмаж;Shoban: Ostentatious Plumage
talent_descr;wanderer_ostentatious_plumage;У name{Странника} в состоянии skill{skill:Избранника ветра} скорость атак name{Куго: Фусёдан} и name{Куго: Тофукай} увеличивается на %{atk_speed_normal}.<br>Кроме того, стрелы ветра таланта возвышения name{Бури грёз} наносят дополнительные %{text_percent_dmg} урона от name{силы атаки}. Требуется разблокировать талант возвышения name{Бури грёз}.;"When in the skill{skill:Windfavored} state, the name{Attack SPD} of the name{Wanderer}'s name{Kuugo: Fushoudan} and name{Kuugo: Toufukai} is increased by %{atk_speed_normal}.<br>Additionally, the wind arrows fired by the Ascension Talent ""name{Gales of Reverie}"" will deal an additional %{text_percent_dmg} of his name{ATK} as DMG. You must first unlock the Ascension Talent ""name{Gales of Reverie}."""
talent_name;wanderer_isle_amidst_white_waves;Нибан: Остров среди белых волн;Niban: Isle Amidst White Waves
talent_descr;wanderer_isle_amidst_white_waves;Когда name{Странник} находится в состоянии skill{skill:Избранника ветра}, урон навыка skill{burst:Кёгэн: Пять церемониальных актов} при его использовании увеличится на value{4%} за каждую единицу разницы между текущим и максимальным показателем name{куго-рёку}.<br>Увеличить урон навыка name{Кёгэн: Пять церемониальных актов} таким способом можно максимум на value{200%}.;When in the skill{skill:Windfavored} state, skill{burst:Kyougen: Five Ceremonial Plays} will see its DMG increased by value{4%} per point of difference between the max amount of name{Kuugoryoku Points} contrasted with name{Kuugoryoku}'s present capacity when using this skill.<br>Through this method, you can increase name{Kyougen: Five Ceremonial Plays}'s DMG by a maximum of value{200%}.
talent_name;wanderer_moonflower_kusemai;Самбан: Кусэмай лунного цветка;Sanban: Moonflower Kusemai
talent_name;wanderer_set_adrift_into_spring;Ёмбан: По течению к весне;Yonban: Set Adrift into Spring
