category;name;rus;eng
char_name;wriothesley;Ризли;Wriothesley
talent_name;wriothesley_forceful_fists_of_frost;Свирепые кулаки стужи;Forceful Fists of Frost
talent_descr;wriothesley_forceful_fists_of_frost;<p>name{Обычная атака}<br>Собрав в руках мороз, name{Ризли} даёт волю name{Кулакам изгнания} и выполняет до 5 быстрых ударов, которые наносят cryo{Крио урон}.<br>Кроме того, счётчик серии обычных ударов не сбрасывается в течение короткого времени после активации Стремительного ледяного клыка или завершения спринта.</p><p>name{Заряженная атака}<br>Расходует определённое количество выносливости, подпрыгивает и выполняет удар name{Морозного кулака в прыжке}, который наносит cryo{Крио урон по площади}.</p><p>name{Атака в падении}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит cryo{Крио урон по площади}.</p>;<p>name{Normal Attack}<br>Coalescing frost about his fist, name{Wriothesley} will unleash powerful name{Repelling Fists}, performing up to 5 rapid attacks that deal cryo{Cryo DMG}.<br>Apart from this, name{Normal Attack} combo count will not reset for a short time after using Icefang Rush or sprinting.</p><p>name{Charged Attack}<br>Consumes a fixed amount of Stamina to leap and unleash a name{Vaulting Fist}, dealing cryo{AoE Cryo DMG}.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing cryo{AoE Cryo DMG} upon impact.</p>
feature_skill;wriothesley_enhanced_repelling_fist;Урон усиленных Кулаков изгнания;Enhanced Repelling Fist DMG
talent_name;wriothesley_icefang_rush_1;Стремительный ледяной клык;Icefang Rush
talent_name;wriothesley_icefang_rush_2;name{Леденящее наказание};name{Chilling Penalty}
talent_descr;wriothesley_icefang_rush_1;<p>Быстро подстроив дыхание, темп и ритм, name{Ризли} совершает рывок на короткое расстояние вперёд, входит в состояние name{Леденящего наказания} и наносит ещё более мощные и яростные атаки.</p><p>name{Леденящее наказание}<br>· Повышает сопротивление прерыванию name{Ризли}.<br>· Когда name{HP} name{Ризли} выше 50%, name{Кулаки изгнания} name{Свирепых кулаков стужи} наносят больше урона, а при попадании name{Ризли} теряет определённое количество name{HP}. name{HP} таким образом теряется не чаще одного раза каждые 0,1 сек.<br>Этот эффект перестаёт действовать, когда name{Ризли} покидает поле боя.</p><p><i>«Былого не изменить, но будущее в наших руках».<br>«Если не желаешь, чтобы мимолётные злодеяния поглотили твою судьбу, дорожи этим мгновением».</i></p>;"<p>Adjusting his breathing, rhythm, and pace, name{Wriothesley} sprints forward a short distance, entering the name{Chilling Penalty} state and unleashing more powerful attacks than before.</p><p>name{Chilling Penalty}<br>· Increases name{Wriothesley}'s interruption resistance<br>· When his name{HP} is above 50%, it will enhance the name{Repelling Fists} of name{Normal Attack: Forceful Fists of Frost} and increase its DMG. When such an attack hits, it will consume a fixed amount of name{Wriothesley}'s name{HP}. name{HP} can be lost this way once every 0.1s.<br>This effect will be canceled should name{Wriothesley} leave the field.</p><p><i>""Past convictions are past. It is our future choices that we must grasp.""<br>""Defy your fate, or else this glutton be, to pay your fate's due, by the crime and thee.""</i></p>"
talent_descr;wriothesley_icefang_rush_2;<p>Когда name{HP} name{Ризли} выше 50%, name{Кулаки изгнания} name{Свирепых кулаков стужи} наносят больше урона, а при попадании name{Ризли} теряет определённое количество name{HP}.</p>;<p>When his name{HP} is above 50%, it will enhance the name{Repelling Fists} of name{Normal Attack: Forceful Fists of Frost} and increase its DMG. When such an attack hits, it will consume a fixed amount of name{Wriothesley}'s name{HP}.</p>
feature_burst;wriothesley_surging_blade_cd;Откат Клинка бурных вод;Surging Blade CD
talent_name;wriothesley_darkgold_wolfbite;Укус чернозлатого волка;Darkgold Wolfbite
