category;name;rus;eng
char_name;xiangling;Сян Лин;Xiangling
talent_name;xiangling_pyronado;Огневихрь;Pyronado
talent_descr;xiangling_pyronado;<p>Используя свои умения Пиро и древкового оружия, name{Сян Лин} закручивает вокруг себя огненный вихрь.<br>Он следует за активным персонажем и наносит pyro{Пиро урон} врагам, которых касается.</p><p><i>Огня много не бывает.</i></p>;<p>Displaying her mastery over both fire and polearms, name{Xiangling} sends a Pyronado whirling around her.<br>The Pyronado will move with your character for the ability's duration, dealing pyro{Pyro DMG} to all opponents in its path.</p><p><i>There will never be enough heat. Never.</i></p>
talent_name;xiangling_dough_fu;Кунг-тесто;Dough-Fu
talent_descr;xiangling_dough_fu;<p>name{Обычная атака:}<br>До пяти ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;xiangling_guoba_attack;Атака Гобы;Guoba Attack
talent_descr;xiangling_guoba_attack;<p>Призывает панду по имени Гоба, который длительное время дышит огнём, нанося pyro{Пиро урон по площади}.</p><p><i>Гоба любит острую еду, но есть одна проблема... Его желудок с ней не очень хорошо справляется.</i></p>;<p>Summons name{Guoba}, who will continuously breathe fire at opponents, dealing pyro{AoE Pyro DMG}.</p><p><i>name{Guoba} loves to eat spicy food. Problem is, his stomach can't handle something this spicy.</i></p>
talent_name;xiangling_crossfire;Перекрёстный огонь;Crossfire
talent_descr;xiangling_crossfire;Дистанция огненного дыхания name{Гобы} увеличивается на %{text_percent}.;Increases the flame range of name{Guoba} by %{text_percent}.
talent_name;xiangling_beware_its_super_hot;Острота!!!;Beware, It's Super Hot!
talent_descr;xiangling_beware_its_super_hot;После окончания навыка skill{skill:Атака Гобы} на месте его исчезновения остаётся name{перец}. Этот name{перец} увеличивает name{силу атаки} на %{atk_percent} в течение 10 сек.;When skill{skill:Guoba Attack}'s effect ends, name{Guoba} leaves a name{chili pepper} on the spot where it disappeared. Picking up a name{chili pepper} increases name{ATK} by %{atk_percent} for 10s.
talent_name;xiangling_crispy_outside_tender_inside;Внешность обманчива;Crispy Outside, Tender Inside
talent_descr;xiangling_crispy_outside_tender_inside;Попадания атакой name{Гобы} понижают pyro{Пиро сопротивление} врагов на %{enemy_res_pyro} в течение 6 сек.;Opponents hit by name{Guoba}'s attacks have their pyro{Pyro RES} reduced by %{enemy_res_pyro} for 6s.
talent_name;xiangling_oil_meets_fire;Масло в огонь;Oil Meets Fire
talent_descr;xiangling_oil_meets_fire;Последний удар name{обычной атаки} накладывает на врага статус name{Возгорание} на 2 сек. По истечении этого времени происходит взрыв, который наносит pyro{Пиро урон} по площади, равный %{text_percent_dmg} от name{силы атаки} name{Сян Лин}.;The last attack in a name{Normal Attack} sequence applies the name{Implode} status onto the opponent for 2s. An explosion will occur once this duration ends, dealing %{text_percent_dmg} of name{Xiangling}'s name{ATK} as AoE pyro{Pyro DMG}.
talent_name;xiangling_deepfry;Жарка в масле;Deepfry
talent_name;xiangling_slowbake;На маленьком огне;Slowbake
talent_descr;xiangling_slowbake;Увеличивает длительность навыка skill{burst:Огневихрь} на %{text_percent}.;skill{burst:Pyronado}'s duration is increased by %{text_percent}.
talent_name;xiangling_guoba_mad;Гоба зол;Guoba Mad
talent_name;xiangling_condensed_pyronado;Усиленный огневихрь;Condensed Pyronado
talent_descr;xiangling_condensed_pyronado;При активном skill{burst:Огневихре} все члены отряда получают %{dmg_pyro} бонус pyro{Пиро урона}.;For the duration of skill{burst:Pyronado}, all party members receive a %{dmg_pyro} pyro{Pyro DMG Bonus}.
