category;name;rus;eng
char_name;xianyun;Сянь Юнь;Xianyun
talent_name;xianyun_stars_gather_at_dusk;Сумеречное собрание звёзд;Stars Gather at Dusk
talent_descr;xianyun_stars_gather_at_dusk;<p>Призывает божественный ветер, который наносит anemo{Анемо урон по площади}, восстанавливает name{HP} всем окружающим членам отряда пропорционально name{силе атаки} name{Сянь Юнь} и призывает механизм «name{Сплетение звёзд}».</p><p>name{Сплетение звёзд}<br>· Следует за активным персонажем и периодически восстанавливает name{HP} всем членам отряда поблизости пропорционально name{силе атаки} name{Сянь Юнь}.<br>· Изначально имеет 8 уровней Поддержки Адептов. Во время действия Поддержки Адептов высота прыжка активных членов отряда поблизости повышена.<br>· Когда активный персонаж завершает name{атаку в падении}, name{Сплетение звёзд} расходует 1 уровень Поддержки Адептов и наносит anemo{Анемо урон по площади}.<br>На поле боя одновременно может быть только одно name{Сплетение звёзд}.</p><p><i>Это последнее из серии чудесных изобретений звезды и луны, которому предшествуют Чудо кулинарной машинерии, Скорый снегоход, Волшебный домработник, Парящий переносной механизм и Садовник. Образчики из этой серии должны были стать подарками юным людям, обожаемых Хранителем Облаков, и к одному полуадепту отношения не имели. К сожалению, некая ученица, которой предстояло принять сей дар, с отсутствующим выражением молвила «Нет, спасибо».<br>Так что Хранителю Облаков пришлось оставить его у себя.</i></p>;"<p>Brings forth a sacred breeze that deals anemo{AoE Anemo DMG} and heals all nearby characters based on name{Xianyun}'s name{ATK}. It will also summon the ""name{Starwicker}"" mechanism.</p><p>name{Starwicker}<br>·Continuously follows the active character and periodically heals all nearby party members based on name{Xianyun}'s name{ATK}.<br>·Starts with 8 stacks of name{Adeptal Assistance}. While name{Adeptal Assistance} is active, nearby active characters in the party will have their jump height increased.<br>·When the active character completes a name{Plunging Attack}, name{Starwicker} will consume 1 stack of name{Adeptal Assistance} and deal anemo{AoE Anemo DMG}.<br>Only 1 name{Starwicker} can exist simultaneously.</p><p><i>This is the newest invention in the ""Lunastar Artifices"" series, of which previous creations include the Supreme Cuisine Machine, the Snowdrift Mechanism, the Supreme Housekeeping Machine, the Floating Toting Device, and the Bloom Pruner. This series was intended for young humans Cloud Retainer held in great esteem, and so was not designed with a certain half-adeptus in mind. However, when offered name{Starwicker}, a certain female disciple of hers had these emotionless words to say: ""No thank you.""<br>Cloud Retainer thus had no choice but to keep it herself.</i></p>"
talent_name;xianyun_word_of_wind_and_flower;Слово ветра и цветка;Word of Wind and Flower
talent_descr;xianyun_word_of_wind_and_flower;<p>name{Обычная атака:}<br>Призывает кружащие ветра, и выполняет до четырёх атак, наносящих anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и по прямой линии выпускает кольцо ветра, наносящее врагам на пути anemo{Анемо урон}.</p><p>name{Атака в падении:}<br>Собрав мощь Анемо, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Summons swirling winds to perform up to 4 attacks, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and launches a Breeze Bolt in a straight line that deals anemo{Anemo DMG} to opponents along its path.</p><p>name{Plunging Attack}<br>Gathers the power of Anemo and plunges towards the ground from mid-air, damaging all opponents in her path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
talent_name;xianyun_white_clouds_at_dawn;Белые облака на заре;White Clouds at Dawn
talent_descr;xianyun_white_clouds_at_dawn;<p>name{Сянь Юнь} входит в состояние name{Превращения облаков}, в котором она не получает урон от падения, и один раз использует name{Небесную лестницу}.<br>В этом состоянии её name{атака в падении} превращается в Волну плывущих облаков, которая наносит anemo{Анемо урон по площади} и завершает состояние name{Превращения облаков}. Её урон считается уроном name{атаки в падении}.<br>Каждое применение name{Небесной лестницы} в этом состоянии увеличивает урон и площадь поражения следующей name{Волны плывущих облаков}.</p><p>name{Небесная лестница}<br>Может быть активирована в воздухе. name{Сянь Юнь} совершает рывок вперёд, нанося целям на пути anemo{Анемо урон}.<br>В течение одного состояния name{Превращения облаков} name{Небесную лестницу} можно использовать до 3 раз, причём один и тот же противник может получить урон name{Небесной лестницы} только один раз.<br>Если в течение короткого промежутка времени не активировать name{Небесную лестницу}, состояние name{Превращения облаков} исчезает.</p><p>Если во время текущего состояния name{Превращения облаков} не вызывать Волну плывущих облаков, последующий откат навыка name{Белые облака на заре} сокращается на 3 сек.</p><p><i>Пожимая Хранителю Облаков руку, будьте осторожны - это всё-таки рука Адепта.</i></p>;"<p>name{Xianyun} enters the name{Cloud Transmogrification} state, in which she will not take Fall DMG, and uses name{Skyladder} once.<br>In this state, her name{Plunging Attack} will be converted into name{Driftcloud Wave} instead, which deals anemo{AoE Anemo DMG} and ends the name{Cloud Transmogrification} state. This DMG is considered name{Plunging Attack DMG}.<br>Each use of name{Skyladder} while in this state increases the DMG and AoE of the next name{Driftcloud Wave} used.</p><p>name{Skyladder}<br>Can be used while in mid-air. name{Xianyun} leaps forward, dealing anemo{Anemo DMG} to targets along her path.<br>During each name{Cloud Transmogrification} state name{Xianyun} enters, name{Skyladder} may be used up to 3 times and only 1 instance of name{Skyladder} DMG can be dealt to any one opponent.<br>If name{Skyladder} is not used again in a short period, the name{Cloud Transmogrification} state will be canceled.</p><p>If name{Xianyun} does not use name{Driftcloud Wave} while in this state, the next CD of name{White Clouds at Dawn} will be decreased by 3s.</p><p><i>Do not shake Cloud Retainer's hand too tightly; cranes are quite adept at gripping.</i></p>"
talent_name;xianyun_galefeather_pursuit;Белое перо на благом ветру;Galefeather Pursuit
talent_descr;xianyun_galefeather_pursuit;Каждый противник, поражённый name{Волной плывущих облаков} навыка skill{skill:Белые облака на заре}, на 20 сек. наделяет всех членов отряда поблизости 1 уровнем эффекта name{Перо на ветру}. Этот эффект складывается до 4 раз и увеличивает name{шанс крит. попадания} name{атаки в падении} на %{text_percent_1}/%{text_percent_2}/%{text_percent_3}/%{text_percent_4} соответственно.<br>Длительность уровней name{Пера на ветру}, возникающих при попадании по противнику, рассчитывается отдельно друг от друга.;Each opponent hit by name{Driftcloud Waves} from skill{skill:White Clouds at Dawn} will grant all nearby party members 1 stack of name{Storm Pinion} for 20s. Max 4 stacks. These will cause the characters' name{Plunging Attack} name{CRIT Rate} to increase by %{text_percent_1}/%{text_percent_2}/%{text_percent_3}/%{text_percent_4} respectively.<br>Each name{Storm Pinion} created by hitting an opponent has an independent duration.
talent_name;xianyun_consider_the_adeptus_in_her_realm;Адепт в своей обители;Consider, the Adeptus in Her Realm
talent_descr;xianyun_consider_the_adeptus_in_her_realm;name{Сплетение звёзд} skill{burst:Сумеречного собрания звёзд} с действующей name{Поддержкой Адептов} повышает урон ударной волны name{атаки в падении} активных персонажей отряда поблизости на %{text_percent_atk} от name{силы атаки} name{Сянь Юнь}. Максимальное увеличение урона, полученное таким образом, не может превышать %{text_value_max}.<br>Одна ударная волна name{атаки в падении} может нанести данный повышенный урон только одному противнику. Каждый персонаж может активировать этот эффект один раз в 0,4 сек.;When the name{Starwicker} created by skill{burst:Stars Gather at Dusk} has name{Adeptal Assistance} stacks, nearby active characters' name{Plunging Attack} shockwave DMG will be increased by %{text_percent_atk} of name{Xianyun}'s name{ATK}. The maximum DMG increase that can be achieved this way is %{text_value_max}.<br>Each name{Plunging Attack} shockwave DMG instance can only apply this increased DMG effect to a single opponent. Each character can trigger this effect once every 0.4s.
talent_name;xianyun_purifying_wind;Ветер очищения;Purifying Wind
talent_descr;xianyun_purifying_wind;Увеличивает количество зарядов навыка skill{skill:Белые облака на заре} на 1.;skill{skill:White Clouds at Dawn} gains 1 additional charge.
talent_name;xianyun_aloof_from_the_world;Отстранившись от мира;Aloof From the World
talent_descr;xianyun_aloof_from_the_world_1;После применения name{Небесной лестницы} навыка skill{skill:Белые облака на заре} name{сила атаки} name{Сянь Юнь} повышается на %{atk_percent} на 15 сек.;After using a name{Skyladder} from skill{skill:White Clouds at Dawn}, name{Xianyun}'s name{ATK} will be increased by %{atk_percent} for 15s.
