category;name;rus;eng
char_name;xiao;Сяо;Xiao
talent_name;xiao_whirlwind_thrust;Вихревой удар;Whirlwind Thrust
talent_descr;xiao_whirlwind_thrust;<p>name{Обычная атака:}<br>До шести быстрых ударов копьём.</p><p>name{Заряженная атака:}<br>Проводит воздушную атаку, для которой тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.<br>name{Сяо} не получает урона от проведения name{атаки в падении}.</p>;<p>name{Normal Attack}<br>Performs up to 6 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to perform an upward thrust.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.<br>name{Xiao} does not take DMG from performing name{Plunging Attacks}.</p>
talent_name;xiao_lemniscatic_wind_cycling;Лемниската ветра;Lemniscatic Wind Cycling
talent_descr;xiao_lemniscatic_wind_cycling;<p>name{Сяо} совершает выпад вперёд, нанося anemo{Анемо урон} врагам на пути.<br>Можно совершить в воздухе.<br>Изначально имеет два заряда.</p><p><i>В легендах из далёких земель говорится, что в конце концов мир будет раздроблен двумя ветряными колёсами. Мастерство владения древковым оружием name{Сяо} позволяет ему дробить врагов, словно те два колеса.</i></p>;<p>name{Xiao} lunges forward, dealing anemo{Anemo DMG} to opponents in his path.<br>Can be used in mid-air.<br>Starts with 2 charges.</p><p><i>According to the legends of another land, the world will someday be crushed by two great wind wheels. name{Xiao}'s mastery over polearms is transcendent, ripping his foes apart like those legendary wind wheels.</i></p>
feature_burst;xiao_burst_bonus;Увеличение урона атак обычной / заряженной / в падении;Normal/Charged/Plunging Attack DMG Bonus
feature_burst;xiao_life_drain;Потеря HP;Life Drain
talent_name;xiao_bane_of_all_evil;Истребление всего зла;Bane of All Evil
talent_descr;xiao_bane_of_all_evil_1;<p>name{Сяо} надевает маску Яксы, заставлявшую трепетать от страха богов и демонов тысячи лет назад.</p><p>name{Маска Яксы:}<br>· Значительно усиливает прыжки name{Сяо}.<br>· Увеличивает область и урон его атак.<br>· Конвертирует урон от атак в anemo{Анемо урон}. Этот эффект не может быть отменён какой-либо элементальной инфузией.</p><p>Находясь в этой форме, name{Сяо} периодически теряет name{HP}.<br>Эффекты этого навыка заканчиваются, когда name{Сяо} покидает поле боя.</p><p><i>Надевая маску Якса, name{Сяо} превращается в ужасающую форму бдительного Яксы, истребляющего демонов. Однако великая сила требует огромных жертв. Люди прозвали его «Истреблением всего зла».</i></p>;"<p>name{Xiao} dons the Yaksha Mask that set gods and demons trembling millennia ago.</p><p>name{Yaksha's Mask}<br>·Greatly increases name{Xiao}'s jumping ability.<br>·Increases his attack AoE and attack DMG.<br>·Converts attack DMG into anemo{Anemo DMG}, which cannot be overridden by any other elemental infusion.</p><p>In this state, name{Xiao} will continuously lose name{HP}.<br>The effects of this skill end when name{Xiao} leaves the field.</p><p><i>Donning the Mask of the Yaksha, name{Xiao} takes the terrifying, demon-conquering form of the Vigilant Yaksha. But this great power has also brought him great suffering. Some call him ""The Bane of All Evil.""</i></p>"
talent_descr;xiao_bane_of_all_evil_2;<p>· Значительно усиливает прыжки name{Сяо}.<br>· Увеличивает область и урон его атак.<br>· Конвертирует урон от атак в anemo{Анемо урон}. Этот эффект не может быть отменён какой-либо элементальной инфузией.</p>;<p>·Greatly increases name{Xiao}'s jumping ability.<br>·Increases his attack AoE and attack DMG.<br>·Converts attack DMG into anemo{Anemo DMG}, which cannot be overridden by any other elemental infusion.</p>
talent_name;xiao_tamer_of_demons;Завоеватель зла: Усмиряющий демонов;Conqueror of Evil: Tamer of Demons
talent_descr;xiao_tamer_of_demons;<p>При использовании навыка skill{burst:Истребление всего зла} урон name{Сяо} увеличивается на %{dmg_all}. После этого его урон продолжает увеличиваться на %{dmg_all} каждые 3 сек. до окончания действия навыка.<br>Макс. увеличение урона - 25%.</p>;<p>While under the effects of skill{burst:Bane of All Evil}, all DMG dealt by name{Xiao} increases by %{dmg_all}. DMG increases by a further %{dmg_all} for every 3s the ability persists.<br>The maximum name{DMG Bonus} is 25%.</p>
