category;name;rus;eng
char_name;xinyan;Синь Янь;Xinyan
talent_name;xinyan_riff_revolution;Струны протеста;Riff Revolution
talent_descr;xinyan_riff_revolution;<p>name{Синь Янь} зажигает толпу игрой на своём инструменте, подкидывая окружающих врагов в воздух и нанося им name{физ. урон}.<br>Жаркая атмосфера её выступления создаёт струи огня, которые наносят pyro{Пиро урон} окружающим врагам.</p><p><i>Этим номером name{Синь Янь} заканчивала свои концерты, однако ей пришлось прекратить его исполнение, и не потому что это был опасный номер, а потому что у неё не было более захватывающего номера на случай, если кто-то выкрикнет «На бис!»</i></p>;"<p>Strumming rapidly, name{Xinyan} launches nearby opponents and deals name{Physical DMG} to them, hyping up the crowd.<br>The sheer intensity of the atmosphere will cause explosions that deal pyro{Pyro DMG} to nearby opponents.</p><p><i>name{Xinyan} used to end all her performances with this move. She didn't stop because it was dangerous, however, but because she didn't have a more epic finale in case someone shouted ""Encore!""</i></p>"
talent_name;xinyan_dance_on_fire;Танец в огне;Dance on Fire
talent_descr;xinyan_dance_on_fire;<p>name{Обычная атака:}<br>До четырёх рубящих ударов мечом.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную атаку мечом.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;xinyan_sweeping_fervor;Решительный жар;Sweeping Fervor
talent_descr;xinyan_sweeping_fervor;"<p>name{Синь Янь} размахивает своим музыкальным инструментом, нанося pyro{Пиро урон} окружающим врагам, и создаёт щит из жаркой любви своих фанатов.<br>Поглощение урона щита зависит от name{защиты} name{Синь Янь} и от количества попавших под удар врагов:<br>· Не попадает или попадает по одному - щит 1 ур. «Импровизация»;<br>· Попадает по двум - щит 2 ур. «Вступление»;<br>· Попадает по трём и более - щит 3 ур. «Рейв», который также периодически наносит pyro{Пиро урон} окружающим врагам.</p><p>Щит обладает следующими свойствами:<br>· Во время активации накладывает на name{Синь Янь} pyro{эффект Пиро};<br>pyro{· Пиро урон} поглощается с эффективностью 250%.</p><p><i>name{Синь Янь} утверждает, что кульминация её выступления - это пиротехнические эффекты, которые являются физическим феноменом, никак не связанным с её Глазом Бога.</i></p>";<p>name{Xinyan} brandishes her instrument, dealing pyro{Pyro DMG} on nearby opponents, forming a shield made out of her audience's passion.<br>The shield's DMG Absorption scales based on name{Xinyan}'s name{DEF} and on the number of opponents hit.<br>·Hitting 0–1 opponents grants Shield Level 1: Ad Lib.<br>·Hitting 2 opponents grants name{Shield Level 2}: name{Lead-In}.<br>·Hitting 3 or more opponents grants name{Shield Level 3}: name{Rave}, which will also deal intermittent pyro{Pyro DMG} to nearby opponents.</p><p>The shield has the following special properties:<br>·When unleashed, it infuses name{Xinyan} with pyro{Pyro}.<br>·It has 250% DMG Absorption effectiveness against pyro{Pyro DMG}.</p><p><i>name{Xinyan} insists that these pyrotechnics are the apex of performative art, and that they are physical phenomena that have nothing to do with her Vision.</i></p>
talent_name;xinyan_the_show_goes_on_even_without_an_audience;Выступление без публики;"""The Show Goes On, Even Without an Audience..."""
talent_descr;xinyan_the_show_goes_on_even_without_an_audience;"Уменьшает необходимое для получения уровня щита навыка skill{skill:Решительный жар} количество врагов:<br>· Щит 2 ур. - «Вступление»: требуется попадание по одному врагу;<br>· Щит 3 ур. - «Рейв»: требуется попадание по двум врагам и более.";Decreases the number of opponents skill{skill:Sweeping Fervor} must hit to trigger each level of shielding.<br>·name{Shield Level 2}: name{Lead-In} requirement reduced to 1 opponent hit.<br>·name{Shield Level 3}: name{Rave} requirement reduced to 2 opponents hit or more.
talent_name;xinyan_now_thats_rock_n_roll;Вот это рок-н-ролл!;"""...Now That's Rock 'N' Roll!"""
talent_descr;xinyan_now_thats_rock_n_roll;Щит навыка skill{skill:Решительный жар} увеличивает name{физ. урон} персонажа на %{dmg_phys}.;Characters shielded by skill{skill:Sweeping Fervor} deal %{dmg_phys} increased name{Physical DMG}.
talent_name;xinyan_fatal_acceleration;Фатальный разгон;Fatal Acceleration
talent_descr;xinyan_fatal_acceleration;При крит. попадании увеличивает name{скорость обычной} и name{заряженной атаки} name{Синь Янь} на %{atk_speed_normal} в течение 5 сек.<br>Может возникнуть раз в 5 сек.;Upon scoring a name{CRIT Hit}, increases name{ATK SPD} of name{Xinyan}'s name{Normal} and name{Charged Attacks} by %{atk_speed_normal} for 5s.<br>Can only occur once every 5s.
talent_name;xinyan_impromptu_opening;Выступление экспромтом;Impromptu Opening
talent_descr;xinyan_impromptu_opening;Увеличивает name{шанс крит. попадания} физ. уроном навыка skill{burst:Струны протеста} на 100%, также при использовании навыка активирует щит 3 ур. - «Рейв».;skill{burst:Riff Revolution}'s name{Physical DMG} has its name{CRIT Rate} increased by 100%, and will form a shield at name{Shield Level 3}: name{Rave} when cast.
talent_name;xinyan_double_stop;Сложный аккорд;Double-Stop
talent_name;xinyan_wildfire_rhythm;Дикий ритм;Wildfire Rhythm
talent_descr;xinyan_wildfire_rhythm;Попадание навыком skill{skill:Решительный жар} понижает name{физ. сопротивление} врага на %{enemy_res_phys} в течение 12 сек.;skill{skill:Sweeping Fervor}'s swing DMG decreases opponent's name{Physical RES} by %{enemy_res_phys} for 12s.
talent_name;xinyan_screamin_for_an_encore;Крики «Браво!»;Screamin' for an Encore
talent_name;xinyan_rockin_in_a_flaming_world;Адский рок-н-ролл;Rockin' in a Flaming World
talent_descr;xinyan_rockin_in_a_flaming_world;Уменьшает потребление выносливости name{заряженной атакой} name{Синь Янь} на %{text_percent}. Также при исполнении name{заряженной атаки} name{Синь Янь} получает бонус атаки равный 50% от её name{защиты}.;Decreases the Stamina Consumption of name{Xinyan}'s name{Charged Attacks} by %{text_percent}. Additionally, name{Xinyan}'s name{Charged Attacks} gain an name{ATK} Bonus equal to 50% of her name{DEF}.
