category;name;rus;eng
char_name;yae_miko;Яэ Мико;Yae Miko
talent_name;yae_miko_tenko_kenshin;Великое тайное искусство: Тэнко кэнсин;Great Secret Art: Tenko Kenshin
talent_descr;yae_miko_tenko_kenshin;<p>В Инадзуме существуют легенды о кицунэцуки - людях, в которых вселился дух кицунэ. Из них весьма особенными считаются Небесные кицунэ, которые поражают молниями врагов Великого храма Наруками, нанося electro{Электро урон по площади}.<br>При активации этого навыка name{Яэ Мико} высвобождает name{Сакуры сэссё} поблизости, разрушая их внешнюю форму и обращая в молнии name{Небесной кицунэ}, которые наносят electro{Электро урон по площади}. Каждая разрушенная таким образом name{Сакура сэссё} даёт одну молнию name{Небесной кицунэ}.</p><p><i>Черты name{Небесной кицунэ} Яэ раскрываются лишь тогда, когда она повелевает молнией. От всех видевших её хвосты осталась лишь горстка пепла, поэтому помните - хвостов у госпожи Яэ нет.</i></p>;"<p>Legends of ""kitsunetsuki,"" or the manifestation of a kitsune's might, are common in Inazuma's folktales. One that particularly captures the imagination is that of the Sky Kitsune, said to cause lightning to fall down upon the foes of the Grand Narukami Shrine. Summons a lightning strike, dealing electro{AoE Electro DMG}.<br>When she uses this skill, name{Yae Miko} will unseal nearby name{Sesshou Sakura}, destroying their outer forms and transforming them into Tenko Thunderbolts that descend from the skies, dealing electro{AoE Electro DMG}. Each name{Sesshou Sakura} destroyed in this way will create one name{Tenko Thunderbolt}.</p><p><i>Only at times like these will Yae reveal her Sky Kitsune form and wield lightning itself. None have seen the Lady Guuji's tails and lived to tell the story... so remember, as far as you are concerned, Lady Yae does not have a tail.</i></p>"
talent_name;yae_miko_spiritfox_sin_eater;Пожирающая грехи кицунэ;Spiritfox Sin-Eater
talent_descr;yae_miko_spiritfox_sin_eater;<p>name{Обычная атака:}<br>Совершает до трёх ударов, призывая духов кицунэ, наносящих electro{Электро урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее electro{Электро урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Накопив энергию молнии, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит electro{Электро урон по площади}.</p>;<p>name{Normal Attack}<br>Summons forth kitsune spirits, initiating a maximum of 3 attacks that deal electro{Electro DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to deal electro{AoE Electro DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Plunges towards the ground from mid-air, damaging all opponents in her path with thunderous might. Deals electro{AoE Electro DMG} upon impact with the ground.</p>
talent_name;yae_miko_sesshou_sakura;Проклятие якан: Сакура сэссё;Yakan Evocation: Sesshou Sakura
talent_descr;yae_miko_sesshou_sakura;<p>Для Яэ хлопотами вроде изгнания духов нет нужды заниматься лично.<br>Стремительно передвигается, оставляя за собой Сакуру сэссё.</p><p>name{Сакура сэссё}<br>Обладает следующими свойствами:<br>· Периодически бьёт врага поблизости молнией, нанося electro{Электро урон}.<br>· Наличие других name{Сакур сэссё} поблизости повышает их уровень и наносимый ими урон.</p><p>У навыка 3 заряда.<br>На поле боя может быть до 3 name{Сакур сэссё}. Изначально создаёт Сакуры 1-го уровня, они могут быть улучшены максимум до 3-го уровня. Если создать Сакуру слишком близко к уже существующей, то последняя уничтожится.</p><p><i>«Заточённые внутри ветвей сакуры духи кицунэ - это всё якан, которые причиняют людям вред. Они на две ступени ниже нас, Небесных кицунэ, поэтому я без зазрения совести заставляю их выполнять мои приказы. Но вы, люди, с нашей иерархии пример не берите. Что же до того, кто занимает более высокое положение, небесные кицунэ или люди... Хе-хе...»</i></p>;"<p>To Yae, such dull tasks as can be accomplished by driving spirits out need not be done personally.<br>Moves swiftly, leaving a name{Sesshou Sakura} behind.</p><p>name{Sesshou Sakura}<br>Has the following properties:<br>· Periodically strikes one nearby opponent with lightning, dealing electro{Electro DMG}<br>· When there are other name{Sesshou Sakura} nearby, their level will increase, boosting the DMG dealt by these lightning strikes.</p><p>This skill has three charges.<br>A maximum of 3 name{Sesshou Sakura} can exist simultaneously. The initial level of each name{Sesshou Sakura} is 1, and the initial highest level each sakura can reach is 3. If a new name{Sesshou Sakura} is created too close to an existing one, the existing one will be destroyed.</p><p><i>""The kitsune spirits sealed in the branches are all yakan who stooped to preying upon humans. The yakan are two grades lower than us Sky Kitsune, and so, I hardly see the problem with... asking that they do my bidding. Now, this doesn't mean that you humans should go learning from our grading systems, no indeed — and as for which of us, kitsune or human, is higher up in the pecking order... Heh, wouldn't you like to know?""</i></p>"
talent_name;yae_miko_the_shrines_sacred_shade;Божественная тень святилища;The Shrine's Sacred Shade
talent_descr;yae_miko_the_shrines_sacred_shade;Каждая name{Сакура сэссё}, разрушенная навыком skill{burst:Великое тайное искусство: Тэнко кэнсин}, сбрасывает откат одного заряда навыка skill{skill:Проклятие якан: Сакура сэссё}.;When casting skill{burst:Great Secret Art: Tenko Kenshin}, each name{Sesshou Sakura} destroyed resets the cooldown for 1 charge of skill{skill:Yakan Evocation: Sesshou Sakura}.
talent_name;yae_miko_enlightened_blessing;Просветлённое благословение;Enlightened Blessing
talent_descr;yae_miko_enlightened_blessing;Каждая единица name{мастерства стихий} name{Яэ Мико} увеличивает урон skill{skill:Сакуры сэссё} на %{text_percent|0|2}.;Every point of name{Elemental Mastery} name{Yae Miko} possesses will increase skill{skill:Sesshou Sakura} DMG by %{text_percent|0|2}.
talent_name;yae_miko_yakan_offering;Подношения яко;Yakan Offering
talent_descr;yae_miko_yakan_offering;При каждой активации удара молнии name{Небесной кицунэ} навыком skill{burst:Великое тайное искусство: Тэнко кэнсин} name{Яэ Мико} восстанавливает себе 8 ед. name{элементальной энергии}.;Each time skill{burst:Great Secret Art: Tenko Kenshin} activates a name{Tenko Thunderbolt}, name{Yae Miko} will restore 8 name{Elemental Energy} for herself.
talent_name;yae_miko_foxs_mooncall;Лунный зов лисы;Fox's Mooncall
talent_descr;yae_miko_foxs_mooncall;skill{skill:Сакура сэссё} создаётся уже 2-го уровня. Максимальный уровень повышен до 4, а радиус её атак увеличен на %{text_percent}.;skill{skill:Sesshou Sakura} start at Level 2 when created, their max level is increased to 4, and their attack range is increased by %{text_percent}.
talent_name;yae_miko_the_seven_glamours;Семь чудесных превращений;The Seven Glamours
talent_name;yae_miko_sakura_channeling;Молния алой вишни;Sakura Channeling
