category;name;rus;eng
char_name;yanfei;Янь Фэй;Yanfei
talent_name;yanfei_done_deal;По рукам;Done Deal
talent_descr;yanfei_done_deal;<p>Вызывает яростный поток огня, который бьёт окружающих врагов, нанося pyro{Пиро урон по площади}. Также даёт Янь Фэй максимальное количество Багровых печатей и эффект Блеска.<br>name{Блеск}<br>Имеет следующие эффекты:<br>· Периодически даёт Янь Фэй одну Багровую печать.<br>· Увеличивает урон заряженной атаки.<br>Эффект Блеска пропадает, если Янь Фэй покидает поле боя или погибает.</p><p><i>«Условия ясны, договор о жизни и смерти заключён. Ты умрёшь - я буду жить!»</i></p>;"<p>Triggers a spray of intense flames that rush at nearby opponents, dealing pyro{AoE Pyro DMG}, granting Yanfei the maximum number of Scarlet Seals, and applying Brilliance to her.</p><p>name{Brilliance}<br>Has the following effects:<br>·Grants Yanfei a Scarlet Seal at fixed intervals.<br>·Increases the DMG dealt by her Charged Attacks.<br>The effects of Brilliance will end if Yanfei leaves the field or falls in battle.</p><p><i>""Here are the full terms for this matter of life and death — by which I mean my life and your death!""</i></p>"
talent_name;yanfei_seal_of_approval;Печать одобрения;Seal of Approval
talent_descr;yanfei_seal_of_approval;<p>name{Обычная атака:}<br>Запускает до трёх огненных шаров, которые наносят pyro{Пиро урон}.<br>Когда обычная атака попадает по врагу, Янь Фэй получает одну Багровую печать. Изначально может иметь максимум три печати. При каждой активации длительность уже имеющихся Багровых печатей обновляется.<br>Каждая Багровая печать снижает потребление выносливости Янь Фэй. Печати исчезают при смене персонажа.</p><p>name{Заряженная атака:}<br>После прочтения краткого заклинания тратит некоторое количество выносливости и все Багровые печати, нанося pyro{Пиро урон по площади} перед собой.<br>Чем больше потрачено Багровых печатей, тем больше урон и радиус заряженной атаки.</p><p>name{Атака в падении:}<br>Накопив энергию огня, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит pyro{Пиро урон по площади}.</p>;<p>name{Normal Attack}<br>Shoots fireballs that deal up to three counts of pyro{Pyro DMG}.<br>When Yanfei's Normal Attacks hit enemies, they will grant her a single Scarlet Seal. Yanfei may possess a maximum of 3 Scarlet Seals, and each time this effect is triggered, the duration of currently possessed Scarlet Seals will refresh.<br>Each Scarlet Seal will decrease Yanfei's Stamina consumption and will disappear when she leaves the field.</p><p>name{Charged Attack}<br>Consumes Stamina and all Scarlet Seals before dealing pyro{AoE Pyro DMG} to opponents after a short casting time.<br>This Charged Attack's AoE and DMG will increase according to the amount of Scarlet Seals consumed.</p><p>name{Plunging Attack}<br>Gathering the power of Pyro, Yanfei plunges towards the ground from mid-air, damaging all opponents in her path. Deals pyro{AoE Pyro DMG} upon impact with the ground.</p>
talent_name;yanfei_signed_edict;Подписанный указ;Signed Edict
talent_descr;yanfei_signed_edict;<p>Призывает языки пламени, которые наносят pyro{Пиро урон по площади}.<br>При попадании по врагу даёт Янь Фэй максимальное количество Багровых печатей.</p><p><i>Печать, нанесённая огнём, имеет не только юридическую силу, но и накладывает дополнительные условия от самой Янь Фэй. Ведь законы природы не изменить, опираясь лишь на авторитет Департамента по делам граждан.</i></p>;<p>Summons blistering flames that deal pyro{AoE Pyro DMG}.<br>Opponents hit by the flames will grant Yanfei the maximum number of Scarlet Seals.</p><p><i>Apart from their legal uses, Yanfei's seals also come with her customized additional terms and conditions. Well, it's not as if the Ministry of Civil Affairs can change the laws of nature.</i></p>
talent_name;yanfei_proviso;Оговорка;Proviso
talent_descr;yanfei_proviso;Когда name{заряженная атака} name{Янь Фэй} потребляет name{Багровые печати}, каждая потраченная печать увеличивает бонус pyro{Пиро урона} на %{text_percent_dmg}, эффект длится 6 сек. Если во время действия эффекта снова используется name{заряженная атака}, то она снимает предыдущий эффект.;When name{Yanfei} consumes name{Scarlet Seals} by using a name{Charged Attack}, each name{Scarlet Seal} will increase name{Yanfei}'s pyro{Pyro DMG Bonus} by %{text_percent_dmg}. This effect lasts for 6s. When a name{Charged Attack} is used again during the effect's duration, it will dispel the previous effect.
talent_name;yanfei_blazing_eye;Пламенный взгляд;Blazing Eye
