category;name;rus;eng
char_name;yaoyao;Яо Яо;Yaoyao
talent_name;yaoyao_toss_n_turn_spear;Вращающееся копьё;Toss 'N' Turn Spear
talent_descr;yaoyao_toss_n_turn_spear;<p>name{Обычная атака:}<br>До четырёх ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;yaoyao_radish_dmg;Урон Редьки белого нефрита;White Jade Radish DMG
feature_skill;yaoyao_radish_heal;Лечение Редьки белого нефрита;White Jade Radish Healing
feature_skill;yaoyao_throw_duration;Длительность Бросающего Юэгуя;Yuegui: Throwing Mode Duration
feature_skill;yaoyao_radish_duration;Длительность Редьки белого нефрита;White Jade Radish Duration
talent_name;yaoyao_raphanus_sky_cluster;Небесное скопление редьки;Raphanus Sky Cluster
talent_descr;yaoyao_raphanus_sky_cluster;<p>Призывает на поле боя Бросающего Юэгуя - особый механизм, изобретение некоего Адепта, которое помогает name{Яо Яо} справиться с неприятностями.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление бросков.</p><p>name{Бросающий Юэгуй}<br>Бросает name{Редьку белого нефрита}, которая при попадании в противников или персонажей взрывается, нанося противникам в определённой области dendro{Дендро урон} и восстанавливая name{HP} персонажам в этой же области пропорционально name{макс. HP} name{Яо Яо}. Если name{Редька белого нефрита} не попадает в противника или персонажа, она остаётся на месте попадания и взрывается, если её коснётся персонаж или противник или истечёт время её действия.<br>Цели для Редьки из белого нефрита выбираются в соответствии с обстановкой поблизости:<br>· Если у всех персонажей рядом более 70% name{HP}, целью для бросков станет ближайший противник.<br>· Если у персонажей рядом 70% name{HP} или менее, в качестве цели будет выбран персонаж рядом с наименьшим количеством name{HP}. Если количество name{HP} персонажей выше 70%, но ниже 100%, а противников рядом нет, броски также совершаются в персонажей. В противном случае броски совершаются в случайном направлении.</p><p>Одновременно может существовать не более 2 Бросающих Юэгуев.</p><p><i>«Врач без дела остаётся, если редька продаётся! Нет, всех болезней редька не лечит, но есть её полезно, это факт!»</i></p>;"<p>Calls upon ""name{Yuegui: Throwing Mode},"" a special device created by a certain adeptus to help name{Yaoyao} solve her problems.<br>This skill will be used differently in Holding Mode.</p><p>name{Hold}<br>Enters Aiming Mode to adjust the throw direction.</p><p>name{Yuegui: Throwing Mode}<br>Throws out name{White Jade Radishes} that will explode upon hitting characters or opponents, dealing dendro{Dendro DMG} to opponents within a certain AoE, and healing characters within that same AoE based on name{Yaoyao}'s name{Max HP}. If a radish does not hit either an opponent or a character, the radish will remain where it is and explode on contact with a character or opponent, or will explode after its duration expires.<br>name{Yuegui: Throwing Mode} will choose its radish-throw targets.<br>·If all nearby characters have more than 70% name{HP} remaining, then it will throw the radish at a nearby opponent.<br>·If nearby characters have 70% or less name{HP} remaining, it will throw a radish at the character with the lowest name{HP} percentage remaining. If no opponents exist nearby, Yuegui will also throw name{White Jade Radishes} at characters if they all have more than 70% name{HP} and less than 100% name{HP} remaining. Otherwise, it will throw radishes into the area at random.</p><p>A maximum of 2 instances of name{Yuegui: Throwing Mode} can exist at any one time.</p><p><i>""A radish a day keeps trouble away! ... Oh, this isn't about a radish's medical properties, exactly, but it does have some health benefits, yeah!""</i></p>"
feature_burst;yaoyao_white_radish_dmg;Урон Редьки белого нефрита Наследия Адептов;Adeptal Legacy White Jade Radish DMG
