category;name;rus;eng
char_name;yelan;Е Лань;Yelan
feature_attack;yelan_breakthrough_barb_dmg;Урон Прорывной стрелы;Breakthrough Barb DMG
talent_name;yelan_stealthy_bowshot;Незаметная стрела;Stealthy Bowshot
talent_descr;yelan_stealthy_bowshot;<p>name{Обычная атака}<br>До четырёх выстрелов из лука подряд.</p><p>name{Заряженная атака}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается водным потоком. Полностью заряженная стрела наносит hydro{Гидро урон}.<br>name{Прорыв}<br>Через 5 сек. вне боя name{Е Лань} входит в состояние Прорыва, которое сокращает время зарядки её следующего полностью заряженного прицельного выстрела на 80%. После полной зарядки она выстрелит Прорывной стрелой, которая наносит hydro{Гидро урон по площади}, зависящий от name{макс. HP} name{Е Лань}.</p><p>name{Атака в падении}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят name{урон по площади}.</p>;"<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, flowing water will accumulate on the arrowhead. A fully charged torrential arrow will deal hydro{Hydro DMG}.</p><p>name{Breakthrough}<br>name{Yelan} will enter a ""Breakthrough"" state after spending 5s out of combat, which will cause her next name{Charged} Aimed Shot to have 80% decreased charge time, and once charged, she can fire a ""Breakthrough Barb"" that will deal hydro{AoE Hydro DMG} based on name{Yelan}'s name{Max HP}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>"
feature_skill;yelan_max_duration_hold;Макс. длительность долгого нажатия;Max Duration (Hold)
talent_name;yelan_lingering_lifeline;Переплетённая нить жизни;Lingering Lifeline
talent_descr;yelan_lingering_lifeline;<p>Быстро движется, опутывая и отмечая противников по пути Нитью жизни.<br>После окончания движения Нить жизни взрывается, нанося отмеченным противникам hydro{Гидро урон}, который зависит от name{макс. HP} name{Е Лань}. </p><p>name{Быстрое нажатие}<br>Быстро продвигается вперёд на определённое расстояние.</p><p>name{Долгое нажатие}<br>Стремительно движется некоторое время, а её сопротивление прерыванию в этом состоянии повышается.<br>name{Е Лань} может контролировать направление движения. При повторном использовании навыка движение прекращается.</p><p>Каждый противник, отмеченный Нитью жизни, даёт name{Е Лань} 34% шанс на получение Прорыва при взрыве.</p><p><i>Только когда она начинает дёргать за ниточки, коварные злодеи и подлые разбойники понимают, что спасения нет.</i></p>;<p>Fires off a name{Lifeline} that allows her to move rapidly, entangling and marking opponents along its path.<br>When this rapid movement ends, the name{Lifeline} will explode, dealing hydro{Hydro DMG} to the marked opponents based on name{Yelan}'s name{Max HP}.</p><p>name{Tap}<br>Moves a certain distance forward swiftly.</p><p>name{Hold}<br>Engages in continuous, swift movement, during which name{Yelan}'s resistance to interruption is increased.<br>During this time, name{Yelan} can control this rapid movement and end it by using this Skill again.</p><p>Additionally, each opponent marked by the name{Lifeline} when it explodes grants name{Yelan} a 34% chance to reset her Breakthrough state.</p><p><i>Not until she begins to tug on the strings do evildoers, crooks, and scheming villains alike know that there is no escape.</i></p>
feature_burst;yelan_exquisite_throw_dmg;Урон Изысканного броска;Exquisite Throw DMG
talent_name;yelan_depth_clarion_dice;Изысканные игральные кости;Depth-Clarion Dice
talent_descr;yelan_depth_clarion_dice;"<p>Наносит hydro{Гидро урон по площади} и создаёт Изысканный бросок, который помогает в битве. </p><p>name{Изысканный бросок}<br>Следует за персонажем и при совместной атаке наносит hydro{Гидро урон}, зависящий от name{макс. HP} name{Е Лань}. Совершает совместную атаку в следующих ситуациях:<br>· когда собственный активный персонаж совершает name{обычную атаку}. Может возникать раз в секунду;<br>· когда собственная Нить жизни name{Е Лань} взрывается и попадает по противнику.</p><p><i>«Зависимость от азартных игр не приведёт ни к чему хорошему. Давай я поясню тебе расклад? Как думаешь, каковы твои шансы победить, когда у меня семь игральных кубиков, а у тебя только один?»</i></p>";"<p>Deals hydro{AoE Hydro DMG} and creates an ""name{Exquisite Throw},"" which aids her in battle.</p><p>name{Exquisite Throw}<br>Follows the character around and will initiate a coordinated attack under the following circumstances, dealing hydro{Hydro DMG} based on name{Yelan}'s name{Max HP}:<br>·Can occur once every second when your active character uses a name{Normal Attack}.<br>·Will occur each time name{Yelan}'s name{Lifeline} explodes and hits opponents.</p><p><i>""A gambling addiction is going to do you no good. I mean, let me just do the math for you as the dealer. What do you think your odds of beating me are, when I have seven dice and you, only one?""</i></p>"
talent_name;yelan_turn_control;Перехват инициативы;Turn Control
talent_descr;yelan_turn_control;Если в отряде format{text_number=1|1}/format{text_number=2|2}/format{text_number=3|3}/format{text_number=4|4} типа элементов, name{макс. HP} name{Е Лань} увеличивается на format{text_number=1|6}/format{text_number=2|12}/format{text_number=3|18}/format{text_number=4|30}% соответственно.;When the party has format{text_number=1|1}/format{text_number=2|2}/format{text_number=3|3}/format{text_number=4|4} Elemental Types, name{Yelan}'s name{Max HP} is increased by format{text_number=1|6}/format{text_number=2|12}/format{text_number=3|18}/format{text_number=4|30}%.
talent_name;yelan_adapt_with_ease;Лёгкая приспособляемость;Adapt With Ease
talent_descr;yelan_adapt_with_ease;Пока активен skill{burst:Изысканный бросок}, урон, наносимый своим активным персонажем, увеличивается на value{1%} и продолжает увеличиваться на value{3,5%} каждую сек. Максимальное увеличение наносимого урона - 50%.<br>Повторная активация name{Изысканных игральных костей} во время действия эффекта прервёт его.;So long as an skill{burst:Exquisite Throw} is in play, your own active character deals value{1%} more DMG. This increases by a further value{3.5%} DMG every second. The maximum increase to DMG dealt is 50%.<br>The pre-existing effect will be dispelled if name{Depth-Clarion Dice} is recast during its duration.
talent_name;yelan_enter_the_plotters;Игра с мошенниками;Enter the Plotters
talent_descr;yelan_enter_the_plotters;Увеличивает количество зарядов навыка skill{skill:Переплетённая нить жизни} на 1.;skill{skill:Lingering Lifeline} gains 1 additional charge.
talent_name;yelan_taking_all_comers;Принимаем всех желающих;Taking All Comers
talent_descr;yelan_taking_all_comers;Когда skill{burst:Изысканный бросок} проводит совместную атаку, то запускает дополнительную водяную стрелу, которая наносит hydro{Гидро урон} в %{text_percent} name{макс. HP} name{Е Лань}.<br>Эффект может возникнуть один раз в 1,8 сек.;When skill{burst:Exquisite Throw} conducts a coordinated attack, it will fire an additional water arrow that will deal %{text_percent} of name{Yelan}'s name{Max HP} as hydro{Hydro DMG}.<br>This effect can trigger once every 1.8s.
talent_name;yelan_beware_the_tricksters_dice;Остерегайся мошенников;Beware the Trickster's Dice
talent_name;yelan_bait_and_switch;Заманить и подменить;Bait-and-Switch
talent_descr;yelan_bait_and_switch;После взрыва skill{skill:Нити жизни} на 25 сек. увеличивает name{макс. HP} всех членов отряда на %{hp_percent} за каждого противника, отмеченного ею. Максимальное увеличение name{HP} - %{text_percent_max}.;Increases all party members' name{Max HP} by %{hp_percent} for 25s for every opponent marked by skill{skill:Lifeline} when the name{Lifeline} explodes. A maximum increase of %{text_percent_max} name{Max HP} can be attained in this manner.
talent_name;yelan_dealers_sleight;Ловкость дилера;Dealer's Sleight
talent_name;yelan_winner_takes_all;Победитель получает всё;Winner Takes All
talent_descr;yelan_winner_takes_all;После использования навыка skill{burst:Изысканные игральные кости} name{Е Лань} войдёт в состояние name{Стратега}.<br>В этом состоянии все name{обычные атаки} name{Е Лань} становятся особыми name{Прорывными стрелами}. Эти стрелы обладают схожими характеристиками с обычными name{Прорывными стрелами}, наносимый ими урон считается уроном name{заряженной атаки} и составляет %{text_percent} от обычного урона name{Прорывных стрел}.<br>Состояние name{Стратега} исчезнет через 20 сек. или после 5 выпущенных стрел.;After using skill{burst:Depth-Clarion Dice}, name{Yelan} will enter the name{Mastermind} state.<br>In this state, all of name{Yelan}'s name{Normal Attacks} will be special name{Breakthrough Barbs}. These name{Breakthrough Barbs} will have similar abilities to normal ones and the DMG dealt will be considered name{Charged Attack DMG}, dealing %{text_percent} of a normal Breakthrough Barb's DMG.<br>The name{Mastermind} state lasts 20s and will be cleared after name{Yelan} fires 5 arrows.
