category;name;rus;eng
char_name;yoimiya;Ёимия;Yoimiya
feature_attack;yoimiya_kindling_arrow_dmg;Урон зажигательной стрелы;Kindling Arrow DMG
talent_name;yoimiya_firework_flare_up;Вспышка фейерверка;Firework Flare-Up
talent_descr;yoimiya_firework_flare_up;<p>name{Обычная атака:}<br>До пяти выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания на наконечнике стрелы накапливается пламя. Эффект зависит от длительности заряда стрелы:<br>· Уровень заряда 1: Выпускает огненную стрелу, наносящую pyro{Пиро урон}.<br>· Уровень заряда 2: В зависимости от длительности заряда выпускает до 3 Зажигательных стрел. name{Зажигательные стрелы} самостоятельно находят ближайшую цель и при попадании наносят pyro{Пиро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел, которые при приземлении персонажа наносят name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, flames will accumulate on the arrowhead before being fired off as an attack. Has different effects based on how long the energy has been charged:<br>·Charge Level 1: Fires off a flaming arrow that deals pyro{Pyro DMG}.<br>·Charge Level 2: Generates a maximum of 3 name{Kindling Arrows} based on time spent charging, releasing them as part of this Aimed Shot. name{Kindling Arrows} will home in on nearby opponents, dealing pyro{Pyro DMG} on hit.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing name{AoE DMG} upon impact.</p>
feature_skill;yoimiya_blazing_arrow_dmg;Урон зажигательной стрелы;Blazing Arrow DMG
talent_name;yoimiya_niwabi_fire_dance_1;Огненный танец Ниваби;Niwabi Fire-Dance
talent_name;yoimiya_niwabi_fire_dance_2;name{Ниваби энсё};name{Niwabi Enshou}
talent_descr;yoimiya_niwabi_fire_dance_1;<p>name{Ёимия} взмахивает ниваби и окружает себя кольцом горящей селитры.</p><p>name{Ниваби энсё}<br>Пока навык активен, стрелы, выпущенные name{обычной атакой} name{Ёимии}, становятся name{Зажигательными стрелами}, а их урон увеличивается и конвертируется в pyro{Пиро урон}. Однако второй уровень заряда name{обычной атаки} name{Вспышка фейерверка} не будет генерировать name{Зажигательные стрелы}.</p><p>Этот эффект перестаёт действовать, когда name{Ёимия} покидает бой.</p><p><i>Ниваби - это особый вид фейерверка с благовониями, который придумала сама name{Ёимия}. Хитом продаж его сделало то, насколько легко его использовать без предварительной подготовки и каких-либо знаний. После множества случаев непредумышленных поджогов комиссия Тэнрё приказала запретить ниваби, но в ночи всё равно часто можно увидеть искрящиеся огоньки. Если смотреть с высоты, они похожи на мерцающие звёздочки.</i></p>;"<p>name{Yoimiya} waves a sparkler and causes a ring of saltpeter to surround her.</p><p>name{Niwabi Enshou}<br>During this time, arrows fired by name{Yoimiya}'s name{Normal Attack} will be name{Blazing Arrows}, and their DMG will be increased and converted to pyro{Pyro DMG}. During this time, name{Normal Attack}: name{Firework Flare-Up} will not generate name{Kindling Arrows} at Charge Level 2.</p><p>This effect will deactivate when name{Yoimiya} leaves the field.</p><p><i>""Niwabi"" is a form of incense firework created by name{Yoimiya} herself. Its ability to be lit without any prior training or preparation has made it a real hit. After many fire-related incidents, the Tenryou Commission ordered the use of ""Niwabi"" banned, but small, bright sparks can often still be seen springing up at night. If seen from above, they look almost like little twinkling stars.</i></p>"
talent_descr;yoimiya_niwabi_fire_dance_2;Пока навык активен, стрелы, выпущенные name{обычной атакой} name{Ёимии}, становятся name{Зажигательными стрелами}, а их урон увеличивается и конвертируется в pyro{Пиро урон}. Однако второй уровень заряда name{обычной атаки} name{Вспышка фейерверка} не будет генерировать name{Зажигательные стрелы}.<br>Этот эффект перестаёт действовать, когда name{Ёимия} покидает бой.;During this time, arrows fired by name{Yoimiya}'s name{Normal Attack} will be name{Blazing Arrows}, and their DMG will be increased and converted to pyro{Pyro DMG}. During this time, name{Normal Attack}: name{Firework Flare-Up} will not generate name{Kindling Arrows} at Charge Level 2.<br>This effect will deactivate when name{Yoimiya} leaves the field.
feature_burst;yoimiya_aurous_blaze_dmg;Урон взрыва золотого сияния;Aurous Blaze Explosion DMG
talent_name;yoimiya_ryuukin_saxifrage;Камнеломка Рюкин;Ryuukin Saxifrage
