category;name;rus;eng
char_name;yumemizuki_mizuki;Мидзуки;Yumemizuki Mizuki
talent_name;yumemizuki_mizuki_pure_heart_pure_dreams;Чистое сердце, чистые сны;Pure Heart, Pure Dreams
talent_descr;yumemizuki_mizuki_pure_heart_pure_dreams;<p>name{Обычная атака:}<br>До трёх ударов, наносящих anemo{Анемо урон}.</p><p>name{Заряженная атака:}<br>Короткое заклинание, наносящее anemo{Анемо урон по площади}, на которое тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Взывая к силе ветра, стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит anemo{Анемо урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 3 attacks, dealing anemo{Anemo DMG}.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina and deals anemo{AoE Anemo DMG} after a short casting time.</p><p>name{Plunging Attack}<br>Calling upon the power of Anemo, she plunges towards the ground from mid-air, damaging all opponents in her path. Deals anemo{AoE Anemo DMG} upon impact with the ground.</p>
feature_skill;yumemizuki_mizuki_continuous_attack_dmg;Урон периодической атаки;Continuous Attack DMG
feature_skill;yumemizuki_mizuki_dreamdrifter_duration;Длительность Парящей по сновидениям;Dreamdrifter Duration
feature_skill;yumemizuki_mizuki_elemental_mastery_based_swirl_dmg_increase;Увеличение урона Рассеивания пропорционально мастерству стихий;Elemental Mastery-Based Swirl DMG Increase
feature_skill;yumemizuki_mizuki_elemental_mastery_based_stellar_swirl_dmg_increase;Увеличение урона Звёздного рассеивания пропорционально мастерству стихий;Elemental Mastery-Based Stellar Swirl DMG Increase
talent_name;yumemizuki_mizuki_aisa_utamakura_pilgrimage_1;Паломничество аиса утамакура;Aisa Utamakura Pilgrimage
talent_name;yumemizuki_mizuki_aisa_utamakura_pilgrimage_2;name{Парящая по сновидениям};name{Dreamdrifter}
talent_descr;yumemizuki_mizuki_aisa_utamakura_pilgrimage_1;<p>Плетя воспоминания о прекрасных снах, входит в состояние name{Парящей по сновидениям}, в котором она парит над землёй, и один раз наносит anemo{Анемо урон по площади} врагам поблизости.</p><p>name{Парящая по сновидениям}<br>· Пребывая в состоянии name{Парящей по сновидениям}, name{Юмэмидзуки Мидзуки} постоянно парит вперёд и периодически наносит врагам поблизости anemo{Анемо урон по площади}.<br>· В это время name{Юмэмидзуки Мидзуки} может управлять направлением парения, а расстояние сбора name{Закусок в стиле юмэми} name{взрыва стихии} name{Терапия тайных источников анраку} увеличивается.<br>· Урон реакций anemo{Рассеивание} и stcond{Звёздное рассеивание}, активируемых членами отряда поблизости, повышается пропорционально name{мастерству стихий} name{Юмэмидзуки Мидзуки}.<br>· Состояние name{Парящей по сновидениям} завершается, когда name{Мидзуки} покидает поле боя, или навык используется повторно.</p><p><i>«В полночь соприкасаются наши сны, их песнь доносится до тайников наших сердец».</i></p>;"<p>Weaves memories of lovely dreams, entering a name{Dreamdrifter} state where name{Yumemizuki Mizuki} floats above the ground, and dealing 1 instance of anemo{AoE Anemo DMG} to nearby opponents.</p><p>name{Dreamdrifter}<br>· While in the name{Dreamdrifter} state, name{Yumemizuki Mizuki} will continuously drift forward, dealing anemo{AoE Anemo DMG} to nearby opponents at regular intervals.<br>· During this time, name{Yumemizuki Mizuki} can control her direction of drift, and the pick-up distance of name{Yumemi Style Special Snacks} from the name{Elemental Burst} name{Anraku Secret Spring Therapy} will be increased.<br>· Increases the anemo{Swirl} DMG and stcond{Stellar Swirl} reaction DMG that nearby party members deal based on name{Yumemizuki Mizuki}'s name{Elemental Mastery}.<br>· name{Dreamdrifter} will end when name{Mizuki} leaves the field or uses her name{Elemental Skill} again.</p><p><i>""Our dreams touch at midnight, their song ringing on in our hearts.""</i></p>"
talent_descr;yumemizuki_mizuki_aisa_utamakura_pilgrimage_2;<p>Урон реакций anemo{Рассеивание} и stcond{Звёздное рассеивание}, активируемых членами отряда поблизости, повышается пропорционально name{мастерству стихий} name{Юмэмидзуки Мидзуки}.</p>;<p>Increases the anemo{Swirl} DMG and stcond{Stellar Swirl} reaction DMG that nearby party members deal based on name{Yumemizuki Mizuki}'s name{Elemental Mastery}.</p>
feature_burst;yumemizuki_mizuki_munen_shockwave_dmg;Урон ударной волны Мунэн;Munen Shockwave DMG
feature_burst;yumemizuki_mizuki_snack_pick_up_hp_regeneration;Восстановление HP после подбора закуски;Snack Pick-Up HP Regeneration
talent_name;yumemizuki_mizuki_anraku_secret_spring_therapy;Терапия тайных источников анраку;Anraku Secret Spring Therapy
talent_descr;yumemizuki_mizuki_anraku_secret_spring_therapy;"<p>Призывает бесчисленные прекрасные сны и кошмары, которые затягивают предметы и врагов поблизости, наносит anemo{Анемо урон по площади} и призывает мини-баку.</p><p>name{Мини-баку}<br>Следует за активным персонажем. Периодически мини-баку создаёт рядом 1 name{Закуску в стиле юмэми}. Если name{Закуску в стиле юмэми} подберёт персонаж из вашего отряда с name{HP} выше 70%, она взорвётся и выпустит Волну мунэн, один раз нанося врагам поблизости anemo{Анемо урон по площади}. В противном случае подобравший её восстанавливает name{HP} пропорционально name{мастерству стихий} name{Юмэмидзуки Мидзуки}. Когда name{Юмэмидзуки Мидзуки} подбирает name{Закуску в стиле юмэми} и активирует лечение, объём лечения повышается на 100%. Если name{Закуску в стиле юмэми} не подобрать в течение некоторого времени, она взорвётся и выпустит Волну мунэн, один раз нанося врагам поблизости anemo{Анемо урон по площади}.</p><p><i>«Если хоронить в себе мрачные чувства слишком долго, то они станут кошмарами. Тогда почему бы не воспользоваться случаем и не превратить их во ""вкусные закуски""»?</i></p>";"<p>Summons forth countless lovely dreams and nightmares that pull in nearby objects and opponents, dealing anemo{AoE Anemo DMG} and summoning a Mini Baku.</p><p>name{Mini Baku:}<br>Follows the current active character. At regular intervals, the Mini Baku will create 1 Yumemi Style Special Snack nearby. After one of your own party members picks up a Special Snack, if their name{HP} is higher than 70%, the Snack will explode and unleash a Munen Shockwave, dealing 1 instance of anemo{AoE Anemo DMG} to nearby opponents. Otherwise, it will heal the character who picked it up based on name{Yumemizuki Mizuki}'s name{Elemental Mastery}. When name{Yumemizuki Mizuki} triggers healing by picking up a Yumemi Style Special Snack, the amount of healing is increased by 100%. If a Snack is not picked up after a period of time, it will explode and release a Munen Shockwave, dealing 1 instance of anemo{AoE Anemo DMG} to surrounding opponents.</p><p><i>""If you bury dark emotions for too long, they will become nightmares. With that in mind, why don't we turn them into 'delicious snacks' while we've got the time?""</i></p>"
talent_name;yumemizuki_mizuki_bright_moons_restless_voice;Беспокойный голос яркой луны;Bright Moon's Restless Voice
talent_descr;yumemizuki_mizuki_bright_moons_restless_voice;<p>Когда name{Юмэмидзуки Мидзуки} вызывает anemo{Рассеивание} или stcond{Звёздное рассеивание}, пребывая в состоянии name{Парящей по сновидениям}, длительность состояния увеличивается на 2,5 сек. Этот эффект может возникнуть один раз в 0,3 сек. и до 2 раз в течение одного состояния name{Парящей по сновидениям}.</p>;<p>When name{Yumemizuki Mizuki} triggers a anemo{Swirl} or stcond{Stellar Swirl} reaction while in her name{Dreamdrifter} state, name{Dreamdrifter}'s duration increases by 2.5s. This effect can trigger once every 0.3s for a maximum of 2 times per name{Dreamdrifter} state.</p>
talent_name;yumemizuki_mizuki_thoughts_by_day_bring_dreams_by_night;На уме днём, в сновидениях ночью;Thoughts by Day Bring Dreams by Night
talent_descr;yumemizuki_mizuki_thoughts_by_day_bring_dreams_by_night;<p>Когда pyro{Пиро}, hydro{Гидро}, cryo{Крио} или electro{Электро} атаки других персонажей отряда поблизости поражают противников, а name{Юмэмидзуки Мидзуки} при этом пребывает в состоянии name{Парящей по сновидениям}, то её name{мастерство стихий} повышается на %{mastery} ед. на 4 сек.</p>;<p>While name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, when other nearby party members hit opponents with pyro{Pyro}, hydro{Hydro}, cryo{Cryo}, or electro{Electro} attacks, her name{Elemental Mastery} will increase by %{mastery} for 4s.</p>
talent_name;yumemizuki_mizuki_vast_be_the_dream;Да будет сон безграничным;Vast Be the Dream
talent_descr;yumemizuki_mizuki_vast_be_the_dream_1;<p>После того как name{Мидзуки} в состоянии name{Парящей по сновидениям} вызывает anemo{Рассеивание} или stcond{Звёздное рассеивание}, урон следующей фазы периодического anemo{Анемо урона} по площади, наносимого противникам поблизости во время текущего состояния name{Парящей по сновидениям}, повышается на value{1000%} от её name{мастерства стихий}. Эффект может возникнуть один раз в 2,5 сек.<br>skill{Сияние - Звёздное рассеивание}: когда name{Юмэмидзуки Мидзуки} наносит врагу вышеописанный усиленный anemo{Анемо урона} по площади, то она также один раз дополнительно наносит anemo{Анемо урон}, равный value{1000%} от своего name{мастерства стихий}. Такой урон считается уроном реакции stcond{Звёздное рассеивание}.</p><p>Когда Кроме того, когда name{Мидзуки} находится в состоянии name{Парящей по сновидениям}, name{мастерство стихий} персонажей отряда поблизости повышается на value{10%} от её name{мастерства стихий}.<br>На 8 сек. после того как персонажи отряда поблизости активируют stcond{Звёздное рассеивание}, name{Юмэмидзуки Мидзуки} входит в состояние skill{Сияния - Звёздное рассеивание}.</p>;<p>When name{Yumemizuki Mizuki} triggers a anemo{Swirl} or stcond{Stellar Swirl} reaction while in the name{Dreamdrifter} state, the next instance of periodic AoE anemo{Anemo DMG} she deals to nearby enemies during that same state will be increased by value{1,000%} of her name{Elemental Mastery}. The aforementioned effect can trigger once every 2.5s.<br>skill{Radiance: Stellar Swirl}: When name{Yumemizuki Mizuki} deals to an opponent the above enhanced AoE anemo{Anemo DMG}, she will also deal an additional instance of anemo{Anemo DMG} at value{1,000%} of her name{Elemental Mastery}. This DMG is considered stcond{Stellar Swirl} reaction DMG.</p><p>While Additionally, while name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, the name{Elemental Mastery} of nearby party characters is also increased by value{10%} of her name{Elemental Mastery}.<br>name{Yumemizuki Mizuki} will also enter the skill{Radiance: Stellar Swirl} state for 8s when a nearby party member triggers a stcond{Stellar Swirl} reaction.</p>
talent_descr;yumemizuki_mizuki_vast_be_the_dream_2;<p>Когда name{Мидзуки} находится в состоянии name{Парящей по сновидениям}, name{мастерство стихий} персонажей отряда поблизости повышается на value{10%} от её name{мастерства стихий}.</p>;<p>While name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, the name{Elemental Mastery} of nearby party characters is also increased by value{10%} of her name{Elemental Mastery}.</p>
talent_name;yumemizuki_mizuki_in_mist_like_waters;В туманных водах;In Mist-Like Waters
talent_descr;yumemizuki_mizuki_in_mist_like_waters;<p>Когда name{Юмэмидзуки Мидзуки} пребывает в состоянии name{Парящей по сновидениям}, на 3 сек. она каждые 3,5 сек. накладывает на врагов поблизости эффект name{Двадцать три ночи ожидания}. Когда враг под воздействием эффекта name{Двадцать три ночи ожидания} получает anemo{Анемо урон}, который активирует anemo{Рассеивание} или stcond{Звёздное рассеивание}, эффект снимается, а урон данного anemo{Рассеивания} или stcond{Звёздного рассеивания} по этому противнику повышается на value{1100%}/value{550%} от name{мастерства стихий} name{Мидзуки} соответственно.</p>;"<p>When name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, she will continuously apply the ""name{Twenty-Three Nights' Awaiting}"" effect to nearby opponents for 3s every 3.5s. When an opponent has a anemo{Swirl} or stcond{Stellar Swirl} reaction triggered against them by anemo{Anemo DMG} while the aforementioned effect is active, the effect will be canceled, and this anemo{Swirl} or stcond{Stellar Swirl} instance deals DMG against this opponent increased by value{1,100%} and value{550%} of name{Mizuki}'s name{Elemental Mastery}, respectively.</p>"
talent_descr;yumemizuki_mizuki_in_mist_like_waters_hex;<p>Пока name{Юмэмидзуки Мидзуки} пребывает в состоянии name{Парящей по сновидениям}, она раз в 3,5 сек. накладывает на врагов поблизости эффект name{Двадцать три ночи ожидания}, который длится 3 секунды. Когда враг под воздействием эффекта name{Двадцать три ночи ожидания} получает anemo{Анемо урон}, который активирует anemo{Рассеивание} или stcond{Звёздное рассеивание}, эффект снимается, а урон данного anemo{Рассеивания} или stcond{Звёздного рассеивания} по этому противнику повышается на value{1100%}/value{550%} от name{мастерства стихий} name{Мидзуки} соответственно. Она также дополнительно атакует того же врага, нанося anemo{Анемо урон}, равный value{1000%} от name{мастерства стихий} name{Мидзуки}.<br>skill{Сияние - Звёздное рассеивание}: вышеописанный дополнительный урон преобразуется в anemo{Анемо урон}, равный value{400%} от name{мастерства стихий} name{Юмэмидзуки Мидзуки}. Такой урон считается уроном реакции stcond{Звёздное рассеивание}.</p>;"<p>When name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, she will continuously apply the ""name{Twenty-Three Nights' Awaiting}"" effect to nearby opponents for 3s every 3.5s. When an opponent has a anemo{Swirl} or stcond{Stellar Swirl} reaction triggered against them by anemo{Anemo DMG} while the aforementioned effect is active, the effect will be canceled, and this anemo{Swirl} or stcond{Stellar Swirl} instance has its DMG against this opponent increased by value{1,100%} and value{550%} of name{Mizuki}'s name{Elemental Mastery} respectively. She also launches an additional attack on the same opponent, dealing anemo{Anemo DMG} at value{1,000%} of name{Yumemizuki Mizuki}'s name{Elemental Mastery}.<br>skill{Radiance: Stellar Swirl}: The aforementioned additional DMG is changed to anemo{Anemo DMG} at value{400%} of name{Yumemizuki Mizuki}'s name{Elemental Mastery}. This DMG is considered stcond{Stellar Swirl} reaction DMG.</p>"
talent_name;yumemizuki_mizuki_your_echo_i_meet_in_dreams;Сон явит твой силуэт...;Your Echo I Meet in Dreams
talent_descr;yumemizuki_mizuki_your_echo_i_meet_in_dreams;<p>Каждая единица name{мастерства стихий} name{Юмэмидзуки Мидзуки} при переходе в состояние name{Парящей по сновидениям} предоставляет value{0,04%} бонус pyro{Пиро}, hydro{Гидро}, cryo{Крио} и electro{Электро урона} всем другим персонажам отряда поблизости вплоть до завершения этого состояния.</p>;<p>When name{Yumemizuki Mizuki} enters the name{Dreamdrifter} state, every name{Elemental Mastery} point she has will increase all nearby party members' pyro{Pyro}, hydro{Hydro}, cryo{Cryo}, and electro{Electro DMG} Bonuses by value{0.04%} until the name{Dreamdrifter} state ends.</p>
talent_descr;yumemizuki_mizuki_your_echo_i_meet_in_dreams_hex;<p>Каждая единица name{мастерства стихий} name{Юмэмидзуки Мидзуки} при переходе в состояние name{Парящей по сновидениям} предоставляет value{0,04%} бонус pyro{Пиро}, hydro{Гидро}, cryo{Крио} и electro{Электро урона} всем другим персонажам отряда поблизости вплоть до завершения этого состояния.<br>Кроме того, когда name{Мидзуки} пребывает в состоянии name{Парящей по сновидениям}, pyro{Пиро}, hydro{Гидро}, cryo{Крио}, electro{Электро} и anemo{Анемо сопротивление} врагов поблизости снижается на %{enemy_res_cryo}.</p>;<p>When name{Yumemizuki Mizuki} enters the name{Dreamdrifter} state, every name{Elemental Mastery} point she has will increase all nearby party members' pyro{Pyro}, hydro{Hydro}, cryo{Cryo}, and electro{Electro DMG} Bonuses by value{0.04%} until the name{Dreamdrifter} state ends.<br>Additionally, while name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, the pyro{Pyro RES}, hydro{Hydro RES}, cryo{Cryo RES}, electro{Electro RES}, and anemo{Anemo RES} of nearby opponents are lowered by %{enemy_res_cryo}.</p>
talent_name;yumemizuki_mizuki_till_dawns_moon_ends_night;С зарёй ушла ночь;Till Dawn's Moon Ends Night
talent_name;yumemizuki_mizuki_buds_warm_lucid_springs;Цветы у воды;Buds Warm Lucid Springs
talent_descr;yumemizuki_mizuki_buds_warm_lucid_springs;<p>Если подобрать skill{Закуску в стиле юмэми} name{взрыва стихии} skill{burst:Терапия тайных источников анраку}, то одновременно будет нанесён урон, получено лечение и восстановлено 5 name{ед. энергии} name{Юмэмидзуки Мидзуки}. Восстанавливать энергию таким способом можно до 4 раз в течение одной skill{Тайной родниковой терапии анраку}.</p>;<p>Picking up a skill{Yumemi Style Special Snack} from the name{Elemental Burst} skill{burst:Anraku Secret Spring Therapy} will both deal DMG and heal, and will restore 5 name{Energy} to name{Yumemizuki Mizuki}. name{Energy} can be restored this way 4 times per skill{burst:Anraku Secret Spring Therapy} duration.</p>
talent_descr;yumemizuki_mizuki_buds_warm_lucid_springs_hex;<p>Если подобрать skill{Закуску в стиле юмэми} name{взрыва стихии} skill{burst:Терапия тайных источников анраку}, то одновременно будет нанесён урон и получено лечение. Она также исцеляет другого персонажа отряда поблизости с низким значением name{HP} на value{266%} от name{мастерства стихий} name{Мидзуки} и восстанавливает 5 name{ед. энергии} самой name{Юмэмидзуки Мидзуки}. Восстанавливать энергию таким способом можно до 4 раз в течение одной skill{Терапии тайных источников анраку}.</p>;<p>Picking up a skill{Yumemi Style Special Snack} from the name{Elemental Burst} skill{burst:Anraku Secret Spring Therapy} will both deal DMG and heal. It will also heal a nearby party member with lower name{HP} for value{266%} of name{Yumemizuki Mizuki}'s name{Elemental Mastery}, as well as regenerate 5 name{Energy} for name{Yumemizuki Mizuki}. name{Energy} can be restored this way 4 times per skill{burst:Anraku Secret Spring Therapy} duration.</p>
talent_name;yumemizuki_mizuki_as_setting_moon_brings_years_end;Под уходящей луной...;As Setting Moon Brings Year's End
talent_name;yumemizuki_mizuki_the_heart_lingers_long;Томится сердце;The Heart Lingers Long
talent_descr;yumemizuki_mizuki_the_heart_lingers_long;<p>Когда name{Юмэмидзуки Мидзуки} пребывает в состоянии name{Парящей по сновидениям}, урон реакции anemo{Рассеивание}, вызываемой членами отряда поблизости, может наносить name{критический урон}. name{Шанс крит. попадания} зафиксирован на %{crit_rate_swirl}, а name{крит. урон} - %{crit_dmg_swirl}. name{Шанс крит. попадания} и name{крит. урон}, наносимый stcond{Звёздным рассеиванием} этих персонажей, также повышается на %{crit_rate_stellar_swirl} и %{crit_dmg_stellar_swirl} соответственно.</p>;<p>While name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, anemo{Swirl} reaction DMG dealt by nearby party members can score CRIT Hits, with name{CRIT Rate} fixed at %{crit_rate_swirl}, and name{CRIT DMG} fixed at %{crit_dmg_swirl}. Any stcond{Stellar Swirl} reaction DMG dealt by these characters will also have its name{CRIT Rate} and name{CRIT DMG} increased by %{crit_rate_stellar_swirl} and %{crit_dmg_stellar_swirl}, respectively.</p>
talent_descr;yumemizuki_mizuki_the_heart_lingers_long_hex_1;<p>Когда name{Юмэмидзуки Мидзуки} пребывает в состоянии name{Парящей по сновидениям}, урон реакции anemo{Рассеивание}, вызываемой членами отряда поблизости, может наносить name{критический урон}. name{Шанс крит. попадания} зафиксирован на %{crit_rate_swirl}, а name{крит. урон} - %{crit_dmg_swirl}. Кроме того, name{шанс крит. попадания} stcond{Звёздного рассеивания} этими персонажами повышается на %{crit_rate_stellar_swirl}, а name{крит. урон} - на %{crit_dmg_stellar_swirl}.</p>;<p>While name{Yumemizuki Mizuki} is in the name{Dreamdrifter} state, anemo{Swirl} DMG dealt by nearby party members can score CRIT Hits, with name{CRIT Rate} fixed at %{crit_rate_swirl}, and name{CRIT DMG} fixed at %{crit_dmg_swirl}. The name{CRIT Rate} of any stcond{Stellar Swirl} DMG dealt by these party members is also increased by %{crit_rate_stellar_swirl}, while name{CRIT DMG} is increased by %{crit_dmg_stellar_swirl}.</p>
talent_descr;yumemizuki_mizuki_the_heart_lingers_long_hex_2;<p>За каждую единицу name{мастерства стихий} name{Юмэмидзуки Мидзуки} свыше value{500} её name{шанс крит. попадания} повышается на value{0,04%}, а name{крит. урон} - на value{0,16%}. Максимальное увеличение шанса крит. попадания, получаемого таким способом, составляет value{20%}, а name{крит. урона} - value{80%}.</p>;<p>Every point of name{Elemental Mastery} name{Yumemizuki Mizuki} has in excess of value{500} increases her name{CRIT Rate} by value{0.04%} and her name{CRIT DMG} by value{0.16%}. name{Yumemizuki Mizuki}'s name{CRIT Rate} and name{CRIT DMG} can be increased by up to value{20%} and value{80%} in this way, respectively.</p>
