category;name;rus;eng
char_name;yun_jin;Юнь Цзинь;Yun Jin
talent_name;yun_jin_cloud_grazing_strike;Облачный удар;Cloud-Grazing Strike
talent_descr;yun_jin_cloud_grazing_strike;<p>name{Обычная атака:}<br>До пяти ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, наносящий урон противникам на пути, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, dealing damage to opponents along the way.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
talent_name;yun_jin_opening_flourish;Вихревое представление;Opening Flourish
talent_descr;yun_jin_opening_flourish;<p>На сцене Госпожа Юнь лишь изображает бой, но дать отпор врагам она может и по-настоящему.</p><p>name{Быстрое нажатие}<br>Взмахивает копьём, обводя очертания облаков, и наносит geo{Гео урон}.</p><p>name{Долгое нажатие}<br>Встаёт в стойку Вихревое представление, накапливает заряд и создаёт щит. Поглощение урона зависит от максимального name{HP} name{Юнь Цзинь}. Щит поглощает name{элементальный урон} и физический урон на 150% эффективнее. Он действует до тех пор, пока name{Юнь Цзинь} не закончит исполнение name{элементального навыка}.<br>Когда навык применится, закончится его длительность или щит разрушится, name{Юнь Цзинь} высвободит накопленную энергию, нанося geo{Гео урон}. В зависимости от времени, потраченного на зарядку, атака будет уровня заряда 1 или уровня заряда 2.</p><p><i>Минута сияния на сцене, за которой стоит десятилетие подготовки.</i></p>;<p>Ms. Yun may just be acting out fights on stage, but her skills with the spear are real enough to defend against her foes.</p><p>name{Press}<br>Flourishes her polearm in a cloud-grasping stance, dealing geo{Geo DMG}.</p><p>name{Hold}<br>Takes up the name{Opening Flourish} stance and charges up, forming a shield. DMG Absorption is based on name{Yun Jin}'s name{Max HP} and has 150% effectiveness against all name{Elemental DMG} and name{Physical DMG}. The shield lasts until she finishes unleashing her name{Elemental Skill}.<br>When the skill is released, when its duration ends, or when the shield breaks, name{Yun Jin} will unleash the charged energy as an attack, dealing geo{Geo DMG}.<br>Based on the time spent charging, it will either unleash an attack at Charge Level 1 or Level 2.</p><p><i>One glorious moment on-stage, a decade of preparation behind it.</i></p>
feature_burst;yun_jin_dmg_increase;Повышение урона;DMG Increase
feature_burst;yun_jin_trigger_quota;Количество зарядов;Trigger Quota
talent_name;yun_jin_cliffbreakers_banner_1;Стяг разрушителя скал;Cliffbreaker's Banner
talent_name;yun_jin_cliffbreakers_banner_2;name{Строй облачных флагов};name{Flying Cloud Flag Formation}
talent_descr;yun_jin_cliffbreakers_banner_1;<p>Наносит geo{Гео урон по площади} и накладывает на всех ближайших членов отряда Строй облачных флагов.</p><p>name{Строй облачных флагов}<br>Когда противникам наносится name{урон обычной атаки}, им также наносится дополнительный урон, который зависит от текущей name{защиты} name{Юнь Цзинь}.</p><p>Эффекты навыка будут сняты по окончании его действия или после израсходования определённого количества зарядов.<br>Когда name{обычная атака} наносит урон нескольким противникам, заряды будут расходоваться в зависимости от количества поражённых противников. Количество зарядов Строя облачных флагов каждого члена отряда подсчитывается отдельно.</p><p><i>Под звуки барабанов и лязг мечей красавица превращается в могучего генерала.</i><br><i>Инструменты на сцене поют в унисон. Смотрите, как дева побеждает ужасных демонов!</i></p>;<p>Deals geo{AoE Geo DMG} and grants all nearby party members a Flying Cloud Flag Formation.</p><p>name{Flying Cloud Flag Formation}<br>When name{Normal Attack DMG} is dealt to opponents, Bonus DMG will be dealt based on name{Yun Jin}'s current name{DEF}.</p><p>The effects of this skill will be cleared after a set duration or after being triggered a specific number of times.<br>When one name{Normal Attack} hits multiple opponents, the effect is triggered multiple times according to the number of opponents hit. The number of times that the effect is triggered is counted independently for each member of the party with Flying Cloud Flag Formation.</p><p><i>As the drums resound, as swords and halberds weave and clash, the doyenne is transformed into a mighty general.</i><br><i>As the instruments on stage strum in unison, lo, see how she vanquishes these demons!</i></p>
talent_descr;yun_jin_cliffbreakers_banner_2;Когда противникам наносится name{урон обычной атаки}, им также наносится дополнительный урон, который зависит от текущей name{защиты} name{Юнь Цзинь}.;When name{Normal Attack DMG} is dealt to opponents, Bonus DMG will be dealt based on name{Yun Jin}'s current name{DEF}.
talent_name;yun_jin_true_to_oneself;Верность себе;True to Oneself
talent_descr;yun_jin_true_to_oneself;Использование навыка skill{skill:Вихревое представление} точно в момент, когда name{Юнь Цзинь} атакована, активирует второй уровень заряда формы долгого нажатия.;Using skill{skill:Opening Flourish} at the precise moment when name{Yun Jin} is attacked will unleash its name{Level 2 Charged} (Hold) form.
talent_name;yun_jin_breaking_conventions;Отход от традиций;Breaking Conventions
talent_descr;yun_jin_breaking_conventions;Бонус урона name{обычной атаки} от эффекта skill{burst:Строй облачных флагов} дополнительно увеличивается на format{yunjin_traditionalist_stacks=1|2.5}/format{yunjin_traditionalist_stacks=2|5}/format{yunjin_traditionalist_stacks=3|7.5}/format{yunjin_traditionalist_stacks=4|11.5}% от защиты name{Юнь Цзинь}, если в отряде есть персонажи format{yunjin_traditionalist_stacks=1|1}/format{yunjin_traditionalist_stacks=2|2}/format{yunjin_traditionalist_stacks=3|3}/format{yunjin_traditionalist_stacks=4|4} типов элементов.;The name{Normal Attack DMG} Bonus granted by skill{burst:Flying Cloud Flag Formation} is further increased by format{yunjin_traditionalist_stacks=1|2.5}/format{yunjin_traditionalist_stacks=2|5}/format{yunjin_traditionalist_stacks=3|7.5}/format{yunjin_traditionalist_stacks=4|11.5}% of name{Yun Jin}'s name{DEF} when the party contains characters of format{yunjin_traditionalist_stacks=1|1}/format{yunjin_traditionalist_stacks=2|2}/format{yunjin_traditionalist_stacks=3|3}/format{yunjin_traditionalist_stacks=4|4} Elemental Types, respectively.
talent_name;yun_jin_thespian_gallop;Театральный галоп;Thespian Gallop
talent_descr;yun_jin_thespian_gallop;Уменьшает время отката навыка skill{skill:Вихревое представление} на 18%.;skill{skill:Opening Flourish's} CD is decreased by 18%.
talent_name;yun_jin_myriad_mise_en_scene;Мириады мизансцен;Myriad Mise-En-Scène
talent_descr;yun_jin_myriad_mise_en_scene;При применении skill{burst:Стяга разрушителя скал} name{урон обычной атаки} всех ближайших членов отряда увеличивается на %{dmg_normal} на 12 сек.;After skill{burst:Cliffbreaker's Banner} is unleashed, all nearby party members' name{Normal Attack DMG} is increased by %{dmg_normal} for 12s.
talent_name;yun_jin_seafaring_general;Морской поход;Seafaring General
talent_name;yun_jin_flower_and_a_fighter;Цветок и воин;Flower and a Fighter
talent_descr;yun_jin_flower_and_a_fighter;После того как name{Юнь Цзинь} вызывает реакции geo{Кристалл} или geo{Лунный кристалл}, защита на 12 сек. возрастает на %{def_percent}.;When name{Yun Jin} triggers geo{Crystallize} or geo{Lunar-Crystallize} reactions, her name{DEF} is increased by %{def_percent} for 12s.
talent_name;yun_jin_famed_throughout_the_land;Мировая слава;Famed Throughout the Land
talent_name;yun_jin_decorous_harmony;Гармоничное развитие;Decorous Harmony
talent_descr;yun_jin_decorous_harmony;У персонажей в состоянии skill{burst:Строй облачных флагов} name{скорость обычной атаки} увеличивается на %{text_percent}.;Characters under the effects of the skill{burst:Flying Cloud Flag Formation} have their name{Normal} name{ATK SPD} increased by %{text_percent}.
