category;name;rus;eng
char_name;zhongli;Чжун Ли;Zhongli
talent_name;zhongli_planet_befall;Падение кометы;Planet Befall
talent_descr;zhongli_planet_befall;<p>Призывает гигантский метеорит, который наносит огромный geo{Гео урон} врагам в радиусе поражения, а также накладывает на них статус geo{Окаменение}.</p><p>name{Окаменение:}<br>Враги со статусом geo{Окаменение} не могут двигаться.</p><p><i>Падающая комета карает несправедливость.</i></p>;<p>Brings a falling meteor down to earth, dealing massive geo{Geo DMG} to opponents caught in its AoE and applying the geo{Petrification} status to them.</p><p>name{Petrification}<br>Opponents affected by the geo{Petrification} status cannot move.</p><p><i>The falling meteor punishes the unjust.</i></p>
talent_name;zhongli_rain_of_stone;Каменный дождь;Rain of Stone
talent_descr;zhongli_rain_of_stone;<p>name{Обычная атака:}<br>До шести ударов копьём.</p><p>name{Заряженная атака:}<br>Выпад, вызывающий дождь из каменных копий, на который тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 6 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to lunge forward, causing stone spears to fall along his path.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;zhongli_dominus_lapidis;Власть над камнем;Dominus Lapidis
talent_descr;zhongli_dominus_lapidis;<p>Каждая гора, каждый камень и вся земля пронизаны энергией Гео, но только единицы могут ею управлять.</p><p>name{Быстрое нажатие:}<br>Приказывает силам земли создать Каменную стелу.</p><p>name{Долгое нажатие:}<br>Заставляет окружающую Гео энергию взорваться, что вызывает следующие эффекты:<br>· Создаёт Каменную стелу, если не было достигнуто их максимально допустимое количество.<br>· Создаёт Яшмовый щит. Поглощение урона щита зависит от макс. HP Чжун Ли.<br>· Наносит geo{Гео урон по площади}.<br>· Если поблизости есть цели с geo{элементом Гео}, вытягивает большое количество geo{Гео элемента} из максимум 2 таких целей. Этот эффект не наносит урона.</p><p>name{Каменная стела:}<br>При создании наносит geo{Гео урон по площади}.<br>Также Каменная стела входит в резонанс с окружающими её другими geo{Гео конструкциями}, нанося geo{Гео урон} окружающим врагам.<br>Каменная стела считается geo{Гео конструкцией}, на неё можно взобраться или использовать её для блокирования атак.<br>Первоначально может существовать только одна Каменная стела, созданная самим Чжун Ли.</p><p>name{Яшмовый щит:}<br>Весь элементальный и физический урон поглощается на 150% эффективнее.<br>Персонажи, защищённые Яшмовым щитом, будут понижать элементальное и физическое сопротивление врагов в небольшом радиусе на 20%. Этот эффект не может складываться.</p><p><i>Настоящий мастер может вырезать нефрит и придать форму золоту одной лишь мыслью.</i></p>;<p>Every mountain, rock and inch of land is filled with the power of Geo, but those who can wield such powers freely are few and far between.</p><p>name{Press}<br>Commands the power of earth to create a Stone Stele.</p><p>name{Hold}<br>Causes nearby Geo energy to explode, causing the following effects:<br>·If their maximum number hasn't been reached, creates a Stone Stele.<br>·Creates a shield of jade. The shield's DMG Absorption scales based on Zhongli's Max HP.<br>·Deals geo{AoE Geo DMG}.<br>·If there are nearby targets with the geo{Geo element}, it will drain a large amount of geo{Geo element} from a maximum of 2 such targets. This effect does not cause DMG.</p><p>name{Stone Stele}<br>When created, deals geo{AoE Geo DMG}.<br>Additionally, it will intermittently resonate with other nearby geo{Geo constructs}, dealing geo{Geo DMG} to nearby opponents.<br>The Stone Stele is considered a geo{Geo construct} that can both be climbed and used to block attacks.<br>Only one Stele created by Zhongli himself may initially exist at any one time.</p><p>name{Jade Shield}<br>Possesses 150% DMG Absorption against all Elemental and Physical DMG.<br>Characters protected by the Jade Shield will decrease the Elemental RES and Physical RES of opponents in a small AoE by 20%. This effect cannot be stacked.</p><p><i>A true master of stone may carve jade and shape gold.</i></p>
talent_name;zhongli_resonant_waves;Каменная воля;Resonant Waves
talent_descr;zhongli_resonant_waves;Полученный при активном name{Яшмовом щите} урон накладывает статус name{Укрепление}:<br>· Увеличивает name{прочность щита} персонажа, защищённого name{Яшмовым щитом}, на %{shield}.<br>· Может складываться до 5 раз, и длится до тех пор, пока не исчезнет name{Яшмовый щит}.;When the name{Jade Shield} takes DMG, it will name{Fortify}:<br>·Fortified characters have %{shield} increased name{Shield Strength}.<br>Can stack up to 5 times, and lasts until the name{Jade Shield} disappears.
talent_name;zhongli_dominance_of_earth;Господство земли;Dominance of Earth
talent_descr;zhongli_dominance_of_earth;name{Чжун Ли} наносит дополнительный урон, который зависит от его name{макс. HP}:<br>· name{Урон обычной атаки}, name{заряженной атаки} и name{атаки в падении} увеличен на %{normal_base_hp_percent|0|2} от name{макс. HP}.<br>· Урон name{Каменной стелы} навыка skill{skill:Власть над камнем}, её резонанса и долгого нажатия увеличен на %{skill_base_hp_percent} от name{макс. HP}.<br>· Урон навыка skill{burst:Падение кометы} увеличен на %{burst_base_hp_percent} от name{макс. HP}.;name{Zhongli} deals bonus DMG based on his name{Max HP}:<br>·name{Normal Attack}, name{Charged Attack}, and name{Plunging Attack DMG} is increased by %{normal_base_hp_percent|0|2} of name{Max HP}.<br>·skill{skill:Dominus Lapidis'} name{Stone Stele}, resonance, and hold DMG is increased by %{skill_base_hp_percent} of name{Max HP}.<br>·skill{burst:Planet Befall's} DMG is increased by %{burst_base_hp_percent} of name{Max HP}.
talent_name;zhongli_rock_the_backbone_of_earth;На чём держится земля;Rock, the Backbone of Earth
talent_descr;zhongli_rock_the_backbone_of_earth;Допускает одновременное существование двух name{Каменных стел} навыка skill{skill:Власть над камнем}.;Increases the maximum number of name{Stone Steles} created by skill{skill:Dominus Lapidis} that may exist simultaneously to 2.
talent_name;zhongli_stone_the_cradle_of_jade;Колыбель нефрита;Stone, the Cradle of Jade
talent_descr;zhongli_stone_the_cradle_of_jade;Навык skill{burst:Падение кометы} накладывает name{Яшмовый щит} на окружающих персонажей.;skill{burst:Planet Befall} grants nearby characters on the field a name{Jade Shield} when it descends.
talent_name;zhongli_jade_shimmering_through_darkness;Яшмовый блеск;Jade, Shimmering through Darkness
talent_name;zhongli_topaz_unbreakable_and_fearless;Топаз, несломленный и бесстрашный;Topaz, Unbreakable and Fearless
talent_descr;zhongli_topaz_unbreakable_and_fearless;Увеличивает зону поражения навыка skill{burst:Падение кометы} на 20%, также увеличивает длительность окаменения на 2 сек.;Increases skill{burst:Planet Befall}'s AoE by 20% and increases the duration of name{Planet Befall}'s Petrification effect by 2s.
talent_name;zhongli_lazuli_herald_of_the_order;Лазурит, вестник порядка;Lazuli, Herald of the Order
talent_name;zhongli_chrysos_bounty_of_dominator;Кризос, награда деспота;Chrysos, Bounty of Dominator
talent_descr;zhongli_chrysos_bounty_of_dominator;Когда name{Яшмовый щит} получает урон, %{text_percent_dmg} этого урона конвертируется в name{HP} для активного персонажа.<br>Одно восстановление не может превышать %{text_percent_hp} от name{макс. HP} персонажа.;When the name{Jade Shield} takes DMG, %{text_percent_dmg} of that incoming DMG is converted to name{HP} for the current character.<br>A single instance of regeneration cannot exceed %{text_percent_hp} of that character's name{Max HP}.
