category;name;rus;eng
char_name;zibai;Цзы Бай;Zibai
talent_name;zibai_golden_blades_petaled_touch;Лепестковое прикосновение золотого клинка;Golden Blade's Petaled Touch
talent_descr;zibai_golden_blades_petaled_touch;<p>name{Обычная атака:}<br>До четырёх быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости на два быстрых взмаха мечом перед собой.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит name{урон по площади}.</p>;<p>name{Normal Attack}<br>Performs up to 4 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing name{AoE DMG} upon impact.</p>
feature_skill;zibai_lunar_phase_shift_1_hit_dmg;Урон атаки 1 Сдвига лунных фаз;Lunar Phase Shift 1-Hit DMG
feature_skill;zibai_lunar_phase_shift_2_hit_dmg;Урон атаки 2 Сдвига лунных фаз;Lunar Phase Shift 2-Hit DMG
feature_skill;zibai_lunar_phase_shift_3_hit_dmg;Урон атаки 3 Сдвига лунных фаз;Lunar Phase Shift 3-Hit DMG
feature_skill;zibai_lunar_phase_shift_4_hit_dmg;Урон атаки 4 Сдвига лунных фаз;Lunar Phase Shift 4-Hit DMG
feature_skill;zibai_lunar_phase_shift_charged_attack_dmg;Урон заряженной атаки Сдвига лунных фаз;Lunar Phase Shift Charged Attack DMG
feature_skill;zibai_spirit_steeds_stride_1_hit_dmg;Урон атаки 1 Поступи проворной кобылицы;Spirit Steed's Stride 1-Hit DMG
feature_skill;zibai_spirit_steeds_stride_2_hit_dmg;Урон атаки 2 Поступи проворной кобылицы;Spirit Steed's Stride 2-Hit DMG
feature_skill;zibai_lunar_phase_shift_4_hit_additional_dmg;Дополнительный урон атаки 4 Сдвига лунных фаз;Lunar Phase Shift 4-Hit Additional DMG
feature_skill;zibai_lunar_phase_shift_duration;Длительность Сдвига лунных фаз;Lunar Phase Shift Duration
talent_name;zibai_heaven_and_earth_made_manifest;Когда небо и земля стали единым;Heaven and Earth Made Manifest
talent_descr;zibai_heaven_and_earth_made_manifest;<p>Призывая тень своих былых сил, name{Цзы Бай} переходит в режим skill{n11260001:Сдвига лунных фаз}.<br>В этом режиме её обычная и name{заряженная атаки} наносят geo{Гео урон}, который не может быть отменён другими инфузиями, а также она становится способна разными способами накапливать особое name{Сияние сдвига фаз}. name{Цзы Бай} может расходовать Сияние сдвига фаз, чтобы применять особый name{элементальный навык} name{Поступь проворной кобылицы}.</p><p>name{Лунное знамение - Высшее сияние}<br>Когда name{Цзы Бай} находится в режиме name{Сдвига лунных фаз}, четвёртый удар её name{обычной атаки} один раз наносит дополнительный geo{Гео урон}, который считается уроном реакции Лунный кристалл.</p><p><i>Иногда говорят, что время пролетает быстро, как жеребёнок перепрыгивает через узкую щель. Дети тогда спрашивают, перепрыгнет ли щель жеребёнок, если он толстый? Услышав это, она изумляется: «Прыжок через щель относится к боевой технике. При чём здесь полнота или худоба?»</i></p>;"<p>Summoning a shadow of her former powers, she switches to the skill{n11260001:Lunar Phase Shift} mode.<br>In this mode, name{Zibai}'s name{Normal Attacks} and name{Charged Attacks} will deal geo{Geo DMG} that cannot be overridden by other infusions, and she can accrue special name{Phase Shift Radiance} through different methods. name{Zibai} can consume Phase Shift Radiance to unleash the special name{Elemental Skill} name{Spirit Steed's Stride}.</p><p>name{Moonsign: Ascendant Gleam}<br>While in the name{Lunar Phase Shift} mode, when name{Zibai} performs name{Normal Attacks}, the fourth attack will deal an additional instance of geo{Geo DMG}, which is considered Lunar-Crystallize name{Reaction DMG}.</p><p><i>People often say time passes as swiftly as ""a white colt through a crevice."" Children often ask if the colt might fail to pass through so quickly were it any fatter. Upon hearing this, she made an odd face: ""That phrase is rooted in martial technique. What has that to do with being fat or thin?""</i></p>"
feature_burst;zibai_skill_1_hit_dmg;Урон 1-й атаки навыка;Skill 1-Hit DMG
feature_burst;zibai_skill_2_hit_dmg;Урон 2-й атаки навыка;Skill 2-Hit DMG
talent_name;zibai_tri_sphere_eminence;Величие трёх сфер;Tri-Sphere Eminence
talent_descr;zibai_tri_sphere_eminence;<p>Управляя Нефритовым зонтом, name{Цзы Бай} два раза наносит geo{Гео урон}. Урон второго раза считается уроном реакции Лунный кристалл.<br>Если во время активации name{Цзы Бай} находится в режиме skill{n11260001:Сдвига лунных фаз}, то длительность текущего Сдвига лунных фаз увеличивается на 1,7 сек.</p><p><i>Говорят, давным-давно, когда на небосводе появилась падающая звезда, способная осиять ночь, люди сего мира увидели сверкание этого великолепного сокровища.</i></p>;<p>name{Zibai} operates the Jadelight Canopy, dealing two instances of geo{Geo DMG}, with the second damage instance being considered Lunar-Crystallize name{Reaction DMG}.<br>When cast, if name{Zibai} is in the skill{n11260001:Lunar Phase Shift}, the duration of the current Lunar Phase Shift will extend by an additional 1.7s.</p><p><i>Legend has it that long ago, when a rogue shooting star bright enough to illuminate the night drew near, the people of this world caught a glimpse of this treasure's radiant splendor.</i></p>
talent_name;zibai_the_selenic_adeptus_descends;Нисхождение лунного Адепта;The Selenic Adeptus Descends
talent_descr;zibai_the_selenic_adeptus_descends;<p>Во время использования name{элементального навыка} skill{skill:Когда небо и земля стали единым} или активации членом отряда поблизости geo{Гармонии Лунной пелены} name{Цзы Бай} на 4 сек. получает эффект skill{Лунного нисхождения}: урон второй атаки skill{n11260001:Поступи проворной кобылицы} повышается на %{text_percent} от защиты name{Цзы Бай}.</p>;<p>When casting the name{Elemental Skill} skill{skill:Heaven and Earth Made Manifest}, or when nearby party members trigger geo{Moondrift Harmony}, name{Zibai} gains the skill{Selenic Descent} effect for 4s: The DMG dealt by the 2nd hit of skill{n11260001:Spirit Steed's Stride} is increased by %{text_percent} of name{Zibai}'s name{DEF}.</p>
talent_name;zibai_layered_peaks_pierce_the_clouds;Гряды вершин над облаками;Layered Peaks Pierce the Clouds
talent_descr;zibai_layered_peaks_pierce_the_clouds;<p>name{Защита} name{Цзы Бай} повышается на %{text_def_percent} за каждого другого geo{Гео} персонажа в отряде. name{Мастерство стихий} name{Цзы Бай} повышается на %{text_mastery} ед. за каждого hydro{Гидро} персонажа в отряде.</p>;<p>Other geo{Geo} party members increase name{Zibai}'s name{DEF} by %{text_def_percent} each. hydro{Hydro} party members increase her name{Elemental Mastery} by %{text_mastery} each.</p>
talent_name;zibai_the_coursing_sun_and_moon;Дар лунного знамения: Ход солнца и луны;Moonsign Benediction: The Coursing Sun and Moon
talent_descr;zibai_the_coursing_sun_and_moon;<p>Когда персонажи отряда активируют реакцию hydro{Гидро Кристалл}, она превращается в geo{Лунный кристалл}, а базовый урон реакции geo{Лунный кристалл} персонажей отряда увеличивается на %{text_percent} за каждые 100 ед. защиты name{Цзы Бай}. Максимальное увеличение урона, которое можно получить таким образом, составляет %{text_percent_max}.</p><p>Кроме того, когда name{Цзы Бай} в отряде, уровень skill{Лунного знамения} отряда повышается на 1.</p>;<p>When a party member triggers a hydro{Hydro Crystallize} reaction, it will be converted into the geo{Lunar-Crystallize} reaction, with every 100 name{DEF} that name{Zibai} has increasing geo{Lunar-Crystallize}'s Base DMG by %{text_percent}, up to a maximum of %{text_percent_max}.</p><p>Additionally, when name{Zibai} is in the party, the party's skill{Moonsign} will increase by 1 level.</p>
talent_name;zibai_burst_forth_with_vigor_but_enter_in_silence;Прорывайся с силой, но входи в тишине;Burst Forth With Vigor, But Enter in Silence
talent_descr;zibai_burst_forth_with_vigor_but_enter_in_silence;<p>После применения name{элементального навыка} skill{skill:Когда небо и земля стали единым} name{Цзы Бай} сразу получает 100 ед. skill{n11260001:Сияния сдвига фаз}, а максимум использований skill{Поступи проворной кобылицы} в режиме skill{Сдвига лунных фаз} увеличивается до 5.<br>Кроме того, при каждом переходе в режим Сдвига лунных фаз и первом применении Поступи проворной кобылицы урон реакции geo{Лунный кристалл} её второй атаки повышается на %{text_percent}.</p>;<p>After using the name{Elemental Skill} skill{skill:Heaven and Earth Made Manifest}, name{Zibai} will immediately gain 100 skill{n11260001:Phase Shift Radiance}, and the max number of skill{Spirit Steed's Stride} usages per skill{Lunar Phase Shift} mode is increased to 5 times.<br>Additionally, each time you switch to the Lunar Phase Shift mode, the first Spirit Steed's Stride's 2nd-hit geo{Lunar-Crystallize} name{Reaction DMG} is increased by %{text_percent}.</p>
talent_name;zibai_at_birth_are_souls_born_and_in_death_leave_but_husks;Рождение являет души, смерть оставляет лишь оболочку;At Birth Are Souls Born, and in Death Leave But Husks
talent_descr;zibai_at_birth_are_souls_born_and_in_death_leave_but_husks_1;<p>Когда name{Цзы Бай} находится в режиме skill{n11260001:Сдвига лунных фаз}, урон реакции geo{Лунный кристалл} всех персонажей отряда поблизости повышается на %{dmg_reaction_lunarcrystallize}.</p>;<p>When in the skill{n11260001:Lunar Phase Shift} mode, all nearby party members' geo{Lunar-Crystallize} name{Reaction DMG} is increased by %{dmg_reaction_lunarcrystallize}.</p>
talent_descr;zibai_at_birth_are_souls_born_and_in_death_leave_but_husks_2;<p>skill{Лунное знамение - Высшее сияние}: талант возвышения skill{Нисхождение лунного Адепта} получает усиление - урон второй атаки skill{Поступи проворной кобылицы} дополнительно повышается на %{text_percent} от защиты name{Цзы Бай}. Требуется разблокировать талант возвышения Нисхождение лунного Адепта.</p>;"<p>skill{Moonsign: Ascendant Gleam}: Ascension Talent skill{The Selenic Adeptus Descends} is enhanced: the DMG dealt by the 2nd hit of skill{Spirit Steed's Stride} is further increased by %{text_percent} of name{Zibai}'s name{DEF}. You must first unlock the Ascension Talent ""The Selenic Adeptus Descends.""</p>"
talent_name;zibai_free_from_constraints_and_worldly_ties;Свобода от пут и мирских уз;Free From Constraints and Worldly Ties
talent_name;zibai_the_spirit_passes_then_form_follows;Дух уходит, форма следует за ним;The Spirit Passes, Then Form Follows
talent_descr;zibai_the_spirit_passes_then_form_follows;<p>Когда name{Цзы Бай} находится в режиме skill{n11260001:Сдвига лунных фаз}, серия её name{обычной атаки} не сбрасывается, а когда skill{Поступь проворной кобылицы} поражает врага, name{Цзы Бай} получает эффект skill{Великолепие разлившейся луны}: при следующем использовании name{обычной атаки} дополнительная атака её четвёртого удара наносит урон реакции geo{Лунный кристалл}, равный %{text_percent} от исходного.</p>;"<p>While in the skill{n11260001:Lunar Phase Shift} mode, name{Zibai}'s name{Normal Attack} sequence will not reset, and when skill{Spirit Steed's Stride} hits opponents, name{Zibai} will gain the skill{""Scattermoon Splendor""} effect: The next time she uses name{Normal Attacks}, the additional attack from her 4th hit will deal %{text_percent} of the original damage as geo{Lunar-Crystallize} name{Reaction DMG}.</p>"
talent_name;zibai_perceive_the_worthless_and_debate_it_not;Понимай бесполезность и не оспаривай её;Perceive the Worthless and Debate It Not
talent_name;zibai_the_world_a_journey_in_passing;Мир, мимолётное странствие;The World, A Journey in Passing
talent_descr;zibai_the_world_a_journey_in_passing;<p>Когда name{Цзы Бай} находится в режиме skill{n11260001:Сдвига лунных фаз}, накопление skill{Сияния сдвига фаз} повышается на 50%.<br>Кроме того, skill{Поступь проворной кобылицы} теперь полностью расходует Сияние сдвига фаз, благодаря чему урон данного применения Поступи проворной кобылицы и на последующие 3 сек. урон реакции geo{Лунный кристалл} name{Цзы Бай} skill{n11190007:возвышается} на 1,6% за каждую израсходованную единицу Сияния сдвига фаз свыше 70. Этот эффект не складывается.</p>;<p>While name{Zibai} is in the skill{n11260001:Lunar Phase Shift} mode, her skill{Phase Shift Radiance} gain rate is increased by 50%.<br>Additionally, skill{Spirit Steed's Stride} will change such that it will consume all Phase Shift Radiance. This will skill{n11190007:elevate} the DMG dealt by this instance of Spirit Steed's Stride and the geo{Lunar-Crystallize} name{Reaction DMG} dealt by name{Zibai} within the next 3s by 1.6% for every point consumed above 70. This effect cannot stack.</p>
talent_descr;n11260001_1;<p>· name{Обычные} и name{заряженные атаки} наносят geo{Гео урон}, который не может быть отменён другими инфузиями.<br>· name{Элементальный навык} name{Когда небо и земля стали единым} заменяется на особый name{элементальный навык} name{Поступь проворной кобылицы}</p>;<p>· name{Normal} and name{Charged Attacks} are converted into geo{Geo DMG} that cannot be overridden by other infusions.<br>· The name{Elemental Skill} name{Heaven and Earth Made Manifest} will also be converted to the name{Elemental Skill} name{Spirit Steed's Stride}</p>
