category;name;rus;eng
buffs_name;fervent_flames;Пылающий огонь;Fervent Flames
buffs_descr;fervent_flames;<p>Уменьшает длительность cryo{Крио} эффекта на value{40%}. Увеличивает name{силу атаки} на %{atk_percent}.</p>;<p>Affected by cryo{Cryo} for value{40%} less time. Increases name{ATK} by %{atk_percent}.</p>
buffs_name;soothing_water;Успокаивающая вода;Soothing Water
buffs_descr;soothing_water;<p>Уменьшает длительность pyro{Пиро} эффекта на value{40%}. Увеличивает name{макс. HP} на %{hp_percent}.</p>;<p>Affected by pyro{Pyro} for value{40%} less time. Increases name{Max HP} by %{hp_percent}.</p>
buffs_name;impetuous_winds;Проворный ветер;Impetuous Winds
buffs_descr;impetuous_winds;<p>Уменьшает потребление выносливости на %{stamina_consume}. Увеличивает name{скорость передвижения} на %{move_speed}. Уменьшает время отката навыков на %{recovery}.</p>;<p>Decreases Stamina Consumption by %{stamina_consume}. Increases name{Movement SPD} by %{move_speed}. Shortens Skill CD by %{recovery}.</p>
buffs_name;high_voltage;Высокое напряжение;High Voltage
buffs_descr;high_voltage;<p>Уменьшает длительность hydro{Гидро} эффекта на value{40%}. Статусы cryo{Сверхпроводник}, pyro{Перегрузка}, electro{Заряжен}, electro{Лунный заряд}, dendro{Стимуляция}, electro{Обострение} и dendro{Вегетация} имеют 100% шанс оставить элементальную частицу electro{Электро} (откат 5 сек.).</p>;<p>Affected by hydro{Hydro} for value{40%} less time. cryo{Superconduct}, pyro{Overloaded}, electro{Electro-Charged}, electro{Lunar-Charged}, dendro{Quicken}, electro{Aggravate}, or dendro{Hyperbloom} have a 100% chance to generate an electro{Electro} name{Elemental Particle} (CD: 5s).</p>
buffs_name;sprawling_greenery;Ползучая зелень;Sprawling Greenery
buffs_descr;sprawling_greenery_1;<p>Увеличивает name{мастерство стихий} на %{mastery} ед.</p>;<p>name{Elemental Mastery} increased by %{mastery}.</p>
buffs_descr;sprawling_greenery_2;<p>Статусы pyro{Горение}, dendro{Стимуляция}, dendro{Бутонизация} и dendro{Лунная бутонизация} увеличивают name{мастерство стихий} всех членов отряда поблизости на %{mastery} ед. на 6 сек.<br>Длительность каждого из этих эффектов рассчитывается отдельно.</p>;<p>After triggering pyro{Burning}, dendro{Quicken}, dendro{Bloom}, or dendro{Lunar-Bloom} reactions, all nearby party members gain %{mastery} name{Elemental Mastery} for 6s.<br>The durations of the aforementioned effects will be counted independently.</p>
buffs_descr;sprawling_greenery_3;<p>Статусы electro{Обострение}, dendro{Разрастание}, dendro{Вегетация} и dendro{Цветение} увеличивают name{мастерство стихий} всех членов отряда поблизости на %{mastery} ед. на 6 сек.<br>Длительность каждого из этих эффектов рассчитывается отдельно.</p>;<p>After triggering electro{Aggravate}, dendro{Spread}, dendro{Hyperbloom}, or dendro{Burgeon} reactions, all nearby party members gain %{mastery} name{Elemental Mastery} for 6s.<br>The durations of the aforementioned effects will be counted independently.</p>
buffs_name;shattering_ice;Расколотый лёд;Shattering Ice
buffs_descr;shattering_ice_1;<p>Уменьшает длительность electro{Электро} эффекта на value{40%}.</p>;<p>Affected by electro{Electro} for value{40%} less time.</p>
buffs_descr;shattering_ice_2;<p>Увеличивает name{шанс крит. попадания} по замороженным tab{enemy:врагам} или tab{enemy:врагам} с cryo{Крио} эффектом на %{crit_rate_enemy}.</p>;<p>Increases name{CRIT Rate} against tab{enemy:opponents} that are cryo{Frozen} or affected by cryo{Cryo} by %{crit_rate_enemy}.</p>
buffs_name;enduring_rock;Несокрушимый камень;Enduring Rock
buffs_descr;enduring_rock_1;<p>name{Прочность щита} повышается на %{shield}.</p>;<p>Increases shield strength by %{shield}.</p>
buffs_descr;enduring_rock_2;<p>Если у персонажа активен щит или поблизости находится name{Лунная пелена}, созданная реакцией geo{Лунный кристалл}, то наносимый им урон увеличивается на %{dmg_all}.</p>;<p>Additionally, when characters protected by a shield, or when name{Moondrifts} formed by geo{Lunar-Crystallize} reactions are nearby, the following special characteristics will take effect: DMG dealt increased by %{dmg_all}.</p>
buffs_descr;enduring_rock_3;<p>При нанесении урона врагу его geo{Гео сопротивление} понижается на %{enemy_res_geo} на 15 сек.</p>;<p>Dealing DMG to enemies will decrease their geo{Geo RES} by %{enemy_res_geo} for 15s.</p>
buffs_name;protective_canopy;Нити защиты;Protective Canopy
buffs_descr;protective_canopy;<p>Элементальное сопротивление +%{res_phys}, физ. сопротивление +%{res_phys}.</p>;<p>All name{Elemental RES} +%{res_phys}, name{Physical RES} +%{res_phys}.</p>
