category;name;rus;eng
talent_name;weapon_sunset_reignites_the_dawn;Закат распаляет рассвет;Sunset Reignites the Dawn
talent_descr;weapon_sunset_reignites_the_dawn_1;<p>При использовании name{элементального навыка} или name{взрыва стихии} наделяет name{Палящим сиянием}: повышает name{крит. урон} на %{crit_dmg} и name{силу атаки} на %{atk_percent} на 6 сек. Эффект может возникнуть 1 раз в 10 сек.<br>Нанесение name{элементального урона} name{обычной} или name{заряженной атакой} во время действия name{Палящего сияния} продлевает длительность данного эффекта на 2 сек. Продление его действия может сработать 1 раз в 1 сек., а максимум продления составляет 6 сек.</p>;"<p>Gain the ""name{Scorching Brilliance}"" effect when using an name{Elemental Skill} or name{Burst}: name{CRIT DMG} increased by %{crit_dmg} and name{ATK} increased by %{atk_percent} for 6s. This effect can trigger once every 10s.<br>While a ""name{Scorching Brilliance}"" instance is active, its duration is increased by 2s after name{Normal} or name{Charged} attacks deal name{Elemental DMG}. This effect can trigger once every second, and the max duration increase is 6s.</p>"
talent_descr;weapon_sunset_reignites_the_dawn_2;<p>Кроме того, эффекты name{Палящего сияния} усиливаются на value{75%}, если экипированный персонаж находится в состоянии name{Благословения Ночного духа}, а его длительность не отсчитывается, когда экипированный персонаж вне поля боя.</p>;"<p>Additionally, when the equipping character is in the name{Nightsoul's Blessing} state, ""name{Scorching Brilliance}"" effects are increased by value{75%}, and its duration will not count down when the equipping character is off-field.</p>"
talent_name;weapon_a_thousand_nights_dawnsong;Песнь тысячи рассветов;A Thousand Nights' Dawnsong
talent_descr;weapon_a_thousand_nights_dawnsong_1;<p>Если не совпадают, экипированный этим оружием персонаж получает %{dmg_own_text|10} name{бонус урона} своего элемента. (%{dreams_elements_different|0})</p>;<p>If not, increase the equipping character's name{DMG Bonus} from their Elemental Type by %{dmg_own_text|10}. (%{dreams_elements_different|0})</p>
talent_descr;weapon_a_thousand_nights_dawnsong_2;<p>Вдобавок name{мастерство стихий} всех персонажей отряда поблизости (кроме экипированного этим оружием персонажа) увеличивается на %{mastery|40} единиц. Если этим оружием обладают и другие члены отряда, эффект суммируется.</p>;<p>Additionally, all nearby party members other than the equipping character will have their name{Elemental Mastery} increased by %{mastery|40}. Multiple such effects from multiple such weapons can stack.</p>
talent_descr;weapon_a_thousand_nights_dawnsong_3;<p>Если элементы совпадают, name{мастерство стихий} повышается на %{text_mastery|32} ед. (%{dreams_elements_same|0})</p>;<p>If their Elemental Types are the same, increase name{Elemental Mastery} by %{text_mastery|32}. (%{dreams_elements_same|0})</p>
talent_descr;weapon_a_thousand_nights_dawnsong_4;<p>Другие члены отряда предоставляют экипированному этим оружием персонажу усиления в зависимости от того, совпадают их элементы, или нет. Данные эффекты складываются до 3 раз.</p>;<p>Party members other than the equipping character will provide the equipping character with buffs based on whether their Elemental Type is the same as the latter or not. Each of the aforementioned effects can have up to 3 stacks.</p>
talent_name;weapon_deathly_pact;Пакт смерти;Deathly Pact
talent_descr;weapon_deathly_pact_1;<p>name{Крит. урон} увеличивается на %{crit_dmg}.</p>;<p>name{CRIT DMG} increased by %{crit_dmg}.</p>
talent_descr;weapon_deathly_pact_2;<p>Когда name{Долг жизни} возрастает, наносимый экипированным персонажем name{урон} увеличивается на %{dmg_all} на 6 сек. Этот эффект может складываться до 3 раз.</p>;<p>Increasing the value of a name{Bond of Life} increases the name{DMG} the equipping character deals by %{dmg_all} for 6s. Max 3 stacks.</p>
talent_name;weapon_watatsumi_wavewalker;Укротитель волн Ватацуми;Watatsumi Wavewalker
talent_descr;weapon_watatsumi_wavewalker;<p>Урон name{взрыва стихии} экипированного этим оружием персонажа увеличивается на %{text_percent_bonus} за каждую единицу суммы макс. энергии каждого члена отряда. Бонус урона не может превышать %{text_percent_cap}.</p>;<p>For every point of the entire party's combined maximum name{Energy} capacity, the name{Elemental Burst DMG} of the character equipping this weapon is increased by %{text_percent_bonus}. A maximum of %{text_percent_cap} increased name{Elemental Burst DMG} can be achieved this way.</p>
talent_name;weapon_oppidan_ambush;Уличная засада;Oppidan Ambush
talent_descr;weapon_oppidan_ambush;<p>Увеличивает name{урон} экипированного этим оружием персонажа, когда тот не на поле боя, на %{dmg_all} в сек. Таким способом макс. количество наносимого урона может быть увеличено до %{text_percent_max}. Через 4 сек. после появления персонажа на поле боя бонус повышения урона от данного эффекта начнёт убывать по %{text_percent_reduce} в сек., пока не опустится до 0%.</p>;<p>While the character equipped with this weapon is in the party but not on the field, their name{DMG} increases by %{dmg_all} every second up to a max of %{text_percent_max}. When the character is on the field for more than 4s, the aforementioned name{DMG} buff decreases by %{text_percent_reduce} per second until it reaches 0%.</p>
talent_name;weapon_iwakura_succession;Наследие Ивакуры;Iwakura Succession
talent_descr;weapon_iwakura_succession;<p>После применения name{элементального навыка} получает 1 name{семя наследия}. Эффект может возникнуть 1 раз каждые 5 сек. name{Семя наследия} действует в течение 30 сек. Одновременно может существовать до 3 name{семян наследия}. После использования name{взрыва стихии} все семена наследия расходуются, и через 2 сек. персонаж восстанавливает %{text_decimal} единиц name{элементальной энергии} за каждое расходуемое семя.</p>;<p>After casting an name{Elemental Skill}, gain 1 name{Succession Seed}. This effect can be triggered once every 5s. The name{Succession Seed} lasts for 30s. Up to 3 name{Succession Seeds} may exist simultaneously. After using an name{Elemental Burst}, all name{Succession Seeds} are consumed and after 2s, the character regenerates %{text_decimal} name{Energy} for each seed consumed.</p>
talent_name;weapon_strong_willed;Волевая стрела;Strong-Willed
talent_descr;weapon_strong_willed_1;<p>Каждые 0,1 сек. полёта стрелы, выпущенной name{обычной} или name{заряженной атакой}, увеличивают её name{урон} на %{dmg_normal}. Эффект может складываться до 5 раз.</p>;<p>After a name{Normal} or name{Charged Attack} is fired, name{DMG} dealt increases by a further %{dmg_normal} every 0.1s the arrow is in the air for up to 5 times.</p>
talent_descr;weapon_strong_willed_2;<p>Увеличивает name{урон обычной} и name{заряженной атаки} на %{dmg_normal}.</p>;<p>Increases name{Normal} and name{Charged Attack DMG} by %{dmg_normal}.</p>
talent_name;weapon_the_cleansing_form;Очищающая форма;The Cleansing Form
talent_descr;weapon_the_cleansing_form_1;<p>Увеличивает name{HP} на %{hp_percent}.</p>;<p>name{HP} is increased by %{hp_percent}.</p>
talent_descr;weapon_the_cleansing_form_2;<p>Когда рядом есть враги, name{урон}, наносимый персонажем, экипированным этим оружием, увеличивается на %{dmg_all}. Эффект срабатывает, даже когда персонаж не на поле боя.</p>;<p>When there are opponents nearby, the name{DMG} dealt by the wielder of this weapon is increased by %{dmg_all}. This will take effect whether the character is on-field or not.</p>
talent_name;weapon_falcons_defiance;Неповиновение Сокола;Falcon's Defiance
talent_descr;weapon_falcons_defiance_1;<p>Увеличивает name{силу атаки} на %{atk_percent}.</p>;<p>name{ATK} is increased by %{atk_percent}.</p>
talent_descr;weapon_falcons_defiance_2;<p>При получении урона пробуждается душа Сокола Запада, несущего знамя сопротивления. Восстанавливает name{HP}, равное %{text_percent_hp} от name{силы атаки}, и наносит %{text_percent_dmg} урона окружающим врагам. Может возникнуть раз в 15 сек.</p>;<p>Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of resistance aloft, regenerating name{HP} equal to %{text_percent_hp} of name{ATK} and dealing %{text_percent_dmg} of name{ATK} as DMG to surrounding opponents. This effect can only occur once every 15s.</p>
talent_name;weapon_tupacs_grip;Хватка Тупака;Tupac's Grip
talent_descr;weapon_tupacs_grip;<p>При попадании атаки по противнику на его позиции наносится name{урон по площади}, равный %{text_percent_dmg} от name{макс. HP}. Этот эффект может возникнуть один раз в 15 сек.</p>;<p>When an attack hits an opponent, deal name{AoE DMG} equal to %{text_percent_dmg} of name{Max HP} at the target location. This effect can be triggered once every 15s.</p>
talent_name;weapon_the_moonring_sighted;Глаза с лунным ореолом;The Moonring Sighted
talent_descr;weapon_the_moonring_sighted_1;<p>Повышает name{силу атаки} на %{atk_percent} на 12 сек. после активации реакции anemo{Рассеивание}.</p>;<p>For 12s after triggering a anemo{Swirl} reaction, name{ATK} increases by %{atk_percent}.</p>
